Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	2.337559	3	0.485497	0.300699	0.102865	0.110939	0.485497	0.300699	0.102865	0.110939	0.211941	0.382898	0.170718	0.234444	0.485497	0.300699	0.102865	0.110939	0.211941	0.382898	0.170718	0.234444	0.211941	0.382898	0.170718	0.234444	0.473679	0.358783	0.068158	0.099380	0.211941	0.382898	0.170718	0.234444	0.473679	0.358783	0.068158	0.099380	
2000	1.456623	3	0.509124	0.292281	0.088036	0.110559	0.509124	0.292281	0.088036	0.110559	0.227191	0.385458	0.124755	0.262595	0.509124	0.292281	0.088036	0.110559	0.227191	0.385458	0.124755	0.262595	0.227191	0.385458	0.124755	0.262595	0.490888	0.350268	0.056531	0.102312	0.227191	0.385458	0.124755	0.262595	0.490888	0.350268	0.056531	0.102312	
3000	1.964529	4	0.465120	0.323136	0.089738	0.122005	0.465120	0.323136	0.089738	0.122005	0.217446	0.328599	0.183520	0.270435	0.465120	0.323136	0.089738	0.122005	0.220201	0.333294	0.251283	0.195222	0.217446	0.328599	0.183520	0.270435	0.475288	0.358872	0.054498	0.111343	0.217446	0.328599	0.183520	0.270435	0.475288	0.358872	0.054498	0.111343	
4000	3.550507	5	0.457959	0.326154	0.078102	0.137785	0.457959	0.326154	0.078102	0.137785	0.206581	0.307828	0.138192	0.347399	0.457959	0.326154	0.078102	0.137785	0.283626	0.231096	0.248344	0.236935	0.249877	0.181361	0.184890	0.383872	0.475288	0.358872	0.054498	0.111343	0.206581	0.307828	0.138192	0.347399	0.475288	0.358872	0.054498	0.111343	
5000	1.030952	3	0.447682	0.340273	0.074896	0.137150	0.447682	0.340273	0.074896	0.137150	0.256953	0.273768	0.177473	0.291806	0.447682	0.340273	0.074896	0.137150	0.256953	0.273768	0.177473	0.291806	0.256953	0.273768	0.177473	0.291806	0.475288	0.358872	0.054498	0.111343	0.256953	0.273768	0.177473	0.291806	0.475288	0.358872	0.054498	0.111343	
6000	0.347640	2	0.449580	0.360929	0.066063	0.123429	0.449580	0.360929	0.066063	0.123429	0.244481	0.291253	0.170081	0.294185	0.449580	0.360929	0.066063	0.123429	0.244481	0.291253	0.170081	0.294185	0.244481	0.291253	0.170081	0.294185	0.449580	0.360929	0.066063	0.123429	0.244481	0.291253	0.170081	0.294185	0.449580	0.360929	0.066063	0.123429	
7000	2.122748	3	0.430332	0.368371	0.066290	0.135007	0.430332	0.368371	0.066290	0.135007	0.260654	0.226704	0.157340	0.355302	0.430332	0.368371	0.066290	0.135007	0.229753	0.268522	0.212304	0.289421	0.260654	0.226704	0.157340	0.355302	0.430332	0.368371	0.066290	0.135007	0.229753	0.268522	0.212304	0.289421	0.430332	0.368371	0.066290	0.135007	
8000	0.877749	2	0.430332	0.368371	0.066290	0.135007	0.430332	0.368371	0.066290	0.135007	0.269799	0.254923	0.166646	0.308632	0.430332	0.368371	0.066290	0.135007	0.269799	0.254923	0.166646	0.308632	0.269799	0.254923	0.166646	0.308632	0.430332	0.368371	0.066290	0.135007	0.269799	0.254923	0.166646	0.308632	0.430332	0.368371	0.066290	0.135007	
9000	1.156145	2	0.430332	0.368371	0.066290	0.135007	0.430332	0.368371	0.066290	0.135007	0.260996	0.283877	0.181356	0.273770	0.430332	0.368371	0.066290	0.135007	0.260996	0.283877	0.181356	0.273770	0.260996	0.283877	0.181356	0.273770	0.430332	0.368371	0.066290	0.135007	0.260996	0.283877	0.181356	0.273770	0.430332	0.368371	0.066290	0.135007	
10000	1.041381	3	0.430332	0.368371	0.066290	0.135007	0.370120	0.416802	0.078055	0.135022	0.247818	0.266145	0.169881	0.316156	0.430332	0.368371	0.066290	0.135007	0.247818	0.266145	0.169881	0.316156	0.247818	0.266145	0.169881	0.316156	0.430332	0.368371	0.066290	0.135007	0.247818	0.266145	0.169881	0.316156	0.430332	0.368371	0.066290	0.135007	
11000	1.561819	2	0.428658	0.372585	0.065522	0.133235	0.428658	0.372585	0.065522	0.133235	0.244184	0.278788	0.176440	0.300588	0.428658	0.372585	0.065522	0.133235	0.244184	0.278788	0.176440	0.300588	0.244184	0.278788	0.176440	0.300588	0.428658	0.372585	0.065522	0.133235	0.244184	0.278788	0.176440	0.300588	0.428658	0.372585	0.065522	0.133235	
12000	0.235547	2	0.416638	0.384948	0.061008	0.137406	0.416638	0.384948	0.061008	0.137406	0.203436	0.278534	0.155459	0.362572	0.416638	0.384948	0.061008	0.137406	0.203436	0.278534	0.155459	0.362572	0.203436	0.278534	0.155459	0.362572	0.416638	0.384948	0.061008	0.137406	0.203436	0.278534	0.155459	0.362572	0.416638	0.384948	0.061008	0.137406	
13000	0.189261	2	0.416638	0.384948	0.061008	0.137406	0.416638	0.384948	0.061008	0.137406	0.247080	0.273618	0.192655	0.286646	0.416638	0.384948	0.061008	0.137406	0.247080	0.273618	0.192655	0.286646	0.247080	0.273618	0.192655	0.286646	0.416638	0.384948	0.061008	0.137406	0.247080	0.273618	0.192655	0.286646	0.416638	0.384948	0.061008	0.137406	
14000	0.514386	2	0.416638	0.384948	0.061008	0.137406	0.416638	0.384948	0.061008	0.137406	0.266613	0.268197	0.180188	0.285002	0.416638	0.384948	0.061008	0.137406	0.266613	0.268197	0.180188	0.285002	0.266613	0.268197	0.180188	0.285002	0.416638	0.384948	0.061008	0.137406	0.266613	0.268197	0.180188	0.285002	0.416638	0.384948	0.061008	0.137406	
15000	0.794723	3	0.416638	0.384948	0.061008	0.137406	0.416638	0.384948	0.061008	0.137406	0.146059	0.400091	0.153614	0.300236	0.416638	0.384948	0.061008	0.137406	0.255999	0.257276	0.207623	0.279101	0.255999	0.257276	0.207623	0.279101	0.416638	0.384948	0.061008	0.137406	0.146059	0.400091	0.153614	0.300236	0.416638	0.384948	0.061008	0.137406	
16000	0.796538	3	0.423885	0.377015	0.066084	0.133016	0.423885	0.377015	0.066084	0.133016	0.188987	0.364850	0.142046	0.304118	0.423885	0.377015	0.066084	0.133016	0.312982	0.269419	0.200955	0.216645	0.312982	0.269419	0.200955	0.216645	0.423885	0.377015	0.066084	0.133016	0.188987	0.364850	0.142046	0.304118	0.423885	0.377015	0.066084	0.133016	
17000	1.602823	3	0.412287	0.388071	0.061750	0.137892	0.412287	0.388071	0.061750	0.137892	0.169975	0.357685	0.133898	0.338442	0.412287	0.388071	0.061750	0.137892	0.246846	0.355853	0.212887	0.184414	0.246846	0.355853	0.212887	0.184414	0.412287	0.388071	0.061750	0.137892	0.169975	0.357685	0.133898	0.338442	0.412287	0.388071	0.061750	0.137892	
18000	0.497390	3	0.412287	0.388071	0.061750	0.137892	0.412287	0.388071	0.061750	0.137892	0.157070	0.313607	0.163556	0.365767	0.412287	0.388071	0.061750	0.137892	0.230561	0.265350	0.202928	0.301162	0.230561	0.265350	0.202928	0.301162	0.412287	0.388071	0.061750	0.137892	0.157070	0.313607	0.163556	0.365767	0.412287	0.388071	0.061750	0.137892	
19000	1.840613	3	0.412287	0.388071	0.061750	0.137892	0.412287	0.388071	0.061750	0.137892	0.172692	0.343277	0.147670	0.336361	0.412287	0.388071	0.061750	0.137892	0.259030	0.304797	0.259973	0.176201	0.172692	0.343277	0.147670	0.336361	0.412287	0.388071	0.061750	0.137892	0.172692	0.343277	0.147670	0.336361	0.412287	0.388071	0.061750	0.137892	
20000	1.149724	3	0.412287	0.388071	0.061750	0.137892	0.412287	0.388071	0.061750	0.137892	0.208238	0.361919	0.132767	0.297076	0.412287	0.388071	0.061750	0.137892	0.282353	0.273564	0.176723	0.267360	0.282353	0.273564	0.176723	0.267360	0.412287	0.388071	0.061750	0.137892	0.208238	0.361919	0.132767	0.297076	0.412287	0.388071	0.061750	0.137892	
21000	0.880675	3	0.412287	0.388071	0.061750	0.137892	0.412287	0.388071	0.061750	0.137892	0.182198	0.334325	0.124493	0.358984	0.412287	0.388071	0.061750	0.137892	0.282044	0.241965	0.194903	0.281088	0.282044	0.241965	0.194903	0.281088	0.412287	0.388071	0.061750	0.137892	0.182198	0.334325	0.124493	0.358984	0.412287	0.388071	0.061750	0.137892	
