Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	7.052716	3	0.379621	0.267087	0.198266	0.155026	0.408039	0.406569	0.059381	0.126010	0.158264	0.451817	0.139255	0.250664	0.408039	0.406569	0.059381	0.126010	0.379621	0.267087	0.198266	0.155026	0.379621	0.267087	0.198266	0.155026	0.408039	0.406569	0.059381	0.126010	0.158264	0.451817	0.139255	0.250664	0.408039	0.406569	0.059381	0.126010	
2000	7.478156	3	0.479376	0.326125	0.081422	0.113078	0.479376	0.326125	0.081422	0.113078	0.170127	0.347204	0.148744	0.333925	0.479376	0.326125	0.081422	0.113078	0.221584	0.206509	0.379776	0.192131	0.170127	0.347204	0.148744	0.333925	0.479376	0.326125	0.081422	0.113078	0.170127	0.347204	0.148744	0.333925	0.479376	0.326125	0.081422	0.113078	
3000	11.540393	3	0.475119	0.328172	0.078658	0.118051	0.475119	0.328172	0.078658	0.118051	0.270405	0.286000	0.165509	0.278087	0.475119	0.328172	0.078658	0.118051	0.155640	0.274958	0.290629	0.278774	0.270405	0.286000	0.165509	0.278087	0.475119	0.328172	0.078658	0.118051	0.270405	0.286000	0.165509	0.278087	0.475119	0.328172	0.078658	0.118051	
4000	8.254791	3	0.475119	0.328172	0.078658	0.118051	0.475119	0.328172	0.078658	0.118051	0.201369	0.343417	0.131580	0.323634	0.475119	0.328172	0.078658	0.118051	0.354429	0.254000	0.171013	0.220559	0.354429	0.254000	0.171013	0.220559	0.475119	0.328172	0.078658	0.118051	0.201369	0.343417	0.131580	0.323634	0.475119	0.328172	0.078658	0.118051	
5000	8.144563	3	0.382828	0.321162	0.110920	0.185090	0.450945	0.349326	0.073216	0.126513	0.228001	0.275062	0.176209	0.320729	0.450945	0.349326	0.073216	0.126513	0.228001	0.275062	0.176209	0.320729	0.228001	0.275062	0.176209	0.320729	0.450945	0.349326	0.073216	0.126513	0.228001	0.275062	0.176209	0.320729	0.450945	0.349326	0.073216	0.126513	
6000	8.653253	2	0.450945	0.349326	0.073216	0.126513	0.450945	0.349326	0.073216	0.126513	0.239953	0.294826	0.176122	0.289099	0.450945	0.349326	0.073216	0.126513	0.239953	0.294826	0.176122	0.289099	0.239953	0.294826	0.176122	0.289099	0.450945	0.349326	0.073216	0.126513	0.239953	0.294826	0.176122	0.289099	0.450945	0.349326	0.073216	0.126513	
7000	7.756338	2	0.434539	0.365686	0.072920	0.126855	0.434539	0.365686	0.072920	0.126855	0.221858	0.347025	0.154712	0.276405	0.434539	0.365686	0.072920	0.126855	0.221858	0.347025	0.154712	0.276405	0.221858	0.347025	0.154712	0.276405	0.434539	0.365686	0.072920	0.126855	0.221858	0.347025	0.154712	0.276405	0.434539	0.365686	0.072920	0.126855	
8000	10.545729	2	0.423200	0.370866	0.073905	0.132028	0.423200	0.370866	0.073905	0.132028	0.198767	0.362964	0.115674	0.322595	0.423200	0.370866	0.073905	0.132028	0.198767	0.362964	0.115674	0.322595	0.198767	0.362964	0.115674	0.322595	0.423200	0.370866	0.073905	0.132028	0.198767	0.362964	0.115674	0.322595	0.423200	0.370866	0.073905	0.132028	
9000	8.301620	3	0.426717	0.370286	0.071707	0.131290	0.426717	0.370286	0.071707	0.131290	0.167664	0.378038	0.190478	0.263820	0.426717	0.370286	0.071707	0.131290	0.234561	0.290903	0.195739	0.278797	0.234561	0.290903	0.195739	0.278797	0.426717	0.370286	0.071707	0.131290	0.167664	0.378038	0.190478	0.263820	0.426717	0.370286	0.071707	0.131290	
10000	7.327809	3	0.426717	0.370286	0.071707	0.131290	0.426717	0.370286	0.071707	0.131290	0.213600	0.271357	0.178868	0.336175	0.426717	0.370286	0.071707	0.131290	0.247640	0.268243	0.198747	0.285369	0.247640	0.268243	0.198747	0.285369	0.426717	0.370286	0.071707	0.131290	0.213600	0.271357	0.178868	0.336175	0.426717	0.370286	0.071707	0.131290	
11000	8.648583	2	0.426717	0.370286	0.071707	0.131290	0.426717	0.370286	0.071707	0.131290	0.223527	0.299765	0.170916	0.305792	0.426717	0.370286	0.071707	0.131290	0.223527	0.299765	0.170916	0.305792	0.223527	0.299765	0.170916	0.305792	0.426717	0.370286	0.071707	0.131290	0.223527	0.299765	0.170916	0.305792	0.426717	0.370286	0.071707	0.131290	
12000	8.573595	2	0.403482	0.379918	0.071666	0.144935	0.403482	0.379918	0.071666	0.144935	0.197721	0.324675	0.177597	0.300006	0.403482	0.379918	0.071666	0.144935	0.197721	0.324675	0.177597	0.300006	0.197721	0.324675	0.177597	0.300006	0.403482	0.379918	0.071666	0.144935	0.197721	0.324675	0.177597	0.300006	0.403482	0.379918	0.071666	0.144935	
13000	6.011783	2	0.398378	0.396752	0.067613	0.137256	0.398378	0.396752	0.067613	0.137256	0.237219	0.268209	0.167856	0.326716	0.398378	0.396752	0.067613	0.137256	0.237219	0.268209	0.167856	0.326716	0.237219	0.268209	0.167856	0.326716	0.398378	0.396752	0.067613	0.137256	0.237219	0.268209	0.167856	0.326716	0.398378	0.396752	0.067613	0.137256	
14000	10.387165	3	0.392587	0.315735	0.104159	0.187520	0.392587	0.315735	0.104159	0.187520	0.272536	0.255051	0.190164	0.282249	0.396593	0.395006	0.065424	0.142978	0.272536	0.255051	0.190164	0.282249	0.272536	0.255051	0.190164	0.282249	0.396593	0.395006	0.065424	0.142978	0.272536	0.255051	0.190164	0.282249	0.396593	0.395006	0.065424	0.142978	
15000	8.264725	2	0.396593	0.395006	0.065424	0.142978	0.396593	0.395006	0.065424	0.142978	0.255825	0.272268	0.201991	0.269917	0.396593	0.395006	0.065424	0.142978	0.255825	0.272268	0.201991	0.269917	0.255825	0.272268	0.201991	0.269917	0.396593	0.395006	0.065424	0.142978	0.255825	0.272268	0.201991	0.269917	0.396593	0.395006	0.065424	0.142978	
16000	7.073165	3	0.402075	0.390636	0.062404	0.144886	0.402075	0.390636	0.062404	0.144886	0.161844	0.284649	0.244350	0.309156	0.402075	0.390636	0.062404	0.144886	0.270175	0.311238	0.178102	0.240485	0.270175	0.311238	0.178102	0.240485	0.402075	0.390636	0.062404	0.144886	0.161844	0.284649	0.244350	0.309156	0.402075	0.390636	0.062404	0.144886	
17000	6.883435	2	0.402075	0.390636	0.062404	0.144886	0.402075	0.390636	0.062404	0.144886	0.266428	0.276920	0.213764	0.242888	0.402075	0.390636	0.062404	0.144886	0.266428	0.276920	0.213764	0.242888	0.266428	0.276920	0.213764	0.242888	0.402075	0.390636	0.062404	0.144886	0.266428	0.276920	0.213764	0.242888	0.402075	0.390636	0.062404	0.144886	
18000	7.805033	3	0.402075	0.390636	0.062404	0.144886	0.402075	0.390636	0.062404	0.144886	0.169517	0.340149	0.152683	0.337652	0.402075	0.390636	0.062404	0.144886	0.286440	0.253232	0.190902	0.269426	0.286440	0.253232	0.190902	0.269426	0.402075	0.390636	0.062404	0.144886	0.169517	0.340149	0.152683	0.337652	0.402075	0.390636	0.062404	0.144886	
19000	7.446084	2	0.402075	0.390636	0.062404	0.144886	0.402075	0.390636	0.062404	0.144886	0.224445	0.282107	0.169605	0.323843	0.402075	0.390636	0.062404	0.144886	0.224445	0.282107	0.169605	0.323843	0.224445	0.282107	0.169605	0.323843	0.402075	0.390636	0.062404	0.144886	0.224445	0.282107	0.169605	0.323843	0.402075	0.390636	0.062404	0.144886	
20000	7.371623	4	0.402075	0.390636	0.062404	0.144886	0.402075	0.390636	0.062404	0.144886	0.195789	0.346806	0.125370	0.332035	0.402075	0.390636	0.062404	0.144886	0.277377	0.254037	0.198414	0.270172	0.277377	0.254037	0.198414	0.270172	0.402075	0.390636	0.062404	0.144886	0.140987	0.410287	0.151729	0.296997	0.402075	0.390636	0.062404	0.144886	
21000	7.850645	4	0.396322	0.353310	0.074153	0.176215	0.396322	0.353310	0.074153	0.176215	0.147482	0.294094	0.175815	0.382608	0.402075	0.390636	0.062404	0.144886	0.208157	0.286047	0.203214	0.302582	0.208157	0.286047	0.203214	0.302582	0.402075	0.390636	0.062404	0.144886	0.208157	0.286047	0.203214	0.302582	0.402075	0.390636	0.062404	0.144886	
22000	8.610801	4	0.433533	0.311483	0.098104	0.156880	0.433533	0.311483	0.098104	0.156880	0.268421	0.360467	0.093719	0.277393	0.402075	0.390636	0.062404	0.144886	0.232661	0.279950	0.221753	0.265637	0.232661	0.279950	0.221753	0.265637	0.402075	0.390636	0.062404	0.144886	0.232661	0.279950	0.221753	0.265637	0.402075	0.390636	0.062404	0.144886	
23000	9.011800	3	0.402075	0.390636	0.062404	0.144886	0.402075	0.390636	0.062404	0.144886	0.242835	0.295855	0.152739	0.308571	0.402075	0.390636	0.062404	0.144886	0.284455	0.240845	0.229772	0.244928	0.284455	0.240845	0.229772	0.244928	0.402075	0.390636	0.062404	0.144886	0.242835	0.295855	0.152739	0.308571	0.402075	0.390636	0.062404	0.144886	
24000	7.253623	4	0.384772	0.352380	0.085807	0.177041	0.384772	0.352380	0.085807	0.177041	0.164633	0.394977	0.148549	0.291841	0.395823	0.404393	0.055202	0.144582	0.287563	0.239285	0.210523	0.262629	0.287563	0.239285	0.210523	0.262629	0.395823	0.404393	0.055202	0.144582	0.164633	0.394977	0.148549	0.291841	0.395823	0.404393	0.055202	0.144582	
25000	10.160076	4	0.442133	0.309255	0.074088	0.174524	0.442133	0.309255	0.074088	0.174524	0.237262	0.300759	0.161781	0.300197	0.394949	0.404482	0.058445	0.142125	0.238253	0.230185	0.268701	0.262861	0.238253	0.230185	0.268701	0.262861	0.394949	0.404482	0.058445	0.142125	0.237262	0.300759	0.161781	0.300197	0.394949	0.404482	0.058445	0.142125	
26000	6.809319	4	0.442133	0.309255	0.074088	0.174524	0.442133	0.309255	0.074088	0.174524	0.169969	0.334407	0.150587	0.345038	0.394949	0.404482	0.058445	0.142125	0.261406	0.227122	0.227625	0.283847	0.261406	0.227122	0.227625	0.283847	0.394949	0.404482	0.058445	0.142125	0.169969	0.334407	0.150587	0.345038	0.394949	0.404482	0.058445	0.142125	
27000	7.815535	2	0.394949	0.404482	0.058445	0.142125	0.394949	0.404482	0.058445	0.142125	0.260537	0.259719	0.211685	0.268059	0.394949	0.404482	0.058445	0.142125	0.260537	0.259719	0.211685	0.268059	0.260537	0.259719	0.211685	0.268059	0.394949	0.404482	0.058445	0.142125	0.260537	0.259719	0.211685	0.268059	0.394949	0.404482	0.058445	0.142125	
28000	8.841661	2	0.411086	0.379092	0.065169	0.144653	0.411086	0.379092	0.065169	0.144653	0.263333	0.246459	0.193569	0.296638	0.411086	0.379092	0.065169	0.144653	0.263333	0.246459	0.193569	0.296638	0.263333	0.246459	0.193569	0.296638	0.411086	0.379092	0.065169	0.144653	0.263333	0.246459	0.193569	0.296638	0.411086	0.379092	0.065169	0.144653	
29000	6.162792	3	0.411086	0.379092	0.065169	0.144653	0.411086	0.379092	0.065169	0.144653	0.203384	0.295051	0.193145	0.308420	0.411086	0.379092	0.065169	0.144653	0.268843	0.260036	0.178910	0.292211	0.268843	0.260036	0.178910	0.292211	0.411086	0.379092	0.065169	0.144653	0.203384	0.295051	0.193145	0.308420	0.411086	0.379092	0.065169	0.144653	
30000	8.408657	3	0.411086	0.379092	0.065169	0.144653	0.411086	0.379092	0.065169	0.144653	0.259923	0.263371	0.175308	0.301398	0.411086	0.379092	0.065169	0.144653	0.192188	0.348362	0.178355	0.281095	0.259923	0.263371	0.175308	0.301398	0.411086	0.379092	0.065169	0.144653	0.259923	0.263371	0.175308	0.301398	0.411086	0.379092	0.065169	0.144653	
31000	8.066055	3	0.380783	0.407367	0.060873	0.150977	0.380783	0.407367	0.060873	0.150977	0.209676	0.367650	0.122536	0.300138	0.380783	0.407367	0.060873	0.150977	0.266366	0.228393	0.195924	0.309318	0.266366	0.228393	0.195924	0.309318	0.380783	0.407367	0.060873	0.150977	0.209676	0.367650	0.122536	0.300138	0.380783	0.407367	0.060873	0.150977	
32000	8.304465	3	0.402043	0.348923	0.069519	0.179515	0.402043	0.348923	0.069519	0.179515	0.240579	0.281439	0.187130	0.290853	0.380783	0.407367	0.060873	0.150977	0.240579	0.281439	0.187130	0.290853	0.240579	0.281439	0.187130	0.290853	0.380783	0.407367	0.060873	0.150977	0.240579	0.281439	0.187130	0.290853	0.380783	0.407367	0.060873	0.150977	
33000	9.632470	3	0.380783	0.407367	0.060873	0.150977	0.380783	0.407367	0.060873	0.150977	0.283738	0.305629	0.136853	0.273780	0.380783	0.407367	0.060873	0.150977	0.192182	0.357673	0.186244	0.263900	0.283738	0.305629	0.136853	0.273780	0.380783	0.407367	0.060873	0.150977	0.192182	0.357673	0.186244	0.263900	0.380783	0.407367	0.060873	0.150977	
