Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	2.015675	3	0.267137	0.267137	0.267137	0.996851	0.400783	0.400783	0.267137	0.267137	0.996851	
2000	0.546462	3	0.246026	0.246026	0.246026	2.109224	0.403032	0.403032	0.246026	0.246026	2.109224	
3000	0.347623	3	0.270874	0.270874	0.270874	2.365507	0.418594	0.418594	0.270874	0.270874	2.365507	
4000	0.708465	4	0.249969	0.249969	0.249969	1.865808	0.451081	0.478294	0.249969	0.249969	1.865808	
5000	3.167376	4	0.261630	0.261630	0.261630	2.332370	0.431560	0.431560	0.261630	0.148890	2.332370	
6000	2.257437	4	0.248958	0.248958	0.248958	2.245468	0.488516	0.488516	0.248958	0.149657	2.245468	
7000	1.447682	3	0.254236	0.254236	0.254236	2.217716	0.467068	0.467068	0.254236	0.254236	2.217716	
8000	2.294189	3	0.258066	0.258066	0.258066	2.068960	0.510949	0.510949	0.258066	0.258066	2.068960	
9000	1.417710	4	0.270129	0.270129	0.270129	2.687141	0.470106	0.470106	0.270129	0.192842	2.687141	
10000	1.235921	4	0.269968	0.269968	0.269968	2.137346	0.419921	0.514038	0.269968	0.269968	2.137346	
11000	0.761499	3	0.253513	0.253513	0.253513	2.501496	0.487224	0.487224	0.253513	0.253513	2.501496	
12000	0.968326	3	0.249718	0.249718	0.249718	2.299884	0.439420	0.439420	0.249718	0.249718	2.299884	
13000	2.523398	5	0.261250	0.261250	0.242577	2.407468	0.418416	0.418416	0.242577	0.196433	2.407468	
14000	1.335660	3	0.258843	0.258843	0.258843	2.128093	0.470089	0.470089	0.258843	0.258843	2.128093	
15000	1.653398	4	0.251714	0.251714	0.251714	2.435488	0.525468	0.525468	0.251714	0.151222	2.435488	
16000	1.471226	4	0.248700	0.248700	0.248700	3.197276	0.377454	0.377454	0.248700	0.191668	3.197276	
17000	1.592740	3	0.247369	0.247369	0.247369	2.494326	0.430221	0.430221	0.247369	0.247369	2.494326	
18000	1.527775	5	0.265547	0.293619	0.265547	2.638382	0.380258	0.383857	0.265547	0.265547	2.638382	
19000	1.544863	3	0.256489	0.256489	0.256489	1.741792	0.480429	0.480429	0.256489	0.256489	1.741792	
20000	1.162343	4	0.263537	0.263537	0.263537	2.220107	0.428288	0.513685	0.263537	0.263537	2.220107	
21000	1.673595	4	0.262732	0.262732	0.262732	2.736436	0.447758	0.447758	0.239124	0.239124	2.736436	
22000	1.891654	3	0.252013	0.252013	0.252013	2.565547	0.491401	0.491401	0.252013	0.252013	2.565547	
23000	4.103459	4	0.244594	0.244594	0.244594	2.840044	0.447491	0.482416	0.244594	0.244594	2.840044	
