Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	1.513160	3	0.354100	0.445397	0.063673	0.136829	0.354100	0.445397	0.063673	0.136829	0.221721	0.321425	0.138013	0.318841	0.354100	0.445397	0.063673	0.136829	0.145713	0.464493	0.216740	0.173053	0.221721	0.321425	0.138013	0.318841	0.354100	0.445397	0.063673	0.136829	0.221721	0.321425	0.138013	0.318841	0.354100	0.445397	0.063673	0.136829	
2000	1.726506	2	0.429119	0.375540	0.063015	0.132325	0.429119	0.375540	0.063015	0.132325	0.190271	0.329063	0.175944	0.304722	0.429119	0.375540	0.063015	0.132325	0.190271	0.329063	0.175944	0.304722	0.190271	0.329063	0.175944	0.304722	0.429119	0.375540	0.063015	0.132325	0.190271	0.329063	0.175944	0.304722	0.429119	0.375540	0.063015	0.132325	
3000	3.595344	3	0.406202	0.369051	0.074842	0.149905	0.406202	0.369051	0.074842	0.149905	0.223915	0.326625	0.173366	0.276094	0.429119	0.375540	0.063015	0.132325	0.223915	0.326625	0.173366	0.276094	0.223915	0.326625	0.173366	0.276094	0.429119	0.375540	0.063015	0.132325	0.223915	0.326625	0.173366	0.276094	0.429119	0.375540	0.063015	0.132325	
4000	3.390227	2	0.407048	0.399802	0.061139	0.132011	0.407048	0.399802	0.061139	0.132011	0.236991	0.298387	0.180050	0.284573	0.407048	0.399802	0.061139	0.132011	0.236991	0.298387	0.180050	0.284573	0.236991	0.298387	0.180050	0.284573	0.407048	0.399802	0.061139	0.132011	0.236991	0.298387	0.180050	0.284573	0.407048	0.399802	0.061139	0.132011	
5000	2.323121	3	0.401734	0.402672	0.059808	0.135785	0.401734	0.402672	0.059808	0.135785	0.259038	0.276928	0.139406	0.324628	0.401734	0.402672	0.059808	0.135785	0.236991	0.298387	0.180050	0.284573	0.259038	0.276928	0.139406	0.324628	0.401734	0.402672	0.059808	0.135785	0.236991	0.298387	0.180050	0.284573	0.401734	0.402672	0.059808	0.135785	
6000	5.211992	3	0.401734	0.402672	0.059808	0.135785	0.401734	0.402672	0.059808	0.135785	0.225065	0.363334	0.118761	0.292839	0.401734	0.402672	0.059808	0.135785	0.128746	0.451173	0.200429	0.219652	0.225065	0.363334	0.118761	0.292839	0.401734	0.402672	0.059808	0.135785	0.225065	0.363334	0.118761	0.292839	0.401734	0.402672	0.059808	0.135785	
7000	1.773997	2	0.401734	0.402672	0.059808	0.135785	0.401734	0.402672	0.059808	0.135785	0.214868	0.324220	0.184962	0.275950	0.401734	0.402672	0.059808	0.135785	0.214868	0.324220	0.184962	0.275950	0.214868	0.324220	0.184962	0.275950	0.401734	0.402672	0.059808	0.135785	0.214868	0.324220	0.184962	0.275950	0.401734	0.402672	0.059808	0.135785	
8000	4.007491	3	0.401734	0.402672	0.059808	0.135785	0.401734	0.402672	0.059808	0.135785	0.218141	0.365909	0.142636	0.273314	0.401734	0.402672	0.059808	0.135785	0.244100	0.402661	0.214132	0.139108	0.218141	0.365909	0.142636	0.273314	0.401734	0.402672	0.059808	0.135785	0.218141	0.365909	0.142636	0.273314	0.401734	0.402672	0.059808	0.135785	
9000	2.390836	3	0.401734	0.402672	0.059808	0.135785	0.401734	0.402672	0.059808	0.135785	0.223461	0.368336	0.136417	0.271786	0.401734	0.402672	0.059808	0.135785	0.191509	0.364778	0.184501	0.259212	0.191509	0.364778	0.184501	0.259212	0.401734	0.402672	0.059808	0.135785	0.223461	0.368336	0.136417	0.271786	0.401734	0.402672	0.059808	0.135785	
10000	2.605432	2	0.407167	0.393812	0.061916	0.137105	0.407167	0.393812	0.061916	0.137105	0.227751	0.328928	0.148253	0.295068	0.407167	0.393812	0.061916	0.137105	0.227751	0.328928	0.148253	0.295068	0.227751	0.328928	0.148253	0.295068	0.407167	0.393812	0.061916	0.137105	0.227751	0.328928	0.148253	0.295068	0.407167	0.393812	0.061916	0.137105	
