Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	7.944999	4	0.260328	0.330783	0.260328	1.253340	0.397437	0.397437	0.260328	0.260328	1.253340	
2000	8.472046	5	0.252304	0.252304	0.252304	1.658372	0.506676	0.506676	0.252304	0.161908	1.509133	
3000	10.127684	4	0.251616	0.251616	0.251616	1.796330	0.478531	0.476001	0.251616	0.251616	1.796330	
4000	8.202265	6	0.263163	0.261017	0.261017	1.955586	0.430334	0.500117	0.261017	0.186465	1.955586	
5000	7.846028	6	0.268065	0.280375	0.268065	2.287307	0.467568	0.561976	0.256603	0.268065	2.287307	
6000	5.972856	4	0.250248	0.302274	0.250248	2.240646	0.474810	0.474810	0.250248	0.250248	2.240646	
7000	8.172748	5	0.233352	0.301857	0.233352	2.244701	0.409872	0.494405	0.233352	0.233352	2.244701	
8000	8.517035	4	0.261823	0.300804	0.300804	2.294971	0.457308	0.457308	0.261823	0.261823	2.294971	
9000	9.359127	4	0.261274	0.310266	0.261274	1.854878	0.520650	0.520650	0.261274	0.261274	1.854878	
10000	7.296191	3	0.257196	0.257196	0.257196	2.697162	0.542431	0.542431	0.257196	0.257196	2.697162	
11000	9.229625	4	0.253970	0.253970	0.253970	2.921748	0.513067	0.513067	0.253970	0.150537	2.921748	
12000	5.866617	4	0.267366	0.267366	0.267366	2.382052	0.479203	0.479203	0.227298	0.227298	2.382052	
13000	6.683941	5	0.301327	0.301327	0.231496	2.315187	0.445039	0.575705	0.231496	0.231496	2.315187	
14000	8.092382	4	0.254423	0.254423	0.254423	2.451367	0.373237	0.373237	0.254423	0.119630	2.451367	
15000	7.613828	5	0.262415	0.262415	0.262415	2.977947	0.380720	0.550515	0.262415	0.192563	2.977947	
16000	9.100286	6	0.250640	0.308289	0.250640	3.077689	0.462410	0.587777	0.250640	0.172660	3.077689	
17000	5.269118	5	0.250055	0.348697	0.250055	2.641543	0.449252	0.449252	0.250055	0.200154	2.641543	
18000	6.699265	4	0.269011	0.269011	0.254874	2.788786	0.395108	0.395108	0.269011	0.254874	2.788786	
19000	8.744557	6	0.252957	0.278666	0.252957	2.392111	0.411541	0.424566	0.252957	0.204313	2.392111	
20000	6.549743	3	0.255844	0.255844	0.255844	2.095516	0.368994	0.368994	0.255844	0.255844	2.095516	
21000	6.386635	4	0.248411	0.248411	0.248411	2.542356	0.578693	0.578693	0.248411	0.223277	2.542356	
22000	9.509820	5	0.224981	0.273525	0.224981	3.795693	0.477417	0.477417	0.224981	0.224981	2.576932	
23000	6.659932	3	0.252360	0.252360	0.252360	2.544156	0.429881	0.429881	0.252360	0.252360	2.544156	
24000	8.674805	4	0.257446	0.257446	0.257446	2.050787	0.496784	0.496784	0.257446	0.203218	2.050787	
25000	7.399651	3	0.237219	0.237219	0.237219	2.637627	0.490661	0.490661	0.237219	0.237219	2.637627	
26000	10.534213	5	0.239493	0.239493	0.239493	2.611019	0.476427	0.604959	0.244390	0.239493	2.611019	
27000	8.136389	5	0.234251	0.234251	0.260179	3.621230	0.445971	0.445971	0.260179	0.164432	3.621230	
28000	6.451123	4	0.242926	0.242926	0.269701	2.140423	0.518233	0.518233	0.242926	0.242926	2.140423	
29000	6.477891	4	0.248979	0.248979	0.248979	2.306954	0.498690	0.547893	0.248979	0.248979	2.306954	
30000	9.211542	5	0.241764	0.237314	0.237314	2.105174	0.479088	0.479088	0.237314	0.237314	2.251936	
31000	6.856854	5	0.296384	0.296384	0.230878	2.114446	0.457588	0.505840	0.230878	0.230878	2.114446	
32000	6.335527	4	0.282070	0.282070	0.282070	3.039168	0.484357	0.484357	0.282070	0.222805	3.039168	
33000	6.068136	4	0.272696	0.272696	0.272696	2.833688	0.396445	0.396445	0.272696	0.217730	2.833688	
34000	7.677389	3	0.255629	0.255629	0.255629	2.871869	0.450756	0.450756	0.255629	0.255629	2.871869	
35000	7.696080	5	0.265789	0.316264	0.265789	3.112373	0.474488	0.474488	0.265789	0.158516	3.112373	
36000	9.981737	4	0.246858	0.246858	0.246858	2.460288	0.559362	0.634838	0.246858	0.246858	2.460288	
37000	6.456780	3	0.260796	0.260796	0.260796	2.599229	0.478476	0.478476	0.260796	0.260796	2.599229	
38000	7.721532	4	0.247199	0.247199	0.247199	2.439323	0.472336	0.472336	0.247199	0.177638	2.439323	
39000	8.235361	3	0.242023	0.242023	0.242023	2.248565	0.496604	0.496604	0.242023	0.242023	2.248565	
40000	4.805290	4	0.256413	0.256413	0.256413	2.980750	0.533264	0.533264	0.256413	0.153694	2.980750	
41000	6.354257	4	0.242664	0.240339	0.240339	2.835576	0.621369	0.621369	0.240339	0.240339	2.835576	
42000	9.343249	5	0.256626	0.256626	0.256626	2.425805	0.390880	0.440644	0.256626	0.158354	2.425805	
