Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	6.597286	3	0.317239	0.313400	0.170458	0.198903	0.317239	0.313400	0.170458	0.198903	0.187326	0.251031	0.108543	0.453100	0.364434	0.409436	0.057162	0.168968	0.317239	0.313400	0.170458	0.198903	0.317239	0.313400	0.170458	0.198903	0.364434	0.409436	0.057162	0.168968	0.317239	0.313400	0.170458	0.198903	0.364434	0.409436	0.057162	0.168968	
2000	6.540186	3	0.424413	0.319466	0.116068	0.140052	0.424413	0.319466	0.116068	0.140052	0.263728	0.321442	0.157547	0.257283	0.364434	0.409436	0.057162	0.168968	0.263728	0.321442	0.157547	0.257283	0.263728	0.321442	0.157547	0.257283	0.424413	0.319466	0.116068	0.140052	0.263728	0.321442	0.157547	0.257283	0.364434	0.409436	0.057162	0.168968	
3000	5.655218	4	0.353915	0.438509	0.057659	0.149916	0.452890	0.344182	0.098164	0.104765	0.203726	0.344086	0.169925	0.282263	0.353915	0.438509	0.057659	0.149916	0.203726	0.344086	0.169925	0.282263	0.203726	0.344086	0.169925	0.282263	0.452890	0.344182	0.098164	0.104765	0.152299	0.342177	0.171044	0.334480	0.353915	0.438509	0.057659	0.149916	
4000	7.439598	4	0.420244	0.390683	0.055826	0.133246	0.412255	0.390844	0.088188	0.108712	0.199577	0.425342	0.126518	0.248564	0.420244	0.390683	0.055826	0.133246	0.271575	0.321257	0.172907	0.234261	0.271575	0.321257	0.172907	0.234261	0.412255	0.390844	0.088188	0.108712	0.199577	0.425342	0.126518	0.248564	0.420244	0.390683	0.055826	0.133246	
5000	7.019213	4	0.302358	0.279362	0.161185	0.257095	0.412255	0.390844	0.088188	0.108712	0.185646	0.380586	0.144233	0.289535	0.416567	0.383688	0.059076	0.140669	0.302358	0.279362	0.161185	0.257095	0.302358	0.279362	0.161185	0.257095	0.412255	0.390844	0.088188	0.108712	0.185646	0.380586	0.144233	0.289535	0.416567	0.383688	0.059076	0.140669	
6000	7.692746	3	0.293726	0.261752	0.172403	0.272119	0.416567	0.383688	0.059076	0.140669	0.175013	0.348097	0.150476	0.326414	0.416567	0.383688	0.059076	0.140669	0.293726	0.261752	0.172403	0.272119	0.293726	0.261752	0.172403	0.272119	0.416567	0.383688	0.059076	0.140669	0.175013	0.348097	0.150476	0.326414	0.416567	0.383688	0.059076	0.140669	
7000	7.641862	3	0.395160	0.400444	0.058678	0.145718	0.395160	0.400444	0.058678	0.145718	0.176138	0.385337	0.137827	0.300697	0.395160	0.400444	0.058678	0.145718	0.200887	0.269001	0.227465	0.302646	0.200887	0.269001	0.227465	0.302646	0.395160	0.400444	0.058678	0.145718	0.176138	0.385337	0.137827	0.300697	0.395160	0.400444	0.058678	0.145718	
8000	7.361692	3	0.395160	0.400444	0.058678	0.145718	0.395160	0.400444	0.058678	0.145718	0.171901	0.342065	0.151907	0.334126	0.395160	0.400444	0.058678	0.145718	0.264455	0.240494	0.215698	0.279353	0.264455	0.240494	0.215698	0.279353	0.395160	0.400444	0.058678	0.145718	0.171901	0.342065	0.151907	0.334126	0.395160	0.400444	0.058678	0.145718	
9000	6.211822	3	0.317840	0.236532	0.151924	0.293704	0.395160	0.400444	0.058678	0.145718	0.159176	0.338872	0.197076	0.304876	0.395160	0.400444	0.058678	0.145718	0.159176	0.338872	0.197076	0.304876	0.317840	0.236532	0.151924	0.293704	0.395160	0.400444	0.058678	0.145718	0.159176	0.338872	0.197076	0.304876	0.395160	0.400444	0.058678	0.145718	
10000	10.601272	4	0.397536	0.248438	0.085214	0.268811	0.395160	0.400444	0.058678	0.145718	0.200685	0.347875	0.146533	0.304907	0.395160	0.400444	0.058678	0.145718	0.277635	0.251067	0.172249	0.299049	0.277635	0.251067	0.172249	0.299049	0.395160	0.400444	0.058678	0.145718	0.200685	0.347875	0.146533	0.304907	0.395160	0.400444	0.058678	0.145718	
11000	7.704516	3	0.395160	0.400444	0.058678	0.145718	0.395160	0.400444	0.058678	0.145718	0.217973	0.268662	0.189483	0.323882	0.395160	0.400444	0.058678	0.145718	0.166424	0.343107	0.229895	0.260575	0.217973	0.268662	0.189483	0.323882	0.395160	0.400444	0.058678	0.145718	0.217973	0.268662	0.189483	0.323882	0.395160	0.400444	0.058678	0.145718	
12000	6.790573	3	0.395160	0.400444	0.058678	0.145718	0.395160	0.400444	0.058678	0.145718	0.173906	0.309314	0.156901	0.359879	0.395160	0.400444	0.058678	0.145718	0.257735	0.257043	0.189928	0.295293	0.257735	0.257043	0.189928	0.295293	0.395160	0.400444	0.058678	0.145718	0.173906	0.309314	0.156901	0.359879	0.395160	0.400444	0.058678	0.145718	
13000	8.312205	2	0.396626	0.398777	0.061563	0.143034	0.396626	0.398777	0.061563	0.143034	0.185176	0.363446	0.160411	0.290966	0.396626	0.398777	0.061563	0.143034	0.185176	0.363446	0.160411	0.290966	0.185176	0.363446	0.160411	0.290966	0.396626	0.398777	0.061563	0.143034	0.185176	0.363446	0.160411	0.290966	0.396626	0.398777	0.061563	0.143034	
14000	5.256296	2	0.396626	0.398777	0.061563	0.143034	0.396626	0.398777	0.061563	0.143034	0.223663	0.286325	0.164188	0.325824	0.396626	0.398777	0.061563	0.143034	0.223663	0.286325	0.164188	0.325824	0.223663	0.286325	0.164188	0.325824	0.396626	0.398777	0.061563	0.143034	0.223663	0.286325	0.164188	0.325824	0.396626	0.398777	0.061563	0.143034	
15000	9.867977	2	0.396626	0.398777	0.061563	0.143034	0.396626	0.398777	0.061563	0.143034	0.230772	0.272043	0.185785	0.311399	0.396626	0.398777	0.061563	0.143034	0.230772	0.272043	0.185785	0.311399	0.230772	0.272043	0.185785	0.311399	0.396626	0.398777	0.061563	0.143034	0.230772	0.272043	0.185785	0.311399	0.396626	0.398777	0.061563	0.143034	
16000	10.490855	2	0.396626	0.398777	0.061563	0.143034	0.396626	0.398777	0.061563	0.143034	0.210014	0.341400	0.155720	0.292865	0.396626	0.398777	0.061563	0.143034	0.210014	0.341400	0.155720	0.292865	0.210014	0.341400	0.155720	0.292865	0.396626	0.398777	0.061563	0.143034	0.210014	0.341400	0.155720	0.292865	0.396626	0.398777	0.061563	0.143034	
