Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	6.010110	4	0.253157	0.339532	0.253157	1.140731	0.339532	0.339532	0.253157	0.253157	0.997971	
2000	4.894013	4	0.278233	0.278233	0.278233	2.037224	0.418456	0.418456	0.278233	0.245758	2.037224	
3000	5.120443	3	0.255978	0.255978	0.255978	2.003312	0.464478	0.464478	0.255978	0.255978	2.003312	
4000	6.511796	4	0.247519	0.247519	0.247519	1.636434	0.390198	0.587505	0.247519	0.247519	1.636434	
5000	4.527819	3	0.270649	0.270649	0.270649	2.822557	0.456795	0.456795	0.270649	0.270649	2.822557	
6000	5.288284	4	0.270447	0.270447	0.270447	3.247487	0.493141	0.493141	0.238235	0.238235	3.247487	
7000	8.053191	4	0.263036	0.263036	0.263036	2.760610	0.609878	0.563344	0.263036	0.263036	2.760610	
8000	5.233111	3	0.268209	0.268209	0.268209	3.559619	0.419669	0.419669	0.268209	0.268209	3.559619	
9000	5.974142	4	0.235363	0.235363	0.235363	2.521752	0.415012	0.415012	0.235363	0.193210	2.521752	
10000	4.663777	4	0.245504	0.245504	0.245504	3.083847	0.540683	0.540683	0.245504	0.236626	3.083847	
11000	7.240323	5	0.326425	0.276877	0.276877	2.306363	0.568836	0.568836	0.242647	0.242647	2.306363	
12000	4.257611	4	0.260570	0.260570	0.260570	3.261481	0.462568	0.462568	0.260570	0.215149	3.261481	
13000	6.492272	4	0.265303	0.265303	0.265303	3.060616	0.513585	0.513585	0.265303	0.203892	3.060616	
14000	5.200757	3	0.248062	0.248062	0.248062	2.228254	0.373482	0.373482	0.248062	0.248062	2.228254	
15000	3.597386	5	0.264045	0.264045	0.264045	2.451114	0.473540	0.473540	0.264045	0.134691	2.209952	
16000	5.635143	5	0.270431	0.270431	0.270431	2.325075	0.459565	0.674346	0.270431	0.255703	2.325075	
17000	5.249264	4	0.265640	0.265640	0.265640	3.059279	0.416026	0.504378	0.265640	0.265640	3.059279	
18000	7.539291	3	0.254233	0.254233	0.254233	3.018951	0.459119	0.459119	0.254233	0.254233	3.018951	
19000	5.798822	4	0.256538	0.256538	0.256538	2.794726	0.571021	0.571021	0.256538	0.197796	2.794726	
20000	6.238113	3	0.262479	0.262479	0.262479	3.075737	0.502785	0.502785	0.262479	0.262479	3.075737	
21000	6.857937	4	0.265499	0.265499	0.265499	3.386467	0.421447	0.696300	0.265499	0.265499	3.386467	
22000	6.145549	5	0.258558	0.258558	0.284576	2.378618	0.443648	0.443648	0.284576	0.178519	2.378618	
23000	6.640117	7	0.256097	0.266363	0.256097	2.524095	0.339218	0.548645	0.241575	0.206572	2.524095	
24000	5.149993	5	0.253799	0.253799	0.247868	2.815989	0.393434	0.414552	0.247868	0.247868	2.815989	
25000	8.727434	4	0.275867	0.275867	0.275867	2.489791	0.417243	0.417243	0.275867	0.191877	2.489791	
26000	7.997890	4	0.262938	0.262938	0.262938	3.061740	0.509681	0.556023	0.262938	0.262938	3.061740	
27000	5.455178	4	0.271527	0.271527	0.271527	1.995231	0.569128	0.569128	0.271527	0.203294	1.995231	
28000	4.699029	5	0.250553	0.257119	0.250553	2.981566	0.496893	0.496893	0.257119	0.201294	2.981566	
29000	4.803996	4	0.244104	0.284588	0.284588	2.593329	0.502735	0.502735	0.244104	0.244104	2.593329	
30000	4.976256	4	0.233729	0.247733	0.233729	2.214939	0.537122	0.537122	0.233729	0.233729	2.214939	
31000	4.777487	3	0.257898	0.257898	0.257898	2.045372	0.627807	0.627807	0.257898	0.257898	2.045372	
32000	5.176447	3	0.259013	0.259013	0.259013	3.299543	0.521852	0.521852	0.259013	0.259013	3.299543	
33000	4.331234	5	0.253943	0.253943	0.253943	2.356953	0.439826	0.439826	0.267060	0.201083	2.356953	
34000	4.478874	3	0.248583	0.248583	0.248583	3.062334	0.567938	0.567938	0.248583	0.248583	3.062334	
35000	2.967768	3	0.252819	0.252819	0.252819	2.044758	0.512694	0.512694	0.252819	0.252819	2.044758	
36000	4.997332	4	0.252256	0.252256	0.252256	3.052964	0.459575	0.612986	0.252256	0.252256	3.052964	
37000	5.194618	4	0.279349	0.279349	0.279349	2.358087	0.399049	0.399049	0.279349	0.123796	2.358087	
38000	5.308089	4	0.256026	0.256026	0.230772	2.864997	0.461831	0.461831	0.256026	0.230772	2.864997	
39000	4.939314	4	0.255769	0.255769	0.255769	2.267465	0.492650	0.524571	0.255769	0.255769	2.267465	
40000	9.265284	5	0.204429	0.292734	0.292734	2.692793	0.479673	0.479673	0.292734	0.173070	2.692793	
41000	8.753444	5	0.255974	0.287404	0.248836	3.139573	0.502119	0.502119	0.248836	0.248836	3.139573	
42000	6.013217	5	0.244118	0.244118	0.244118	3.027777	0.476214	0.577356	0.244118	0.218226	3.027777	
43000	5.299421	3	0.234959	0.234959	0.234959	3.126990	0.496066	0.496066	0.234959	0.234959	3.126990	
44000	3.861581	4	0.239597	0.239597	0.239597	3.075805	0.464293	0.623292	0.239597	0.239597	3.075805	
45000	3.143279	3	0.245665	0.245665	0.245665	3.077888	0.404552	0.404552	0.245665	0.245665	3.077888	
46000	6.045454	4	0.253722	0.253722	0.253722	1.730948	0.593723	0.593723	0.240456	0.253722	1.730948	
47000	8.813252	4	0.261874	0.261874	0.261874	2.887018	0.604144	0.515662	0.261874	0.261874	2.887018	
48000	8.130664	3	0.254370	0.254370	0.254370	2.902610	0.507647	0.507647	0.254370	0.254370	2.902610	
49000	4.814502	3	0.240981	0.240981	0.240981	3.113487	0.447884	0.447884	0.240981	0.240981	3.113487	
50000	6.378586	4	0.251843	0.251843	0.251843	3.168545	0.455380	0.455380	0.251843	0.218980	3.168545	
51000	5.934639	4	0.251261	0.251261	0.251261	2.774709	0.403735	0.426629	0.251261	0.251261	2.774709	
