Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.137478	3	0.220355	0.394677	0.220355	1.309782	0.394677	0.394677	0.220355	0.220355	1.309782	
2000	1.137478	3	0.222264	0.409160	0.222264	1.930402	0.409160	0.409160	0.222264	0.222264	1.930402	
3000	1.137478	4	0.239772	0.463733	0.239772	2.040386	0.463733	0.463733	0.239772	0.179326	2.040386	
4000	1.137478	4	0.263356	0.397550	0.263356	1.652521	0.397550	0.445840	0.263356	0.263356	1.652521	
5000	1.137478	3	0.218194	0.485283	0.218194	2.157269	0.485283	0.485283	0.218194	0.218194	2.157269	
6000	1.137478	3	0.235568	0.427215	0.235568	2.993381	0.427215	0.427215	0.235568	0.235568	2.993381	
7000	1.137478	3	0.262920	0.262920	0.262920	2.160863	0.443933	0.443933	0.262920	0.262920	2.160863	
8000	1.137478	4	0.242432	0.242432	0.242432	2.386613	0.385031	0.547687	0.242432	0.242432	2.386613	
9000	1.137478	4	0.260819	0.260819	0.260819	2.265082	0.505411	0.505411	0.260819	0.222317	2.265082	
10000	1.137478	3	0.234341	0.234341	0.234341	2.083495	0.477919	0.477919	0.234341	0.234341	2.083495	
11000	1.137478	3	0.248184	0.248184	0.248184	2.408774	0.539668	0.539668	0.248184	0.248184	2.408774	
12000	1.137478	3	0.253310	0.253310	0.253310	2.804554	0.557475	0.557475	0.253310	0.253310	2.804554	
13000	1.137478	4	0.261838	0.261838	0.261838	2.981230	0.517242	0.517242	0.261838	0.139084	2.981230	
14000	1.137478	5	0.231696	0.231696	0.248731	2.512238	0.563149	0.563149	0.231696	0.207264	2.512238	
15000	1.137478	4	0.255692	0.255692	0.255692	2.294492	0.516749	0.516749	0.255692	0.213952	2.294492	
16000	1.137478	3	0.254236	0.254236	0.254236	2.379673	0.457506	0.457506	0.254236	0.254236	2.379673	
17000	1.137478	4	0.258690	0.258690	0.258690	2.792193	0.489046	0.489046	0.258690	0.153218	2.792193	
18000	1.137478	5	0.257444	0.257444	0.257444	2.578636	0.457524	0.457524	0.253469	0.179785	2.578636	
19000	1.137478	4	0.268119	0.268119	0.268119	2.058425	0.484325	0.498576	0.268119	0.268119	2.058425	
20000	1.137478	4	0.263063	0.263063	0.263063	2.161388	0.477077	0.477077	0.263063	0.179498	2.161388	
21000	1.137478	6	0.262073	0.261716	0.261716	2.417450	0.388338	0.511671	0.261716	0.162357	2.417450	
22000	1.137478	3	0.268012	0.268012	0.268012	2.396798	0.475622	0.475622	0.268012	0.268012	2.396798	
23000	1.137478	5	0.235825	0.271353	0.235825	2.739695	0.484362	0.484362	0.235825	0.177852	2.739695	
24000	1.137478	6	0.282907	0.282907	0.282907	2.198564	0.516121	0.478004	0.244094	0.142392	2.198564	
25000	1.137478	3	0.246828	0.246828	0.246828	2.788421	0.427483	0.427483	0.246828	0.246828	2.788421	
26000	1.137478	4	0.263470	0.263470	0.263470	2.427146	0.411736	0.411736	0.263470	0.191730	2.427146	
27000	1.137478	3	0.266514	0.266514	0.266514	2.526116	0.501418	0.501418	0.266514	0.266514	2.526116	
28000	1.137478	4	0.266367	0.266367	0.266367	2.766286	0.367561	0.675956	0.266367	0.266367	2.766286	
29000	1.137478	3	0.268550	0.268550	0.268550	2.638481	0.468147	0.468147	0.268550	0.268550	2.638481	
30000	1.137478	4	0.255909	0.255909	0.255909	2.579713	0.528320	0.528320	0.255909	0.183581	2.579713	
31000	1.137478	3	0.248509	0.248509	0.248509	2.419086	0.421696	0.421696	0.248509	0.248509	2.419086	
32000	1.137478	3	0.257126	0.257126	0.257126	2.744882	0.429317	0.429317	0.257126	0.257126	2.744882	
33000	1.137478	4	0.259870	0.259870	0.259870	2.438300	0.469512	0.468890	0.259870	0.259870	2.438300	
34000	1.137478	3	0.256916	0.256916	0.256916	2.300128	0.470958	0.470958	0.256916	0.256916	2.300128	
35000	1.137478	3	0.261445	0.261445	0.261445	2.841763	0.497577	0.497577	0.261445	0.261445	2.841763	
