Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.137478	4	0.308553	0.308553	0.308553	1.618852	0.366916	0.366916	0.308553	0.152034	1.618852	
2000	1.137478	6	0.238844	0.315492	0.228594	1.691950	0.418617	0.418617	0.238844	0.199584	1.691950	
3000	1.137478	4	0.267310	0.267310	0.267310	2.130412	0.521080	0.521080	0.267310	0.151052	2.130412	
4000	1.137478	4	0.257499	0.257499	0.257499	2.439007	0.363491	0.490264	0.257499	0.257499	2.439007	
5000	1.137478	4	0.263593	0.263593	0.263593	2.605323	0.457145	0.457145	0.263593	0.237099	2.605323	
6000	1.137478	4	0.255298	0.255298	0.255298	2.715839	0.443115	0.501433	0.255298	0.255298	2.715839	
7000	1.137478	5	0.260046	0.260046	0.260046	2.480792	0.284466	0.477846	0.260046	0.156951	2.480792	
8000	1.137478	4	0.272161	0.272161	0.272161	3.043978	0.430675	0.434124	0.272161	0.272161	3.043978	
9000	1.137478	4	0.278154	0.278154	0.278154	1.969937	0.534210	0.534210	0.278154	0.172789	1.969937	
10000	1.137478	4	0.250777	0.250777	0.250777	2.702168	0.526572	0.526572	0.237260	0.237260	2.702168	
11000	1.137478	4	0.272124	0.272124	0.272124	2.454859	0.468328	0.468328	0.272124	0.243422	2.454859	
12000	1.137478	4	0.259688	0.259688	0.259688	2.374899	0.515478	0.515478	0.259688	0.215423	2.374899	
13000	1.137478	4	0.245252	0.245252	0.245252	2.165444	0.449021	0.449021	0.245252	0.199017	2.165444	
14000	1.137478	3	0.255000	0.255000	0.255000	2.848185	0.462813	0.462813	0.255000	0.255000	2.848185	
15000	1.137478	4	0.277225	0.277225	0.277225	2.760544	0.443536	0.443536	0.277225	0.240784	2.760544	
16000	1.137478	3	0.269286	0.269286	0.269286	2.605666	0.517251	0.517251	0.269286	0.269286	2.605666	
17000	1.137478	4	0.246999	0.246999	0.246999	2.359314	0.560426	0.560426	0.246999	0.167136	2.359314	
18000	1.137478	3	0.253010	0.253010	0.253010	2.449508	0.430650	0.430650	0.253010	0.253010	2.449508	
19000	1.137478	4	0.271815	0.271815	0.271815	2.446554	0.437749	0.502376	0.271815	0.271815	2.446554	
20000	1.137478	4	0.278874	0.278874	0.241960	2.572130	0.483421	0.483421	0.241960	0.241960	2.572130	
21000	1.137478	3	0.255599	0.255599	0.255599	3.028046	0.423079	0.423079	0.255599	0.255599	3.028046	
