Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.137478	4	0.186682	0.355581	0.295387	0.926312	0.295387	0.355581	0.186682	0.186682	0.926312	
2000	1.137478	3	0.208806	0.416805	0.208806	1.461559	0.416805	0.416805	0.208806	0.208806	1.461559	
3000	1.137478	4	0.237711	0.237711	0.237711	1.701740	0.465606	0.465606	0.220221	0.220221	1.701740	
4000	1.137478	3	0.210349	0.210349	0.210349	2.121723	0.366277	0.366277	0.210349	0.210349	2.121723	
5000	1.137478	3	0.228162	0.228162	0.228162	2.031269	0.456697	0.456697	0.228162	0.228162	2.031269	
6000	1.137478	6	0.227067	0.242118	0.242118	1.750500	0.393257	0.406240	0.242118	0.179559	1.750500	
7000	1.137478	3	0.247061	0.247061	0.247061	2.185254	0.424018	0.424018	0.247061	0.247061	2.185254	
8000	1.137478	4	0.264807	0.264807	0.264807	2.280493	0.453925	0.453925	0.248357	0.248357	2.280493	
9000	1.137478	4	0.234917	0.234917	0.234917	2.266886	0.424501	0.424501	0.234917	0.183565	2.266886	
10000	1.137478	5	0.268189	0.268189	0.268189	2.371374	0.470605	0.470605	0.270855	0.199183	2.371374	
11000	1.137478	5	0.243402	0.243402	0.243402	2.390921	0.446565	0.442281	0.243402	0.219549	2.390921	
12000	1.137478	3	0.277910	0.277910	0.277910	2.629342	0.452268	0.452268	0.277910	0.277910	2.629342	
13000	1.137478	4	0.243919	0.243919	0.243919	1.970052	0.478933	0.478933	0.243919	0.222747	1.970052	
14000	1.137478	4	0.263303	0.263303	0.263303	2.741090	0.416007	0.416007	0.263303	0.203136	2.741090	
15000	1.137478	3	0.259302	0.259302	0.259302	2.199196	0.445491	0.445491	0.259302	0.259302	2.199196	
16000	1.137478	3	0.253299	0.253299	0.253299	2.412780	0.447951	0.447951	0.253299	0.253299	2.412780	
17000	1.137478	4	0.259315	0.249558	0.259315	1.960035	0.460127	0.460127	0.249558	0.249558	1.960035	
18000	1.137478	4	0.228575	0.246101	0.246101	2.589613	0.410419	0.410419	0.246101	0.228575	2.589613	
19000	1.137478	5	0.247187	0.256929	0.256929	2.640402	0.457166	0.457166	0.247187	0.247187	1.968942	
20000	1.137478	3	0.251744	0.251744	0.251744	2.668204	0.453386	0.453386	0.251744	0.251744	2.668204	
21000	1.137478	4	0.257806	0.257806	0.257806	2.159892	0.374710	0.491891	0.257806	0.257806	2.159892	
22000	1.137478	4	0.228021	0.263069	0.228021	2.756241	0.460276	0.460276	0.228021	0.228021	2.756241	
23000	1.137478	4	0.259197	0.259197	0.259197	2.611245	0.450261	0.450261	0.259197	0.259197	1.872941	
24000	1.137478	3	0.270920	0.270920	0.270920	2.743726	0.461140	0.461140	0.270920	0.270920	2.743726	
25000	1.137478	4	0.266574	0.266574	0.266574	2.538592	0.379888	0.452266	0.266574	0.266574	2.538592	
26000	1.137478	5	0.255698	0.269748	0.269748	2.071235	0.485795	0.485795	0.255698	0.153516	2.071235	
27000	1.137478	4	0.237430	0.272274	0.272274	2.697353	0.356019	0.356019	0.237430	0.237430	2.697353	
28000	1.137478	4	0.275905	0.275905	0.275905	2.418695	0.427065	0.472059	0.275905	0.275905	2.418695	
29000	1.137478	3	0.274662	0.274662	0.274662	2.291264	0.394752	0.394752	0.274662	0.274662	2.291264	
30000	1.137478	4	0.242101	0.242101	0.242101	2.324923	0.384914	0.436403	0.242101	0.242101	2.324923	
31000	1.137478	4	0.213265	0.280698	0.280698	2.410205	0.497193	0.497193	0.213265	0.213265	2.410205	
32000	1.137478	3	0.238770	0.238770	0.238770	2.143568	0.425830	0.425830	0.238770	0.238770	2.143568	
33000	1.137478	4	0.265137	0.265137	0.265137	1.838031	0.515118	0.515118	0.225603	0.225603	1.838031	
34000	1.137478	3	0.265403	0.265403	0.265403	2.461077	0.511643	0.511643	0.265403	0.265403	2.461077	
35000	1.137478	4	0.242615	0.242615	0.242615	1.998792	0.411841	0.542179	0.242615	0.242615	1.998792	
36000	1.137478	5	0.253121	0.253121	0.253121	2.041041	0.481710	0.481710	0.225355	0.187381	2.041041	
37000	1.137478	3	0.236223	0.236223	0.236223	2.220338	0.524092	0.524092	0.236223	0.236223	2.220338	
38000	1.137478	3	0.237097	0.237097	0.237097	2.472406	0.452064	0.452064	0.237097	0.237097	2.472406	
39000	1.137478	4	0.246978	0.246978	0.246978	2.226690	0.431281	0.588520	0.246978	0.246978	2.226690	
40000	1.137478	4	0.242485	0.242485	0.242485	2.086308	0.351418	0.661217	0.242485	0.242485	2.086308	
41000	1.137478	4	0.241454	0.244475	0.241454	2.622019	0.526453	0.526453	0.244475	0.244475	2.622019	
42000	1.137478	5	0.246086	0.246086	0.246086	2.277527	0.434088	0.572708	0.246086	0.153538	2.277527	
43000	1.137478	4	0.244873	0.244295	0.244295	2.751592	0.461274	0.461274	0.244295	0.244295	2.751592	
44000	1.137478	4	0.247596	0.247596	0.247596	2.116066	0.366170	0.513139	0.247596	0.247596	2.116066	
45000	1.137478	5	0.235804	0.235804	0.235804	2.276576	0.479501	0.530629	0.236367	0.235804	2.276576	
46000	1.137478	3	0.244275	0.244275	0.244275	2.429649	0.635711	0.635711	0.244275	0.244275	2.429649	
47000	1.137478	4	0.231969	0.231969	0.231969	2.538298	0.650676	0.650676	0.231969	0.163311	2.538298	
48000	1.137478	3	0.242887	0.242887	0.242887	2.591410	0.488230	0.488230	0.242887	0.242887	2.591410	
49000	1.137478	4	0.256369	0.256369	0.256369	2.007123	0.471966	0.471966	0.256369	0.221036	2.007123	
50000	1.137478	5	0.258831	0.258831	0.258831	2.573132	0.462207	0.511870	0.258831	0.153170	2.573132	
51000	1.137478	4	0.267160	0.267160	0.267160	2.765662	0.474477	0.474477	0.267160	0.160931	2.765662	
52000	1.137478	3	0.241514	0.241514	0.241514	2.909498	0.496285	0.496285	0.241514	0.241514	2.909498	
53000	1.137478	3	0.265097	0.265097	0.265097	3.152391	0.465657	0.465657	0.265097	0.265097	3.152391	
54000	1.137478	3	0.239544	0.239544	0.239544	2.106565	0.448396	0.448396	0.239544	0.239544	2.106565	
55000	1.137478	4	0.252443	0.252443	0.273876	2.889626	0.486671	0.486671	0.252443	0.252443	2.889626	
56000	1.137478	4	0.272876	0.272876	0.272876	2.491814	0.448652	0.448652	0.272876	0.140198	2.491814	
57000	1.137478	4	0.242849	0.242849	0.242849	2.984132	0.507158	0.546967	0.242849	0.242849	2.984132	
58000	1.137478	3	0.247362	0.247362	0.247362	2.681678	0.495379	0.495379	0.247362	0.247362	2.681678	
59000	1.137478	3	0.260159	0.260159	0.260159	2.069262	0.470197	0.470197	0.260159	0.260159	2.069262	
