Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
688000	1.137478	5	0.246262	0.246262	0.246262	2.821806	0.450056	0.450056	0.237866	0.162016	2.821806	
689000	1.137478	3	0.255953	0.255953	0.255953	2.893163	0.372376	0.372376	0.255953	0.255953	2.893163	
690000	1.137478	3	0.259755	0.259755	0.259755	2.145138	0.571904	0.571904	0.259755	0.259755	2.145138	
691000	1.137478	3	0.246248	0.246248	0.246248	2.754583	0.566672	0.566672	0.246248	0.246248	2.754583	
692000	1.137478	4	0.255964	0.255964	0.255964	2.938267	0.478078	0.478078	0.255964	0.178861	2.938267	
693000	1.137478	3	0.238644	0.238644	0.238644	3.204172	0.387395	0.387395	0.238644	0.238644	3.204172	
694000	1.137478	4	0.259645	0.242081	0.259645	2.553275	0.539190	0.539190	0.242081	0.242081	2.553275	
695000	1.137478	4	0.236322	0.236322	0.236322	3.634566	0.474339	0.474339	0.236322	0.157994	3.634566	
696000	1.137478	3	0.243674	0.243674	0.243674	3.209720	0.506260	0.506260	0.243674	0.243674	3.209720	
697000	1.137478	3	0.251134	0.251134	0.251134	2.761124	0.467803	0.467803	0.251134	0.251134	2.761124	
698000	1.137478	4	0.254118	0.254118	0.254118	2.870502	0.455562	0.455562	0.254118	0.183690	2.870502	
699000	1.137478	3	0.235364	0.235364	0.235364	3.137660	0.471366	0.471366	0.235364	0.235364	3.137660	
700000	1.137478	4	0.236010	0.236010	0.236010	2.612038	0.427920	0.427920	0.213501	0.213501	2.612038	
701000	1.137478	3	0.229169	0.229169	0.229169	2.330231	0.550168	0.550168	0.229169	0.229169	2.330231	
702000	1.137478	5	0.248345	0.248345	0.248345	2.277003	0.378346	0.541183	0.248345	0.161450	2.277003	
703000	1.137478	3	0.233892	0.233892	0.233892	2.840935	0.489723	0.489723	0.233892	0.233892	2.840935	
704000	1.137478	3	0.239684	0.239684	0.239684	2.658297	0.517428	0.517428	0.239684	0.239684	2.658297	
705000	1.137478	3	0.227281	0.227281	0.227281	2.546683	0.485548	0.485548	0.227281	0.227281	2.546683	
706000	1.137478	4	0.236313	0.236313	0.236313	2.643346	0.495672	0.495672	0.236313	0.134329	2.643346	
707000	1.137478	4	0.229680	0.266559	0.229680	2.815587	0.510567	0.510567	0.229680	0.229680	2.815587	
708000	1.137478	4	0.243825	0.243825	0.243825	3.013057	0.439273	0.439273	0.243825	0.160991	3.013057	
709000	1.137478	4	0.230051	0.230051	0.230051	2.507886	0.460878	0.460878	0.230051	0.137070	2.507886	
710000	1.137478	4	0.243797	0.243797	0.243797	2.619129	0.400854	0.501801	0.243797	0.243797	2.619129	
711000	1.137478	5	0.230505	0.230505	0.229558	3.101312	0.509816	0.509816	0.229558	0.229558	2.639381	
712000	1.137478	3	0.239888	0.239888	0.239888	2.171873	0.547014	0.547014	0.239888	0.239888	2.171873	
713000	1.137478	5	0.254918	0.254918	0.254918	2.434647	0.331175	0.394753	0.254918	0.168031	2.434647	
714000	1.137478	4	0.244900	0.244900	0.244900	2.192992	0.375456	0.461407	0.244900	0.244900	2.192992	
715000	1.137478	5	0.234179	0.234179	0.281908	2.584149	0.472900	0.555790	0.234179	0.234179	2.584149	
716000	1.137478	4	0.238298	0.238298	0.238298	2.420944	0.531825	0.531825	0.238298	0.174144	2.420944	
717000	1.137478	4	0.236995	0.236995	0.236995	2.554499	0.448556	0.448556	0.236995	0.170179	2.554499	
718000	1.137478	4	0.258315	0.258315	0.258315	2.194095	0.502109	0.502109	0.258315	0.144226	2.194095	
719000	1.137478	3	0.223309	0.223309	0.223309	2.174590	0.577670	0.577670	0.223309	0.223309	2.174590	
720000	1.137478	3	0.245576	0.245576	0.245576	2.804885	0.508851	0.508851	0.245576	0.245576	2.804885	
721000	1.137478	3	0.247631	0.247631	0.247631	2.768823	0.402653	0.402653	0.247631	0.247631	2.768823	
722000	1.137478	4	0.228946	0.228946	0.228946	2.643279	0.464594	0.464594	0.228946	0.204828	2.643279	
723000	1.137478	5	0.241143	0.260668	0.260668	2.272292	0.533438	0.533438	0.241143	0.134086	2.272292	
724000	1.137478	3	0.235039	0.235039	0.235039	2.862731	0.487904	0.487904	0.235039	0.235039	2.862731	
725000	1.137478	3	0.245671	0.245671	0.245671	2.573600	0.469276	0.469276	0.245671	0.245671	2.573600	
726000	1.137478	3	0.253599	0.253599	0.253599	2.242595	0.453374	0.453374	0.253599	0.253599	2.242595	
727000	1.137478	3	0.251003	0.251003	0.251003	2.866866	0.450753	0.450753	0.251003	0.251003	2.866866	
728000	1.137478	5	0.268221	0.296636	0.233201	3.015737	0.439488	0.439488	0.233201	0.233201	3.015737	
729000	1.137478	4	0.257372	0.257372	0.257372	2.513660	0.508073	0.508073	0.244294	0.244294	2.513660	
730000	1.137478	3	0.240022	0.240022	0.240022	2.614671	0.454313	0.454313	0.240022	0.240022	2.614671	
731000	1.137478	4	0.250048	0.250048	0.250048	3.066705	0.429989	0.429989	0.250048	0.146317	3.066705	
732000	1.137478	5	0.242887	0.242887	0.242887	2.246794	0.446625	0.517194	0.242887	0.158116	2.246794	
733000	1.137478	4	0.240117	0.240117	0.240117	1.944468	0.462783	0.519653	0.240117	0.240117	1.944468	
734000	1.137478	4	0.243479	0.243479	0.243479	2.577996	0.527610	0.527610	0.243479	0.149596	2.577996	
