Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.137478	5	0.230452	0.395596	0.262072	1.796864	0.410468	0.410468	0.230452	0.230452	1.796864	
2000	1.137478	3	0.251728	0.251728	0.251728	1.487758	0.461164	0.461164	0.251728	0.251728	1.487758	
3000	1.137478	3	0.265567	0.265567	0.265567	1.979181	0.429871	0.429871	0.265567	0.265567	1.979181	
4000	1.137478	3	0.245602	0.245602	0.245602	2.307931	0.546313	0.546313	0.245602	0.245602	2.307931	
5000	1.137478	3	0.227193	0.227193	0.227193	2.324532	0.478334	0.478334	0.227193	0.227193	2.324532	
6000	1.137478	4	0.237149	0.237149	0.237149	1.659553	0.488679	0.488679	0.237149	0.237149	1.867283	
7000	1.137478	4	0.246648	0.246648	0.246648	2.945032	0.524962	0.524962	0.246648	0.143848	2.945032	
8000	1.137478	3	0.251975	0.251975	0.251975	2.557969	0.499664	0.499664	0.251975	0.251975	2.557969	
9000	1.137478	3	0.231667	0.231667	0.231667	2.661163	0.668968	0.668968	0.231667	0.231667	2.661163	
10000	1.137478	3	0.271645	0.271645	0.271645	2.587056	0.457867	0.457867	0.271645	0.271645	2.587056	
11000	1.137478	3	0.258680	0.258680	0.258680	2.747549	0.381624	0.381624	0.258680	0.258680	2.747549	
12000	1.137478	3	0.258478	0.258478	0.258478	3.108659	0.516859	0.516859	0.258478	0.258478	3.108659	
13000	1.137478	3	0.257061	0.257061	0.257061	3.040212	0.445390	0.445390	0.257061	0.257061	3.040212	
14000	1.137478	3	0.261069	0.261069	0.261069	2.839496	0.503148	0.503148	0.261069	0.261069	2.839496	
15000	1.137478	4	0.267735	0.267735	0.267735	2.786804	0.491373	0.491373	0.267735	0.174216	2.786804	
16000	1.137478	3	0.252075	0.252075	0.252075	2.401601	0.505582	0.505582	0.252075	0.252075	2.401601	
17000	1.137478	5	0.254875	0.269781	0.269781	3.148076	0.429242	0.429242	0.254875	0.218591	3.148076	
18000	1.137478	3	0.253103	0.253103	0.253103	2.966052	0.502279	0.502279	0.253103	0.253103	2.966052	
19000	1.137478	3	0.244649	0.244649	0.244649	2.838551	0.505767	0.505767	0.244649	0.244649	2.838551	
20000	1.137478	3	0.251839	0.251839	0.251839	2.676790	0.621543	0.621543	0.251839	0.251839	2.676790	
21000	1.137478	3	0.253292	0.253292	0.253292	2.850250	0.495439	0.495439	0.253292	0.253292	2.850250	
22000	1.137478	3	0.249132	0.249132	0.249132	2.641798	0.521950	0.521950	0.249132	0.249132	2.641798	
23000	1.137478	4	0.244289	0.244289	0.244289	2.236586	0.455844	0.455844	0.244289	0.198753	2.236586	
24000	1.137478	3	0.245033	0.245033	0.245033	3.131823	0.462822	0.462822	0.245033	0.245033	3.131823	
25000	1.137478	5	0.258251	0.254904	0.258251	3.144384	0.459176	0.459176	0.254904	0.125336	3.144384	
26000	1.137478	4	0.246841	0.246841	0.246841	2.594191	0.549348	0.549348	0.246841	0.231176	2.594191	
27000	1.137478	4	0.261265	0.261265	0.261265	2.984737	0.532787	0.532787	0.261265	0.155503	2.984737	
28000	1.137478	4	0.236507	0.236507	0.236507	2.598309	0.479247	0.582687	0.236507	0.236507	2.598309	
29000	1.137478	5	0.254437	0.235381	0.254437	3.020626	0.469709	0.469709	0.235381	0.181096	3.020626	
30000	1.137478	3	0.257341	0.257341	0.257341	3.156542	0.541944	0.541944	0.257341	0.257341	3.156542	
31000	1.137478	3	0.244901	0.244901	0.244901	2.303309	0.386143	0.386143	0.244901	0.244901	2.303309	
32000	1.137478	4	0.251885	0.251885	0.251885	1.838733	0.449227	0.449227	0.251885	0.197117	1.838733	
33000	1.137478	3	0.265922	0.265922	0.265922	2.455822	0.517244	0.517244	0.265922	0.265922	2.455822	
34000	1.137478	3	0.243963	0.243963	0.243963	2.309405	0.495186	0.495186	0.243963	0.243963	2.309405	
35000	1.137478	3	0.247324	0.247324	0.247324	2.567974	0.427954	0.427954	0.247324	0.247324	2.567974	
36000	1.137478	4	0.261251	0.261251	0.261251	2.856307	0.515753	0.515753	0.261251	0.130048	2.856307	
37000	1.137478	4	0.257424	0.257424	0.257424	2.836548	0.428303	0.549219	0.257424	0.257424	2.836548	
38000	1.137478	3	0.255236	0.255236	0.255236	2.853605	0.404324	0.404324	0.255236	0.255236	2.853605	
39000	1.137478	3	0.278658	0.278658	0.278658	2.289384	0.456547	0.456547	0.278658	0.278658	2.289384	
40000	1.137478	4	0.260768	0.260768	0.260768	2.679105	0.527681	0.527681	0.260768	0.239616	2.679105	
41000	1.137478	4	0.245360	0.245360	0.245360	3.045855	0.245360	0.753820	0.245360	0.170895	3.045855	
42000	1.137478	3	0.258064	0.258064	0.258064	2.528968	0.446275	0.446275	0.258064	0.258064	2.528968	
43000	1.137478	3	0.262984	0.262984	0.262984	2.869080	0.466005	0.466005	0.262984	0.262984	2.869080	
