Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
6010000	1.137478	3	0.249083	0.249083	0.249083	2.774233	0.404076	0.404076	0.249083	0.249083	2.774233	
6011000	1.137478	3	0.238381	0.238381	0.238381	2.592134	0.463411	0.463411	0.238381	0.238381	2.592134	
6012000	1.137478	3	0.247075	0.247075	0.247075	2.714830	0.445013	0.445013	0.247075	0.247075	2.714830	
6013000	1.137478	4	0.246921	0.246921	0.246921	3.160805	0.494245	0.494245	0.246921	0.154220	3.160805	
6014000	1.137478	5	0.239029	0.238484	0.261286	2.373647	0.634103	0.634103	0.239029	0.239029	2.373647	
6015000	1.137478	4	0.227762	0.246877	0.227762	3.018954	0.493236	0.493236	0.227762	0.227762	3.018954	
6016000	1.137478	4	0.234596	0.234596	0.234596	2.245616	0.650204	0.650204	0.234596	0.162801	2.245616	
6017000	1.137478	4	0.243313	0.243313	0.243313	2.358824	0.391734	0.391734	0.243313	0.149065	2.358824	
6018000	1.137478	3	0.246501	0.246501	0.246501	2.296818	0.457899	0.457899	0.246501	0.246501	2.296818	
6019000	1.137478	4	0.233371	0.233371	0.233371	2.842697	0.492583	0.492583	0.233371	0.173892	2.842697	
6020000	1.137478	4	0.233783	0.289064	0.233783	2.909969	0.493775	0.493775	0.233783	0.233783	2.909969	
6021000	1.137478	3	0.246324	0.246324	0.246324	2.278657	0.464598	0.464598	0.246324	0.246324	2.278657	
6022000	1.137478	4	0.245403	0.245403	0.245403	2.613616	0.484910	0.484910	0.245403	0.173514	2.613616	
6023000	1.137478	4	0.242310	0.242310	0.242310	1.959887	0.415997	0.550933	0.242310	0.242310	1.959887	
6024000	1.137478	4	0.259046	0.259046	0.259046	2.271603	0.361421	0.637038	0.259046	0.259046	2.271603	
6025000	1.137478	4	0.240877	0.255373	0.255373	3.065826	0.428327	0.428327	0.240877	0.240877	3.065826	
6026000	1.137478	3	0.250212	0.250212	0.250212	2.675642	0.502926	0.502926	0.250212	0.250212	2.675642	
6027000	1.137478	3	0.264906	0.264906	0.264906	2.025296	0.418747	0.418747	0.264906	0.264906	2.025296	
6028000	1.137478	4	0.269415	0.269415	0.269415	2.809691	0.480183	0.480183	0.269415	0.239596	2.809691	
