Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.137478	3	0.235070	0.235070	0.235070	1.046865	0.398785	0.398785	0.235070	0.235070	1.046865	
2000	1.137478	4	0.248905	0.248905	0.248905	1.826653	0.342382	0.446156	0.248905	0.248905	1.826653	
3000	1.137478	4	0.308924	0.253249	0.253249	2.190471	0.500035	0.500035	0.253249	0.253249	2.190471	
4000	1.137478	3	0.262706	0.262706	0.262706	2.840930	0.505477	0.505477	0.262706	0.262706	2.840930	
5000	1.137478	4	0.270791	0.270791	0.270791	2.751759	0.404113	0.577753	0.270791	0.270791	2.751759	
6000	1.137478	3	0.252569	0.252569	0.252569	2.821155	0.496598	0.496598	0.252569	0.252569	2.821155	
7000	1.137478	3	0.253992	0.253992	0.253992	3.130775	0.528103	0.528103	0.253992	0.253992	3.130775	
8000	1.137478	5	0.253150	0.253150	0.253150	3.060960	0.441035	0.499103	0.253150	0.175331	3.060960	
9000	1.137478	4	0.269775	0.269775	0.269775	2.572013	0.358456	0.358456	0.269775	0.245672	2.572013	
10000	1.137478	5	0.267602	0.275983	0.267602	3.256632	0.405031	0.562275	0.267602	0.267602	3.256632	
11000	1.137478	4	0.262452	0.262452	0.262452	2.765258	0.553114	0.553114	0.262452	0.229125	2.765258	
12000	1.137478	4	0.285930	0.285930	0.285930	3.087141	0.446589	0.521470	0.285930	0.285930	3.087141	
13000	1.137478	4	0.278619	0.278619	0.278619	3.083246	0.554694	0.554694	0.245474	0.245474	3.083246	
14000	1.137478	3	0.252085	0.252085	0.252085	3.030073	0.489442	0.489442	0.252085	0.252085	3.030073	
15000	1.137478	4	0.261907	0.261907	0.261907	2.661310	0.520466	0.520466	0.261907	0.218289	2.661310	
16000	1.137478	3	0.290227	0.290227	0.290227	2.723617	0.429880	0.429880	0.290227	0.290227	2.723617	
17000	1.137478	3	0.248262	0.248262	0.248262	2.492807	0.479757	0.479757	0.248262	0.248262	2.492807	
18000	1.137478	3	0.256593	0.256593	0.256593	3.106457	0.456073	0.456073	0.256593	0.256593	3.106457	
19000	1.137478	3	0.266296	0.266296	0.266296	2.996838	0.521404	0.521404	0.266296	0.266296	2.996838	
20000	1.137478	3	0.272002	0.272002	0.272002	3.115249	0.423511	0.423511	0.272002	0.272002	3.115249	
21000	1.137478	3	0.259372	0.259372	0.259372	2.914262	0.474708	0.474708	0.259372	0.259372	2.914262	
22000	1.137478	4	0.258616	0.258616	0.258616	3.186379	0.419013	0.463200	0.258616	0.258616	3.186379	
23000	1.137478	4	0.269604	0.269604	0.269604	2.820922	0.516583	0.516583	0.269604	0.160780	2.820922	
24000	1.137478	3	0.259581	0.259581	0.259581	3.272455	0.498321	0.498321	0.259581	0.259581	3.272455	
25000	1.137478	3	0.259540	0.259540	0.259540	3.398094	0.487599	0.487599	0.259540	0.259540	3.398094	
26000	1.137478	3	0.263295	0.263295	0.263295	2.922915	0.559282	0.559282	0.263295	0.263295	2.922915	
27000	1.137478	6	0.310390	0.310390	0.219152	2.841947	0.514556	0.514556	0.219152	0.175961	2.845768	
28000	1.137478	4	0.258672	0.258672	0.258672	3.179853	0.487240	0.487240	0.258672	0.206018	3.179853	
29000	1.137478	4	0.266673	0.266673	0.266673	3.094407	0.453260	0.453260	0.266673	0.247615	3.094407	
30000	1.137478	4	0.258948	0.258948	0.258948	2.442002	0.387710	0.639454	0.258948	0.258948	2.442002	
31000	1.137478	3	0.255092	0.255092	0.255092	2.967955	0.494641	0.494641	0.255092	0.255092	2.967955	
32000	1.137478	4	0.267222	0.267222	0.267222	3.356719	0.485094	0.485094	0.267222	0.174645	3.356719	
