Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	1.137478	5	0.307925	0.381926	0.084920	0.225229	0.307925	0.381926	0.084920	0.225229	0.168593	0.378207	0.135631	0.317569	0.297481	0.495350	0.049262	0.157907	0.198903	0.332233	0.181180	0.287684	0.215345	0.309509	0.143177	0.331969	0.297481	0.495350	0.049262	0.157907	0.215345	0.309509	0.143177	0.331969	0.297481	0.495350	0.049262	0.157907	
2000	1.137478	3	0.300835	0.398264	0.074659	0.226242	0.300835	0.398264	0.074659	0.226242	0.300835	0.398264	0.074659	0.226242	0.317647	0.481913	0.043820	0.156621	0.241823	0.265849	0.192916	0.299412	0.241823	0.265849	0.192916	0.299412	0.317647	0.481913	0.043820	0.156621	0.241823	0.265849	0.192916	0.299412	0.317647	0.481913	0.043820	0.156621	
3000	1.137478	3	0.299681	0.397168	0.086809	0.216342	0.299681	0.397168	0.086809	0.216342	0.299681	0.397168	0.086809	0.216342	0.317647	0.481913	0.043820	0.156621	0.233061	0.272676	0.229235	0.265028	0.233061	0.272676	0.229235	0.265028	0.317647	0.481913	0.043820	0.156621	0.233061	0.272676	0.229235	0.265028	0.317647	0.481913	0.043820	0.156621	
4000	1.137478	3	0.273045	0.413695	0.081606	0.231654	0.273045	0.413695	0.081606	0.231654	0.273045	0.413695	0.081606	0.231654	0.352075	0.445079	0.047092	0.155754	0.255149	0.268759	0.212907	0.263185	0.255149	0.268759	0.212907	0.263185	0.352075	0.445079	0.047092	0.155754	0.255149	0.268759	0.212907	0.263185	0.352075	0.445079	0.047092	0.155754	
5000	1.137478	4	0.370267	0.341435	0.052482	0.235816	0.305423	0.374718	0.090224	0.229635	0.305423	0.374718	0.090224	0.229635	0.352075	0.445079	0.047092	0.155754	0.296519	0.238639	0.201576	0.263266	0.296519	0.238639	0.201576	0.263266	0.352075	0.445079	0.047092	0.155754	0.296519	0.238639	0.201576	0.263266	0.352075	0.445079	0.047092	0.155754	
6000	1.137478	4	0.307496	0.376263	0.078731	0.237510	0.307496	0.376263	0.078731	0.237510	0.307496	0.376263	0.078731	0.237510	0.352075	0.445079	0.047092	0.155754	0.179239	0.293310	0.306566	0.220885	0.251543	0.263359	0.228861	0.256237	0.352075	0.445079	0.047092	0.155754	0.251543	0.263359	0.228861	0.256237	0.352075	0.445079	0.047092	0.155754	
7000	1.137478	3	0.351918	0.348817	0.079089	0.220176	0.351918	0.348817	0.079089	0.220176	0.249860	0.274809	0.193131	0.282201	0.352075	0.445079	0.047092	0.155754	0.249860	0.274809	0.193131	0.282201	0.249860	0.274809	0.193131	0.282201	0.352075	0.445079	0.047092	0.155754	0.249860	0.274809	0.193131	0.282201	0.352075	0.445079	0.047092	0.155754	
8000	1.137478	3	0.411722	0.316217	0.068597	0.203464	0.411722	0.316217	0.068597	0.203464	0.204460	0.374308	0.142094	0.279138	0.352075	0.445079	0.047092	0.155754	0.204460	0.374308	0.142094	0.279138	0.204460	0.374308	0.142094	0.279138	0.352075	0.445079	0.047092	0.155754	0.204460	0.374308	0.142094	0.279138	0.352075	0.445079	0.047092	0.155754	
9000	1.137478	4	0.372237	0.308986	0.084873	0.233903	0.372237	0.308986	0.084873	0.233903	0.170589	0.484291	0.120072	0.225048	0.389596	0.409048	0.053371	0.147984	0.188359	0.290543	0.209813	0.311286	0.188359	0.290543	0.209813	0.311286	0.389596	0.409048	0.053371	0.147984	0.188359	0.290543	0.209813	0.311286	0.389596	0.409048	0.053371	0.147984	
10000	1.137478	2	0.385945	0.404484	0.059507	0.150064	0.385945	0.404484	0.059507	0.150064	0.242563	0.263533	0.191645	0.302258	0.385945	0.404484	0.059507	0.150064	0.242563	0.263533	0.191645	0.302258	0.242563	0.263533	0.191645	0.302258	0.385945	0.404484	0.059507	0.150064	0.242563	0.263533	0.191645	0.302258	0.385945	0.404484	0.059507	0.150064	
11000	1.137478	3	0.391837	0.403143	0.056921	0.148099	0.391837	0.403143	0.056921	0.148099	0.326713	0.260241	0.121011	0.292036	0.391837	0.403143	0.056921	0.148099	0.215984	0.306829	0.211135	0.266052	0.326713	0.260241	0.121011	0.292036	0.391837	0.403143	0.056921	0.148099	0.215984	0.306829	0.211135	0.266052	0.391837	0.403143	0.056921	0.148099	
12000	1.137478	2	0.391837	0.403143	0.056921	0.148099	0.391837	0.403143	0.056921	0.148099	0.250797	0.290485	0.174891	0.283827	0.391837	0.403143	0.056921	0.148099	0.250797	0.290485	0.174891	0.283827	0.250797	0.290485	0.174891	0.283827	0.391837	0.403143	0.056921	0.148099	0.250797	0.290485	0.174891	0.283827	0.391837	0.403143	0.056921	0.148099	
13000	1.137478	3	0.391837	0.403143	0.056921	0.148099	0.391837	0.403143	0.056921	0.148099	0.195116	0.344887	0.137901	0.322096	0.391837	0.403143	0.056921	0.148099	0.265999	0.244665	0.198665	0.290672	0.265999	0.244665	0.198665	0.290672	0.391837	0.403143	0.056921	0.148099	0.195116	0.344887	0.137901	0.322096	0.391837	0.403143	0.056921	0.148099	
14000	1.137478	2	0.391837	0.403143	0.056921	0.148099	0.391837	0.403143	0.056921	0.148099	0.260260	0.267871	0.180663	0.291206	0.391837	0.403143	0.056921	0.148099	0.260260	0.267871	0.180663	0.291206	0.260260	0.267871	0.180663	0.291206	0.391837	0.403143	0.056921	0.148099	0.260260	0.267871	0.180663	0.291206	0.391837	0.403143	0.056921	0.148099	
