Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
9223000	1.137478	3	0.411917	0.388324	0.056067	0.143692	0.411917	0.388324	0.056067	0.143692	0.089181	0.385674	0.048188	0.476958	0.411917	0.388324	0.056067	0.143692	0.265628	0.258467	0.180043	0.295862	0.265628	0.258467	0.180043	0.295862	0.411917	0.388324	0.056067	0.143692	0.265628	0.258467	0.180043	0.295862	0.411917	0.388324	0.056067	0.143692	
9224000	1.137478	4	0.444332	0.320008	0.069943	0.165717	0.444332	0.320008	0.069943	0.165717	0.173680	0.274066	0.193744	0.358510	0.414689	0.390060	0.056157	0.139094	0.265628	0.258467	0.180043	0.295862	0.265628	0.258467	0.180043	0.295862	0.414689	0.390060	0.056157	0.139094	0.265628	0.258467	0.180043	0.295862	0.414689	0.390060	0.056157	0.139094	
9225000	1.137478	3	0.412677	0.358012	0.072753	0.156558	0.412677	0.358012	0.072753	0.156558	0.265628	0.258467	0.180043	0.295862	0.414689	0.390060	0.056157	0.139094	0.265628	0.258467	0.180043	0.295862	0.265628	0.258467	0.180043	0.295862	0.414689	0.390060	0.056157	0.139094	0.265628	0.258467	0.180043	0.295862	0.414689	0.390060	0.056157	0.139094	
9226000	1.137478	3	0.419588	0.346421	0.069464	0.164527	0.419588	0.346421	0.069464	0.164527	0.265628	0.258467	0.180043	0.295862	0.414689	0.390060	0.056157	0.139094	0.265628	0.258467	0.180043	0.295862	0.265628	0.258467	0.180043	0.295862	0.414689	0.390060	0.056157	0.139094	0.265628	0.258467	0.180043	0.295862	0.414689	0.390060	0.056157	0.139094	
9227000	1.137478	3	0.410714	0.346752	0.068498	0.174035	0.410714	0.346752	0.068498	0.174035	0.251509	0.266720	0.179707	0.302064	0.414689	0.390060	0.056157	0.139094	0.251509	0.266720	0.179707	0.302064	0.251509	0.266720	0.179707	0.302064	0.414689	0.390060	0.056157	0.139094	0.251509	0.266720	0.179707	0.302064	0.414689	0.390060	0.056157	0.139094	
9228000	1.137478	3	0.414689	0.390060	0.056157	0.139094	0.414689	0.390060	0.056157	0.139094	0.172846	0.360009	0.074298	0.392847	0.414689	0.390060	0.056157	0.139094	0.251509	0.266720	0.179707	0.302064	0.251509	0.266720	0.179707	0.302064	0.414689	0.390060	0.056157	0.139094	0.251509	0.266720	0.179707	0.302064	0.414689	0.390060	0.056157	0.139094	
9229000	1.137478	2	0.414689	0.390060	0.056157	0.139094	0.414689	0.390060	0.056157	0.139094	0.248118	0.286194	0.174255	0.291434	0.414689	0.390060	0.056157	0.139094	0.248118	0.286194	0.174255	0.291434	0.248118	0.286194	0.174255	0.291434	0.414689	0.390060	0.056157	0.139094	0.248118	0.286194	0.174255	0.291434	0.414689	0.390060	0.056157	0.139094	
9230000	1.137478	2	0.414689	0.390060	0.056157	0.139094	0.414689	0.390060	0.056157	0.139094	0.237735	0.278845	0.188658	0.294761	0.414689	0.390060	0.056157	0.139094	0.237735	0.278845	0.188658	0.294761	0.237735	0.278845	0.188658	0.294761	0.414689	0.390060	0.056157	0.139094	0.237735	0.278845	0.188658	0.294761	0.414689	0.390060	0.056157	0.139094	
9231000	1.137478	2	0.414689	0.390060	0.056157	0.139094	0.414689	0.390060	0.056157	0.139094	0.243873	0.275695	0.187053	0.293379	0.414689	0.390060	0.056157	0.139094	0.243873	0.275695	0.187053	0.293379	0.243873	0.275695	0.187053	0.293379	0.414689	0.390060	0.056157	0.139094	0.243873	0.275695	0.187053	0.293379	0.414689	0.390060	0.056157	0.139094	
9232000	1.137478	3	0.425064	0.328598	0.080901	0.165437	0.425064	0.328598	0.080901	0.165437	0.256859	0.261282	0.173655	0.308203	0.414689	0.390060	0.056157	0.139094	0.256859	0.261282	0.173655	0.308203	0.256859	0.261282	0.173655	0.308203	0.414689	0.390060	0.056157	0.139094	0.256859	0.261282	0.173655	0.308203	0.414689	0.390060	0.056157	0.139094	
9233000	1.137478	2	0.414689	0.390060	0.056157	0.139094	0.414689	0.390060	0.056157	0.139094	0.266816	0.258639	0.186295	0.288250	0.414689	0.390060	0.056157	0.139094	0.266816	0.258639	0.186295	0.288250	0.266816	0.258639	0.186295	0.288250	0.414689	0.390060	0.056157	0.139094	0.266816	0.258639	0.186295	0.288250	0.414689	0.390060	0.056157	0.139094	
9234000	1.137478	3	0.415272	0.390272	0.058201	0.136255	0.415272	0.390272	0.058201	0.136255	0.223821	0.265350	0.160964	0.349865	0.415272	0.390272	0.058201	0.136255	0.272234	0.244134	0.179301	0.304331	0.272234	0.244134	0.179301	0.304331	0.415272	0.390272	0.058201	0.136255	0.272234	0.244134	0.179301	0.304331	0.415272	0.390272	0.058201	0.136255	
9235000	1.137478	3	0.415060	0.344916	0.076676	0.163348	0.415060	0.344916	0.076676	0.163348	0.272234	0.244134	0.179301	0.304331	0.415272	0.390272	0.058201	0.136255	0.272234	0.244134	0.179301	0.304331	0.272234	0.244134	0.179301	0.304331	0.415272	0.390272	0.058201	0.136255	0.272234	0.244134	0.179301	0.304331	0.415272	0.390272	0.058201	0.136255	
9236000	1.137478	2	0.415272	0.390272	0.058201	0.136255	0.415272	0.390272	0.058201	0.136255	0.259612	0.246637	0.188871	0.304881	0.415272	0.390272	0.058201	0.136255	0.259612	0.246637	0.188871	0.304881	0.259612	0.246637	0.188871	0.304881	0.415272	0.390272	0.058201	0.136255	0.259612	0.246637	0.188871	0.304881	0.415272	0.390272	0.058201	0.136255	
9237000	1.137478	2	0.415272	0.390272	0.058201	0.136255	0.415272	0.390272	0.058201	0.136255	0.259612	0.246637	0.188871	0.304881	0.415272	0.390272	0.058201	0.136255	0.259612	0.246637	0.188871	0.304881	0.259612	0.246637	0.188871	0.304881	0.415272	0.390272	0.058201	0.136255	0.259612	0.246637	0.188871	0.304881	0.415272	0.390272	0.058201	0.136255	
