Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	1.137478	4	0.267843	0.400444	0.138324	0.193390	0.267843	0.400444	0.138324	0.193390	0.267843	0.400444	0.138324	0.193390	0.552647	0.264680	0.086839	0.095834	0.266288	0.323521	0.190242	0.219948	0.266288	0.323521	0.190242	0.219948	0.267843	0.400444	0.138324	0.193390	0.236002	0.440205	0.168080	0.155713	0.552647	0.264680	0.086839	0.095834	
2000	1.137478	2	0.396569	0.391623	0.073917	0.137892	0.396569	0.391623	0.073917	0.137892	0.258813	0.380295	0.162295	0.198597	0.396569	0.391623	0.073917	0.137892	0.258813	0.380295	0.162295	0.198597	0.258813	0.380295	0.162295	0.198597	0.396569	0.391623	0.073917	0.137892	0.258813	0.380295	0.162295	0.198597	0.396569	0.391623	0.073917	0.137892	
3000	1.137478	3	0.420013	0.372036	0.069558	0.138393	0.420013	0.372036	0.069558	0.138393	0.174059	0.311154	0.168764	0.346023	0.420013	0.372036	0.069558	0.138393	0.261814	0.240552	0.205838	0.291796	0.261814	0.240552	0.205838	0.291796	0.420013	0.372036	0.069558	0.138393	0.174059	0.311154	0.168764	0.346023	0.420013	0.372036	0.069558	0.138393	
4000	1.137478	3	0.405077	0.387196	0.065715	0.142012	0.405077	0.387196	0.065715	0.142012	0.201895	0.345120	0.152391	0.300594	0.405077	0.387196	0.065715	0.142012	0.242746	0.271818	0.276210	0.209226	0.242746	0.271818	0.276210	0.209226	0.405077	0.387196	0.065715	0.142012	0.201895	0.345120	0.152391	0.300594	0.405077	0.387196	0.065715	0.142012	
5000	1.137478	2	0.384857	0.415369	0.058832	0.140943	0.384857	0.415369	0.058832	0.140943	0.278060	0.294591	0.172883	0.254467	0.384857	0.415369	0.058832	0.140943	0.278060	0.294591	0.172883	0.254467	0.278060	0.294591	0.172883	0.254467	0.384857	0.415369	0.058832	0.140943	0.278060	0.294591	0.172883	0.254467	0.384857	0.415369	0.058832	0.140943	
6000	1.137478	3	0.406834	0.356856	0.079465	0.156845	0.406834	0.356856	0.079465	0.156845	0.177351	0.381768	0.141119	0.299761	0.404665	0.401972	0.059760	0.133603	0.177351	0.381768	0.141119	0.299761	0.177351	0.381768	0.141119	0.299761	0.404665	0.401972	0.059760	0.133603	0.177351	0.381768	0.141119	0.299761	0.404665	0.401972	0.059760	0.133603	
7000	1.137478	4	0.404271	0.334078	0.082816	0.178835	0.404271	0.334078	0.082816	0.178835	0.157577	0.352288	0.169302	0.320834	0.404665	0.401972	0.059760	0.133603	0.237991	0.256300	0.220356	0.285353	0.237991	0.256300	0.220356	0.285353	0.404665	0.401972	0.059760	0.133603	0.157577	0.352288	0.169302	0.320834	0.404665	0.401972	0.059760	0.133603	
8000	1.137478	3	0.393698	0.356820	0.079797	0.169686	0.393698	0.356820	0.079797	0.169686	0.246378	0.278746	0.166163	0.308714	0.404665	0.401972	0.059760	0.133603	0.246378	0.278746	0.166163	0.308714	0.246378	0.278746	0.166163	0.308714	0.404665	0.401972	0.059760	0.133603	0.246378	0.278746	0.166163	0.308714	0.404665	0.401972	0.059760	0.133603	
9000	1.137478	2	0.406361	0.399975	0.058834	0.134830	0.406361	0.399975	0.058834	0.134830	0.258084	0.288768	0.174707	0.278441	0.406361	0.399975	0.058834	0.134830	0.258084	0.288768	0.174707	0.278441	0.258084	0.288768	0.174707	0.278441	0.406361	0.399975	0.058834	0.134830	0.258084	0.288768	0.174707	0.278441	0.406361	0.399975	0.058834	0.134830	
10000	1.137478	3	0.406361	0.399975	0.058834	0.134830	0.406361	0.399975	0.058834	0.134830	0.192980	0.364307	0.143958	0.298754	0.406361	0.399975	0.058834	0.134830	0.265161	0.318687	0.242700	0.173451	0.192980	0.364307	0.143958	0.298754	0.406361	0.399975	0.058834	0.134830	0.192980	0.364307	0.143958	0.298754	0.406361	0.399975	0.058834	0.134830	
