Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	1.137478	3	0.318569	0.406274	0.086976	0.188181	0.318569	0.406274	0.086976	0.188181	0.251158	0.407932	0.126628	0.214282	0.272670	0.540027	0.030949	0.156355	0.251158	0.407932	0.126628	0.214282	0.251158	0.407932	0.126628	0.214282	0.272670	0.540027	0.030949	0.156355	0.251158	0.407932	0.126628	0.214282	0.272670	0.540027	0.030949	0.156355	
2000	1.137478	3	0.269474	0.390032	0.090711	0.249784	0.269474	0.390032	0.090711	0.249784	0.269474	0.390032	0.090711	0.249784	0.269116	0.527242	0.040085	0.163556	0.278074	0.374734	0.148358	0.198835	0.278074	0.374734	0.148358	0.198835	0.269116	0.527242	0.040085	0.163556	0.269474	0.390032	0.090711	0.249784	0.269116	0.527242	0.040085	0.163556	
3000	1.137478	3	0.269116	0.527242	0.040085	0.163556	0.269116	0.527242	0.040085	0.163556	0.231560	0.347276	0.093167	0.327996	0.269116	0.527242	0.040085	0.163556	0.202080	0.333198	0.147076	0.317647	0.202080	0.333198	0.147076	0.317647	0.269116	0.527242	0.040085	0.163556	0.202080	0.333198	0.147076	0.317647	0.269116	0.527242	0.040085	0.163556	
4000	1.137478	3	0.297074	0.400652	0.065619	0.236655	0.297074	0.400652	0.065619	0.236655	0.263360	0.345742	0.144717	0.246181	0.269116	0.527242	0.040085	0.163556	0.263360	0.345742	0.144717	0.246181	0.263360	0.345742	0.144717	0.246181	0.269116	0.527242	0.040085	0.163556	0.263360	0.345742	0.144717	0.246181	0.269116	0.527242	0.040085	0.163556	
5000	1.137478	3	0.270625	0.437260	0.069283	0.222832	0.270625	0.437260	0.069283	0.222832	0.270625	0.437260	0.069283	0.222832	0.306608	0.493729	0.040034	0.159628	0.276709	0.247505	0.185772	0.290013	0.276709	0.247505	0.185772	0.290013	0.306608	0.493729	0.040034	0.159628	0.276709	0.247505	0.185772	0.290013	0.306608	0.493729	0.040034	0.159628	
6000	1.137478	3	0.321281	0.407153	0.067494	0.204072	0.321281	0.407153	0.067494	0.204072	0.321281	0.407153	0.067494	0.204072	0.309798	0.480756	0.047320	0.162126	0.255734	0.264295	0.192209	0.287762	0.255734	0.264295	0.192209	0.287762	0.309798	0.480756	0.047320	0.162126	0.255734	0.264295	0.192209	0.287762	0.309798	0.480756	0.047320	0.162126	
7000	1.137478	3	0.330701	0.395323	0.063989	0.209988	0.330701	0.395323	0.063989	0.209988	0.330701	0.395323	0.063989	0.209988	0.309798	0.480756	0.047320	0.162126	0.276445	0.269977	0.188255	0.265323	0.276445	0.269977	0.188255	0.265323	0.309798	0.480756	0.047320	0.162126	0.276445	0.269977	0.188255	0.265323	0.309798	0.480756	0.047320	0.162126	
8000	1.137478	3	0.292326	0.391530	0.076543	0.239602	0.292326	0.391530	0.076543	0.239602	0.292326	0.391530	0.076543	0.239602	0.309798	0.480756	0.047320	0.162126	0.242093	0.304673	0.206766	0.246467	0.242093	0.304673	0.206766	0.246467	0.309798	0.480756	0.047320	0.162126	0.242093	0.304673	0.206766	0.246467	0.309798	0.480756	0.047320	0.162126	
9000	1.137478	3	0.311342	0.407712	0.068861	0.212085	0.311342	0.407712	0.068861	0.212085	0.311342	0.407712	0.068861	0.212085	0.331470	0.457056	0.045470	0.166004	0.252031	0.252853	0.185391	0.309724	0.252031	0.252853	0.185391	0.309724	0.331470	0.457056	0.045470	0.166004	0.252031	0.252853	0.185391	0.309724	0.331470	0.457056	0.045470	0.166004	
10000	1.137478	5	0.310407	0.391623	0.068612	0.229358	0.310407	0.391623	0.068612	0.229358	0.158936	0.282025	0.100116	0.458924	0.338019	0.465777	0.047412	0.148792	0.241661	0.254831	0.201452	0.302056	0.241661	0.254831	0.201452	0.302056	0.338019	0.465777	0.047412	0.148792	0.128115	0.291323	0.190657	0.389905	0.338019	0.465777	0.047412	0.148792	
11000	1.137478	3	0.331739	0.389330	0.077071	0.201859	0.331739	0.389330	0.077071	0.201859	0.331739	0.389330	0.077071	0.201859	0.338019	0.465777	0.047412	0.148792	0.220250	0.262200	0.170826	0.346724	0.220250	0.262200	0.170826	0.346724	0.338019	0.465777	0.047412	0.148792	0.220250	0.262200	0.170826	0.346724	0.338019	0.465777	0.047412	0.148792	
12000	1.137478	3	0.342957	0.380300	0.078565	0.198177	0.342957	0.380300	0.078565	0.198177	0.237909	0.258498	0.206067	0.297525	0.343137	0.451728	0.052093	0.153041	0.237909	0.258498	0.206067	0.297525	0.237909	0.258498	0.206067	0.297525	0.343137	0.451728	0.052093	0.153041	0.237909	0.258498	0.206067	0.297525	0.343137	0.451728	0.052093	0.153041	
13000	1.137478	3	0.315558	0.376388	0.079975	0.228079	0.315558	0.376388	0.079975	0.228079	0.315558	0.376388	0.079975	0.228079	0.337305	0.455390	0.048549	0.158756	0.216272	0.259082	0.231778	0.292868	0.216272	0.259082	0.231778	0.292868	0.337305	0.455390	0.048549	0.158756	0.216272	0.259082	0.231778	0.292868	0.337305	0.455390	0.048549	0.158756	
14000	1.137478	3	0.322810	0.370361	0.083793	0.223035	0.322810	0.370361	0.083793	0.223035	0.322810	0.370361	0.083793	0.223035	0.337305	0.455390	0.048549	0.158756	0.223971	0.317410	0.204778	0.253840	0.223971	0.317410	0.204778	0.253840	0.337305	0.455390	0.048549	0.158756	0.223971	0.317410	0.204778	0.253840	0.337305	0.455390	0.048549	0.158756	
15000	1.137478	3	0.351710	0.371074	0.079659	0.197557	0.351710	0.371074	0.079659	0.197557	0.229903	0.314590	0.182964	0.272543	0.337305	0.455390	0.048549	0.158756	0.229903	0.314590	0.182964	0.272543	0.229903	0.314590	0.182964	0.272543	0.337305	0.455390	0.048549	0.158756	0.229903	0.314590	0.182964	0.272543	0.337305	0.455390	0.048549	0.158756	
16000	1.137478	3	0.346926	0.374713	0.070155	0.208206	0.346926	0.374713	0.070155	0.208206	0.253759	0.266640	0.183506	0.296095	0.361963	0.440833	0.048079	0.149125	0.253759	0.266640	0.183506	0.296095	0.253759	0.266640	0.183506	0.296095	0.361963	0.440833	0.048079	0.149125	0.253759	0.266640	0.183506	0.296095	0.361963	0.440833	0.048079	0.149125	
17000	1.137478	4	0.352270	0.363165	0.072199	0.212366	0.352270	0.363165	0.072199	0.212366	0.188765	0.385149	0.129962	0.296124	0.361963	0.440833	0.048079	0.149125	0.277766	0.302788	0.149912	0.269534	0.277766	0.302788	0.149912	0.269534	0.361963	0.440833	0.048079	0.149125	0.188765	0.385149	0.129962	0.296124	0.361963	0.440833	0.048079	0.149125	
18000	1.137478	4	0.345999	0.393222	0.067858	0.192920	0.345999	0.393222	0.067858	0.192920	0.320271	0.333304	0.085041	0.261384	0.361963	0.440833	0.048079	0.149125	0.227626	0.290023	0.174906	0.307445	0.227626	0.290023	0.174906	0.307445	0.361963	0.440833	0.048079	0.149125	0.227626	0.290023	0.174906	0.307445	0.361963	0.440833	0.048079	0.149125	
19000	1.137478	4	0.311246	0.368294	0.078651	0.241809	0.311246	0.368294	0.078651	0.241809	0.179257	0.358616	0.145673	0.316455	0.361963	0.440833	0.048079	0.149125	0.249893	0.270846	0.194080	0.285181	0.249893	0.270846	0.194080	0.285181	0.361963	0.440833	0.048079	0.149125	0.179257	0.358616	0.145673	0.316455	0.361963	0.440833	0.048079	0.149125	
20000	1.137478	5	0.365502	0.350463	0.071468	0.212567	0.365502	0.350463	0.071468	0.212567	0.220318	0.383520	0.106567	0.289595	0.361963	0.440833	0.048079	0.149125	0.191242	0.295869	0.297251	0.215637	0.259509	0.240690	0.198319	0.301482	0.361963	0.440833	0.048079	0.149125	0.259509	0.240690	0.198319	0.301482	0.361963	0.440833	0.048079	0.149125	
21000	1.137478	3	0.333970	0.376151	0.073307	0.216572	0.333970	0.376151	0.073307	0.216572	0.333970	0.376151	0.073307	0.216572	0.361963	0.440833	0.048079	0.149125	0.189789	0.366150	0.210370	0.233691	0.189789	0.366150	0.210370	0.233691	0.361963	0.440833	0.048079	0.149125	0.189789	0.366150	0.210370	0.233691	0.361963	0.440833	0.048079	0.149125	
22000	1.137478	4	0.371037	0.344723	0.082966	0.201274	0.371037	0.344723	0.082966	0.201274	0.163918	0.410064	0.148744	0.277273	0.362141	0.435017	0.049553	0.153289	0.232350	0.232548	0.247168	0.287935	0.232350	0.232548	0.247168	0.287935	0.362141	0.435017	0.049553	0.153289	0.163918	0.410064	0.148744	0.277273	0.362141	0.435017	0.049553	0.153289	
23000	1.137478	3	0.366231	0.357314	0.076337	0.200118	0.366231	0.357314	0.076337	0.200118	0.219559	0.341206	0.184058	0.255176	0.362141	0.435017	0.049553	0.153289	0.219559	0.341206	0.184058	0.255176	0.219559	0.341206	0.184058	0.255176	0.362141	0.435017	0.049553	0.153289	0.219559	0.341206	0.184058	0.255176	0.362141	0.435017	0.049553	0.153289	
24000	1.137478	4	0.353309	0.364138	0.077722	0.204830	0.353309	0.364138	0.077722	0.204830	0.137905	0.338159	0.134566	0.389369	0.362141	0.435017	0.049553	0.153289	0.227183	0.261139	0.215239	0.296439	0.227183	0.261139	0.215239	0.296439	0.362141	0.435017	0.049553	0.153289	0.137905	0.338159	0.134566	0.389369	0.362141	0.435017	0.049553	0.153289	
25000	1.137478	4	0.342175	0.354503	0.077820	0.225502	0.342175	0.354503	0.077820	0.225502	0.164606	0.337204	0.115140	0.383049	0.362141	0.435017	0.049553	0.153289	0.267297	0.338362	0.184679	0.209662	0.267297	0.338362	0.184679	0.209662	0.362141	0.435017	0.049553	0.153289	0.164606	0.337204	0.115140	0.383049	0.362141	0.435017	0.049553	0.153289	
26000	1.137478	4	0.384974	0.335957	0.078214	0.200855	0.384974	0.335957	0.078214	0.200855	0.183999	0.370210	0.141209	0.304582	0.362141	0.435017	0.049553	0.153289	0.241004	0.215120	0.252641	0.291235	0.241004	0.215120	0.252641	0.291235	0.362141	0.435017	0.049553	0.153289	0.183999	0.370210	0.141209	0.304582	0.362141	0.435017	0.049553	0.153289	
27000	1.137478	3	0.353229	0.370393	0.073300	0.203078	0.353229	0.370393	0.073300	0.203078	0.264771	0.297618	0.152441	0.285170	0.362141	0.435017	0.049553	0.153289	0.264771	0.297618	0.152441	0.285170	0.264771	0.297618	0.152441	0.285170	0.362141	0.435017	0.049553	0.153289	0.264771	0.297618	0.152441	0.285170	0.362141	0.435017	0.049553	0.153289	
28000	1.137478	3	0.353229	0.370393	0.073300	0.203078	0.353229	0.370393	0.073300	0.203078	0.229059	0.323842	0.148330	0.298769	0.362141	0.435017	0.049553	0.153289	0.229059	0.323842	0.148330	0.298769	0.229059	0.323842	0.148330	0.298769	0.362141	0.435017	0.049553	0.153289	0.229059	0.323842	0.148330	0.298769	0.362141	0.435017	0.049553	0.153289	
29000	1.137478	4	0.354944	0.365315	0.077819	0.201921	0.354944	0.365315	0.077819	0.201921	0.240121	0.294907	0.149635	0.315336	0.366856	0.436501	0.050584	0.146060	0.215718	0.247846	0.228909	0.307527	0.240121	0.294907	0.149635	0.315336	0.366856	0.436501	0.050584	0.146060	0.240121	0.294907	0.149635	0.315336	0.366856	0.436501	0.050584	0.146060	
30000	1.137478	3	0.384634	0.355066	0.064879	0.195421	0.384634	0.355066	0.064879	0.195421	0.247159	0.282868	0.161914	0.308059	0.366856	0.436501	0.050584	0.146060	0.247159	0.282868	0.161914	0.308059	0.247159	0.282868	0.161914	0.308059	0.366856	0.436501	0.050584	0.146060	0.247159	0.282868	0.161914	0.308059	0.366856	0.436501	0.050584	0.146060	
31000	1.137478	4	0.389811	0.341698	0.072756	0.195735	0.389811	0.341698	0.072756	0.195735	0.173043	0.326321	0.133442	0.367193	0.366856	0.436501	0.050584	0.146060	0.271982	0.285986	0.193343	0.248689	0.271982	0.285986	0.193343	0.248689	0.366856	0.436501	0.050584	0.146060	0.173043	0.326321	0.133442	0.367193	0.366856	0.436501	0.050584	0.146060	
32000	1.137478	4	0.369185	0.345896	0.071378	0.213541	0.369185	0.345896	0.071378	0.213541	0.173189	0.369027	0.111135	0.346648	0.366856	0.436501	0.050584	0.146060	0.275141	0.263876	0.207074	0.253908	0.275141	0.263876	0.207074	0.253908	0.366856	0.436501	0.050584	0.146060	0.173189	0.369027	0.111135	0.346648	0.366856	0.436501	0.050584	0.146060	
33000	1.137478	4	0.369185	0.345896	0.071378	0.213541	0.369185	0.345896	0.071378	0.213541	0.189148	0.372789	0.126037	0.312026	0.366856	0.436501	0.050584	0.146060	0.230873	0.277315	0.291350	0.200462	0.230873	0.277315	0.291350	0.200462	0.366856	0.436501	0.050584	0.146060	0.189148	0.372789	0.126037	0.312026	0.366856	0.436501	0.050584	0.146060	
34000	1.137478	3	0.366625	0.359432	0.071988	0.201956	0.366625	0.359432	0.071988	0.201956	0.366625	0.359432	0.071988	0.201956	0.366856	0.436501	0.050584	0.146060	0.271192	0.249224	0.205934	0.273650	0.271192	0.249224	0.205934	0.273650	0.366856	0.436501	0.050584	0.146060	0.271192	0.249224	0.205934	0.273650	0.366856	0.436501	0.050584	0.146060	
35000	1.137478	3	0.333292	0.364981	0.076182	0.225545	0.333292	0.364981	0.076182	0.225545	0.333292	0.364981	0.076182	0.225545	0.366856	0.436501	0.050584	0.146060	0.211694	0.258559	0.192132	0.337614	0.211694	0.258559	0.192132	0.337614	0.366856	0.436501	0.050584	0.146060	0.211694	0.258559	0.192132	0.337614	0.366856	0.436501	0.050584	0.146060	
