Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	1.137478	3	0.208254	0.436873	0.096671	0.258202	0.299736	0.495598	0.060177	0.144489	0.208254	0.436873	0.096671	0.258202	0.299736	0.495598	0.060177	0.144489	0.241971	0.302153	0.254789	0.201087	0.241971	0.302153	0.254789	0.201087	0.299736	0.495598	0.060177	0.144489	0.208254	0.436873	0.096671	0.258202	0.299736	0.495598	0.060177	0.144489	
2000	1.137478	3	0.351796	0.448820	0.051414	0.147970	0.351796	0.448820	0.051414	0.147970	0.193945	0.326015	0.162506	0.317534	0.351796	0.448820	0.051414	0.147970	0.193945	0.326015	0.162506	0.317534	0.325899	0.204992	0.105454	0.363655	0.351796	0.448820	0.051414	0.147970	0.193945	0.326015	0.162506	0.317534	0.351796	0.448820	0.051414	0.147970	
3000	1.137478	2	0.351796	0.448820	0.051414	0.147970	0.351796	0.448820	0.051414	0.147970	0.225436	0.288390	0.178215	0.307959	0.351796	0.448820	0.051414	0.147970	0.225436	0.288390	0.178215	0.307959	0.225436	0.288390	0.178215	0.307959	0.351796	0.448820	0.051414	0.147970	0.225436	0.288390	0.178215	0.307959	0.351796	0.448820	0.051414	0.147970	
4000	1.137478	3	0.335907	0.455219	0.054583	0.154291	0.335907	0.455219	0.054583	0.154291	0.166832	0.358426	0.126453	0.348289	0.335907	0.455219	0.054583	0.154291	0.174977	0.296703	0.244695	0.283626	0.174977	0.296703	0.244695	0.283626	0.335907	0.455219	0.054583	0.154291	0.166832	0.358426	0.126453	0.348289	0.335907	0.455219	0.054583	0.154291	
5000	1.137478	3	0.356455	0.447123	0.055558	0.140864	0.356455	0.447123	0.055558	0.140864	0.166596	0.367636	0.176906	0.288862	0.356455	0.447123	0.055558	0.140864	0.255564	0.261556	0.209731	0.273148	0.255564	0.261556	0.209731	0.273148	0.356455	0.447123	0.055558	0.140864	0.166596	0.367636	0.176906	0.288862	0.356455	0.447123	0.055558	0.140864	
6000	1.137478	3	0.391396	0.351228	0.080159	0.177218	0.391396	0.351228	0.080159	0.177218	0.233157	0.292566	0.182370	0.291907	0.364702	0.431209	0.055809	0.148280	0.233157	0.292566	0.182370	0.291907	0.233157	0.292566	0.182370	0.291907	0.364702	0.431209	0.055809	0.148280	0.233157	0.292566	0.182370	0.291907	0.364702	0.431209	0.055809	0.148280	
7000	1.137478	3	0.373208	0.361392	0.090525	0.174875	0.373208	0.361392	0.090525	0.174875	0.238929	0.248517	0.174349	0.338204	0.364702	0.431209	0.055809	0.148280	0.238929	0.248517	0.174349	0.338204	0.238929	0.248517	0.174349	0.338204	0.364702	0.431209	0.055809	0.148280	0.238929	0.248517	0.174349	0.338204	0.364702	0.431209	0.055809	0.148280	
8000	1.137478	4	0.390291	0.343831	0.083949	0.181929	0.390291	0.343831	0.083949	0.181929	0.191896	0.346804	0.145030	0.316269	0.364702	0.431209	0.055809	0.148280	0.236542	0.254218	0.206984	0.302256	0.236542	0.254218	0.206984	0.302256	0.364702	0.431209	0.055809	0.148280	0.191896	0.346804	0.145030	0.316269	0.364702	0.431209	0.055809	0.148280	
9000	1.137478	4	0.389840	0.336641	0.068080	0.205440	0.389840	0.336641	0.068080	0.205440	0.175340	0.387092	0.137418	0.300151	0.364702	0.431209	0.055809	0.148280	0.276597	0.237721	0.338253	0.147429	0.276597	0.237721	0.338253	0.147429	0.364702	0.431209	0.055809	0.148280	0.175340	0.387092	0.137418	0.300151	0.364702	0.431209	0.055809	0.148280	
10000	1.137478	4	0.388385	0.332108	0.077155	0.202352	0.388385	0.332108	0.077155	0.202352	0.193867	0.321798	0.150900	0.333435	0.372049	0.423920	0.053801	0.150230	0.264832	0.263590	0.204560	0.267018	0.264832	0.263590	0.204560	0.267018	0.372049	0.423920	0.053801	0.150230	0.193867	0.321798	0.150900	0.333435	0.372049	0.423920	0.053801	0.150230	
