Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.137478	4	0.240028	0.386644	0.240028	1.412831	0.386644	0.386644	0.343360	0.240028	1.412831	
2000	1.137478	5	0.250783	0.250783	0.250783	2.011629	0.447814	0.447814	0.250783	0.158220	1.533054	
3000	1.137478	3	0.229847	0.229847	0.229847	2.355179	0.443844	0.443844	0.229847	0.229847	2.355179	
4000	1.137478	3	0.256360	0.256360	0.256360	2.504012	0.561930	0.561930	0.256360	0.256360	2.504012	
5000	1.137478	5	0.271760	0.271760	0.271760	2.547896	0.430092	0.606192	0.271760	0.217519	2.547896	
6000	1.137478	5	0.277771	0.277771	0.277771	2.725857	0.406273	0.533901	0.277771	0.231161	2.725857	
7000	1.137478	5	0.248337	0.248337	0.248337	2.517916	0.588181	0.482875	0.248337	0.192591	2.517916	
8000	1.137478	3	0.252534	0.252534	0.252534	1.878012	0.493874	0.493874	0.252534	0.252534	1.878012	
9000	1.137478	5	0.257511	0.257511	0.257511	2.522660	0.481015	0.563744	0.257511	0.208063	2.522660	
10000	1.137478	3	0.252201	0.252201	0.252201	2.472147	0.382438	0.382438	0.252201	0.252201	2.472147	
11000	1.137478	4	0.262798	0.262798	0.262798	2.874749	0.509484	0.509484	0.262798	0.170956	2.874749	
12000	1.137478	4	0.267966	0.267966	0.267966	2.258347	0.461114	0.461114	0.267966	0.231102	2.258347	
13000	1.137478	3	0.261011	0.261011	0.261011	3.231347	0.559011	0.559011	0.261011	0.261011	3.231347	
14000	1.137478	4	0.262746	0.262746	0.262746	2.346695	0.399689	0.399689	0.262746	0.132806	2.346695	
15000	1.137478	4	0.252129	0.252129	0.252129	2.081385	0.444515	0.444515	0.252129	0.252129	2.440476	
16000	1.137478	4	0.278657	0.278657	0.278657	2.656383	0.412025	0.483990	0.278657	0.278657	2.656383	
17000	1.137478	3	0.242033	0.242033	0.242033	3.216462	0.485582	0.485582	0.242033	0.242033	3.216462	
18000	1.137478	4	0.260703	0.260703	0.260703	2.818893	0.380857	0.497731	0.260703	0.260703	2.818893	
19000	1.137478	4	0.263052	0.263052	0.263052	2.196701	0.462116	0.462116	0.263052	0.171828	2.196701	
20000	1.137478	4	0.267769	0.267769	0.267769	2.648586	0.552844	0.552844	0.267769	0.185362	2.648586	
21000	1.137478	3	0.256979	0.256979	0.256979	2.538397	0.597170	0.597170	0.256979	0.256979	2.538397	
22000	1.137478	4	0.235422	0.235422	0.235422	2.636671	0.523816	0.523816	0.235422	0.201849	2.636671	
23000	1.137478	3	0.242178	0.242178	0.242178	2.781243	0.408445	0.408445	0.242178	0.242178	2.781243	
24000	1.137478	3	0.260030	0.260030	0.260030	3.101122	0.418676	0.418676	0.260030	0.260030	3.101122	
25000	1.137478	4	0.259605	0.259605	0.259605	2.240494	0.524693	0.524693	0.259605	0.203381	2.240494	
26000	1.137478	5	0.240844	0.240844	0.240844	2.484120	0.359082	0.441699	0.240844	0.203153	2.484120	
27000	1.137478	3	0.252665	0.252665	0.252665	1.885179	0.500734	0.500734	0.252665	0.252665	1.885179	
28000	1.137478	4	0.242021	0.242021	0.242021	1.872478	0.509814	0.509814	0.242021	0.216574	1.872478	
29000	1.137478	4	0.257143	0.257143	0.257143	2.760663	0.388304	0.388304	0.257143	0.136382	2.760663	
30000	1.137478	3	0.244326	0.244326	0.244326	2.322562	0.542760	0.542760	0.244326	0.244326	2.322562	
31000	1.137478	3	0.256257	0.256257	0.256257	2.557822	0.484500	0.484500	0.256257	0.256257	2.557822	
32000	1.137478	4	0.250082	0.250082	0.250082	2.309915	0.452090	0.452090	0.250082	0.182331	2.309915	
33000	1.137478	5	0.264650	0.264650	0.264650	3.051370	0.444292	0.663820	0.264650	0.170254	3.051370	
34000	1.137478	5	0.265524	0.266744	0.266744	2.728176	0.445302	0.445302	0.266744	0.244367	2.728176	
35000	1.137478	5	0.262797	0.262797	0.262797	2.748049	0.373772	0.664707	0.262797	0.218774	2.748049	
36000	1.137478	5	0.264156	0.264156	0.264156	2.915167	0.483560	0.565336	0.264156	0.128961	2.915167	
37000	1.137478	4	0.319313	0.250739	0.250739	2.613653	0.459792	0.459792	0.250739	0.250739	2.613653	
38000	1.137478	4	0.263209	0.263209	0.263209	3.178908	0.445021	0.445021	0.263209	0.263209	2.178963	
39000	1.137478	3	0.260707	0.260707	0.260707	2.602823	0.512533	0.512533	0.260707	0.260707	2.602823	
40000	1.137478	3	0.273740	0.273740	0.273740	3.007664	0.508822	0.508822	0.273740	0.273740	3.007664	
41000	1.137478	5	0.289064	0.289064	0.289064	2.066254	0.496987	0.496987	0.259262	0.124620	2.066254	
42000	1.137478	5	0.218277	0.253581	0.268990	2.471035	0.511951	0.511951	0.253581	0.218277	2.471035	
43000	1.137478	5	0.270173	0.270173	0.270173	2.756012	0.369453	0.373331	0.270173	0.180823	2.756012	
44000	1.137478	3	0.264734	0.264734	0.264734	3.024852	0.529477	0.529477	0.264734	0.264734	3.024852	
45000	1.137478	5	0.242330	0.242330	0.242330	2.436757	0.682630	0.586613	0.242330	0.180394	2.436757	
46000	1.137478	3	0.264735	0.264735	0.264735	2.947375	0.486510	0.486510	0.264735	0.264735	2.947375	
47000	1.137478	3	0.244209	0.244209	0.244209	2.819719	0.503532	0.503532	0.244209	0.244209	2.819719	
48000	1.137478	3	0.245977	0.245977	0.245977	2.677032	0.614642	0.614642	0.245977	0.245977	2.677032	
49000	1.137478	5	0.300689	0.296049	0.296049	2.975604	0.411526	0.411526	0.300689	0.267904	2.975604	
50000	1.137478	4	0.261666	0.261666	0.261666	3.530736	0.419311	0.419311	0.261666	0.153804	3.530736	
51000	1.137478	3	0.252277	0.252277	0.252277	2.675669	0.637533	0.637533	0.252277	0.252277	2.675669	
52000	1.137478	5	0.236201	0.236201	0.284352	3.069148	0.480794	0.480794	0.236201	0.166967	3.069148	
53000	1.137478	3	0.260963	0.260963	0.260963	2.826515	0.463288	0.463288	0.260963	0.260963	2.826515	
54000	1.137478	4	0.262714	0.262714	0.262714	3.107899	0.504075	0.504075	0.262714	0.148643	3.107899	
55000	1.137478	4	0.276708	0.276708	0.263452	3.149123	0.404818	0.404818	0.263452	0.263452	3.149123	
56000	1.137478	3	0.256258	0.256258	0.256258	2.155350	0.484139	0.484139	0.256258	0.256258	2.155350	
57000	1.137478	3	0.260477	0.260477	0.260477	3.147382	0.520749	0.520749	0.260477	0.260477	3.147382	
58000	1.137478	4	0.220329	0.220329	0.220329	3.254382	0.362517	0.602694	0.220329	0.220329	3.254382	
59000	1.137478	3	0.254558	0.254558	0.254558	2.721987	0.470605	0.470605	0.254558	0.254558	2.721987	
60000	1.137478	4	0.289392	0.289392	0.289392	3.534036	0.511108	0.511108	0.233528	0.233528	3.534036	
61000	1.137478	3	0.230637	0.230637	0.230637	2.402496	0.499902	0.499902	0.230637	0.230637	2.402496	
62000	1.137478	4	0.253776	0.253776	0.253776	2.738422	0.451990	0.450586	0.253776	0.253776	2.738422	
63000	1.137478	3	0.245861	0.245861	0.245861	2.731106	0.522561	0.522561	0.245861	0.245861	2.731106	
64000	1.137478	5	0.265937	0.307457	0.265937	3.524570	0.473977	0.473977	0.224836	0.224836	3.524570	
65000	1.137478	3	0.255929	0.255929	0.255929	2.221165	0.450317	0.450317	0.255929	0.255929	2.221165	
66000	1.137478	4	0.258201	0.258201	0.258201	2.627521	0.447283	0.447283	0.258201	0.180344	2.627521	
67000	1.137478	4	0.240706	0.240706	0.240706	1.992189	0.486689	0.486689	0.240706	0.190584	1.992189	
68000	1.137478	4	0.227804	0.227804	0.227804	3.101154	0.500510	0.500510	0.227804	0.192810	3.101154	
69000	1.137478	5	0.234397	0.234397	0.234397	3.243842	0.449725	0.653996	0.234397	0.206295	3.243842	
70000	1.137478	3	0.255477	0.255477	0.255477	2.703185	0.491971	0.491971	0.255477	0.255477	2.703185	
71000	1.137478	4	0.248806	0.248806	0.248806	2.233164	0.517604	0.517604	0.248806	0.128588	2.233164	
72000	1.137478	4	0.241379	0.241379	0.241379	3.158473	0.474688	0.474688	0.241379	0.203837	3.158473	
73000	1.137478	4	0.259450	0.259450	0.259450	3.108386	0.389616	0.733303	0.259450	0.259450	3.108386	
74000	1.137478	5	0.251032	0.251032	0.251032	3.074823	0.275316	0.829516	0.251032	0.197714	3.074823	
75000	1.137478	3	0.247800	0.247800	0.247800	2.732999	0.448668	0.448668	0.247800	0.247800	2.732999	
76000	1.137478	4	0.248388	0.248388	0.248388	3.581287	0.487105	0.487105	0.248388	0.153001	3.581287	
77000	1.137478	3	0.256577	0.256577	0.256577	2.808465	0.511975	0.511975	0.256577	0.256577	2.808465	
78000	1.137478	3	0.250266	0.250266	0.250266	2.483622	0.434790	0.434790	0.250266	0.250266	2.483622	
79000	1.137478	5	0.247401	0.247401	0.247401	3.399118	0.425310	0.540141	0.247401	0.200515	3.399118	
80000	1.137478	4	0.259006	0.259006	0.259006	2.757726	0.436626	0.436626	0.259006	0.142116	2.757726	
81000	1.137478	3	0.249505	0.249505	0.249505	2.805828	0.436106	0.436106	0.249505	0.249505	2.805828	
82000	1.137478	3	0.242230	0.242230	0.242230	2.691145	0.568439	0.568439	0.242230	0.242230	2.691145	
83000	1.137478	4	0.243084	0.243084	0.243084	2.845023	0.465112	0.465112	0.243084	0.195600	2.845023	
84000	1.137478	4	0.245679	0.245679	0.245679	2.705499	0.522036	0.522036	0.245679	0.161583	2.705499	
85000	1.137478	5	0.247206	0.248485	0.248485	2.655604	0.437732	0.615557	0.248485	0.248485	2.655604	
86000	1.137478	4	0.245382	0.245382	0.245382	2.949171	0.446949	0.491186	0.245382	0.245382	2.949171	
87000	1.137478	5	0.243937	0.243937	0.243937	3.081090	0.421307	0.580347	0.243937	0.226225	3.081090	
88000	1.137478	5	0.231917	0.231917	0.231917	2.385843	0.522462	0.579450	0.231917	0.226388	2.385843	
89000	1.137478	4	0.244186	0.244186	0.244186	2.780275	0.307269	0.507874	0.244186	0.244186	2.780275	
90000	1.137478	3	0.247619	0.247619	0.247619	2.638146	0.432423	0.432423	0.247619	0.247619	2.638146	
91000	1.137478	4	0.255701	0.255701	0.255701	2.646394	0.435570	0.488503	0.255701	0.255701	2.646394	
92000	1.137478	4	0.243080	0.243080	0.243080	3.094725	0.445229	0.511400	0.243080	0.243080	3.094725	
93000	1.137478	3	0.250578	0.250578	0.250578	2.725441	0.582752	0.582752	0.250578	0.250578	2.725441	
94000	1.137478	3	0.257257	0.257257	0.257257	2.801906	0.545020	0.545020	0.257257	0.257257	2.801906	
95000	1.137478	4	0.260613	0.260613	0.260613	2.926524	0.437501	0.437501	0.260613	0.168006	2.926524	
96000	1.137478	4	0.227194	0.269654	0.227194	3.069963	0.592221	0.592221	0.227194	0.227194	3.069963	
97000	1.137478	3	0.251312	0.251312	0.251312	3.008025	0.456638	0.456638	0.251312	0.251312	3.008025	
98000	1.137478	3	0.236618	0.236618	0.236618	2.781431	0.472990	0.472990	0.236618	0.236618	2.781431	
99000	1.137478	5	0.227147	0.227147	0.227147	2.819424	0.461690	0.594704	0.227147	0.178232	2.819424	
100000	1.137478	3	0.238663	0.238663	0.238663	2.915392	0.505803	0.505803	0.238663	0.238663	2.915392	
101000	1.137478	4	0.238459	0.238459	0.238459	2.702245	0.404743	0.404743	0.238459	0.210589	2.702245	
102000	1.137478	4	0.234792	0.234792	0.234792	3.295071	0.573822	0.573822	0.234792	0.142759	3.295071	
103000	1.137478	4	0.249888	0.249888	0.249888	2.806382	0.548762	0.548762	0.249888	0.173156	2.806382	
104000	1.137478	4	0.260540	0.260540	0.260540	3.085897	0.432465	0.566568	0.260540	0.260540	3.085897	
105000	1.137478	4	0.251801	0.251801	0.251801	2.902675	0.477333	0.525044	0.251801	0.251801	2.902675	
106000	1.137478	3	0.255436	0.255436	0.255436	3.085177	0.543482	0.543482	0.255436	0.255436	3.085177	
107000	1.137478	4	0.243401	0.243401	0.243401	2.611031	0.371724	0.408506	0.243401	0.243401	2.611031	
108000	1.137478	3	0.238216	0.238216	0.238216	3.262549	0.444180	0.444180	0.238216	0.238216	3.262549	
109000	1.137478	4	0.262910	0.262910	0.262910	3.181820	0.501858	0.501858	0.262910	0.123871	3.181820	
110000	1.137478	4	0.247731	0.247731	0.247731	3.330083	0.425525	0.489569	0.247731	0.247731	3.330083	
111000	1.137478	3	0.240418	0.240418	0.240418	2.379017	0.461965	0.461965	0.240418	0.240418	2.379017	
112000	1.137478	4	0.244380	0.244380	0.244380	3.207779	0.528698	0.528698	0.244380	0.176294	3.207779	
113000	1.137478	4	0.235803	0.235803	0.235803	2.691222	0.592431	0.592431	0.235803	0.203510	2.691222	
114000	1.137478	3	0.245078	0.245078	0.245078	2.721198	0.451771	0.451771	0.245078	0.245078	2.721198	
115000	1.137478	3	0.218631	0.218631	0.218631	2.875082	0.499539	0.499539	0.218631	0.218631	2.875082	
116000	1.137478	5	0.209926	0.279818	0.239156	2.314014	0.531068	0.531068	0.239156	0.209926	2.314014	
117000	1.137478	3	0.243139	0.243139	0.243139	2.446269	0.458975	0.458975	0.243139	0.243139	2.446269	
118000	1.137478	4	0.245047	0.245047	0.245047	2.818329	0.407942	0.407942	0.245047	0.203490	2.818329	
119000	1.137478	5	0.239759	0.239759	0.239759	2.700130	0.477869	0.516599	0.239759	0.200712	2.700130	
120000	1.137478	4	0.270316	0.270316	0.270316	3.139351	0.531401	0.531401	0.270316	0.138934	3.139351	
121000	1.137478	4	0.258461	0.258461	0.258461	2.966135	0.588813	0.588813	0.225029	0.225029	2.966135	
122000	1.137478	4	0.261807	0.261807	0.261807	2.475165	0.507036	0.507036	0.261807	0.167747	2.475165	
123000	1.137478	3	0.257108	0.257108	0.257108	2.965393	0.427729	0.427729	0.257108	0.257108	2.965393	
124000	1.137478	4	0.245578	0.245578	0.245578	3.157332	0.391525	0.432163	0.245578	0.245578	3.157332	
125000	1.137478	3	0.253478	0.253478	0.253478	2.983139	0.494475	0.494475	0.253478	0.253478	2.983139	
126000	1.137478	3	0.241703	0.241703	0.241703	3.992756	0.545839	0.545839	0.241703	0.241703	3.992756	
127000	1.137478	3	0.237299	0.237299	0.237299	2.787921	0.585424	0.585424	0.237299	0.237299	2.787921	
128000	1.137478	3	0.263990	0.263990	0.263990	2.602071	0.399963	0.399963	0.263990	0.263990	2.602071	
129000	1.137478	3	0.238707	0.238707	0.238707	2.653279	0.389190	0.389190	0.238707	0.238707	2.653279	
130000	1.137478	5	0.239076	0.239076	0.239076	2.260949	0.416660	0.553220	0.239076	0.199804	2.260949	
131000	1.137478	4	0.255768	0.255768	0.255768	2.512430	0.432263	0.432263	0.255768	0.196226	2.512430	
132000	1.137478	4	0.250525	0.250525	0.250525	3.087232	0.465948	0.465948	0.250525	0.250525	2.534659	
133000	1.137478	4	0.235805	0.235805	0.235805	2.938326	0.475321	0.475321	0.235805	0.154660	2.938326	
134000	1.137478	3	0.255223	0.255223	0.255223	2.352099	0.475965	0.475965	0.255223	0.255223	2.352099	
135000	1.137478	3	0.245554	0.245554	0.245554	3.119716	0.542496	0.542496	0.245554	0.245554	3.119716	
136000	1.137478	3	0.238691	0.238691	0.238691	2.873932	0.443905	0.443905	0.238691	0.238691	2.873932	
137000	1.137478	4	0.255987	0.255987	0.255987	2.208948	0.414053	0.617679	0.255987	0.255987	2.208948	
138000	1.137478	4	0.240693	0.240693	0.240693	2.645093	0.523365	0.523365	0.240693	0.136427	2.645093	
139000	1.137478	4	0.233799	0.233799	0.233799	3.061036	0.379870	0.618138	0.233799	0.233799	3.061036	
140000	1.137478	4	0.236709	0.236709	0.236709	2.683282	0.526664	0.526664	0.236709	0.188400	2.683282	
141000	1.137478	6	0.231815	0.231815	0.245693	2.766253	0.461821	0.538302	0.231815	0.193520	2.766253	
142000	1.137478	3	0.244417	0.244417	0.244417	2.879459	0.489848	0.489848	0.244417	0.244417	2.879459	
143000	1.137478	3	0.245543	0.245543	0.245543	2.765656	0.518642	0.518642	0.245543	0.245543	2.765656	
144000	1.137478	3	0.230322	0.230322	0.230322	2.153964	0.634974	0.634974	0.230322	0.230322	2.153964	
145000	1.137478	6	0.220846	0.233042	0.233042	2.113290	0.494901	0.557243	0.220846	0.155863	2.113290	
146000	1.137478	4	0.237159	0.237159	0.237159	2.911590	0.449695	0.449695	0.237159	0.150753	2.911590	
147000	1.137478	4	0.252081	0.237159	0.237159	2.199347	0.514535	0.514535	0.237159	0.237159	2.199347	
148000	1.137478	3	0.231005	0.231005	0.231005	2.782697	0.586293	0.586293	0.231005	0.231005	2.782697	
149000	1.137478	3	0.238211	0.238211	0.238211	3.053394	0.502670	0.502670	0.238211	0.238211	3.053394	
150000	1.137478	5	0.239565	0.239565	0.239565	2.927572	0.427477	0.503718	0.239565	0.161113	2.927572	
151000	1.137478	3	0.240790	0.240790	0.240790	3.069716	0.461796	0.461796	0.240790	0.240790	3.069716	
152000	1.137478	3	0.249395	0.249395	0.249395	2.659629	0.494927	0.494927	0.249395	0.249395	2.659629	
153000	1.137478	4	0.244256	0.244256	0.244256	2.763361	0.471651	0.471651	0.244256	0.125351	2.763361	
154000	1.137478	4	0.252452	0.252452	0.219587	3.009529	0.475025	0.475025	0.219587	0.219587	3.009529	
155000	1.137478	4	0.245941	0.245941	0.245941	2.860309	0.464329	0.464329	0.245941	0.137940	2.860309	
156000	1.137478	3	0.242672	0.242672	0.242672	3.050289	0.509616	0.509616	0.242672	0.242672	3.050289	
157000	1.137478	3	0.263481	0.263481	0.263481	2.870656	0.475423	0.475423	0.263481	0.263481	2.870656	
158000	1.137478	6	0.235283	0.236580	0.236580	2.748488	0.458310	0.513153	0.236580	0.142349	2.748488	
159000	1.137478	3	0.248799	0.248799	0.248799	2.768992	0.438788	0.438788	0.248799	0.248799	2.768992	
160000	1.137478	5	0.271922	0.271922	0.249238	2.587477	0.473446	0.473446	0.249238	0.232271	2.587477	
161000	1.137478	5	0.250675	0.250675	0.250675	2.314346	0.460911	0.622452	0.250675	0.135661	2.314346	
162000	1.137478	5	0.254962	0.254962	0.254962	3.251843	0.434501	0.443808	0.254962	0.203698	3.251843	
163000	1.137478	3	0.266733	0.266733	0.266733	3.047291	0.521870	0.521870	0.266733	0.266733	3.047291	
