Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.137478	4	0.268230	0.353579	0.268230	1.650394	0.353579	0.353579	0.268230	0.192967	1.650394	
2000	1.137478	4	0.253747	0.253747	0.253747	1.847331	0.484896	0.484896	0.237095	0.253747	1.847331	
3000	1.137478	3	0.247251	0.247251	0.247251	2.171613	0.446245	0.446245	0.247251	0.247251	2.171613	
4000	1.137478	4	0.277109	0.277109	0.277109	2.211919	0.466320	0.466320	0.277109	0.248745	2.211919	
5000	1.137478	4	0.257569	0.257569	0.257569	2.387023	0.492879	0.492879	0.257569	0.139238	2.387023	
6000	1.137478	5	0.261980	0.261980	0.261980	2.474688	0.376001	0.376001	0.251344	0.154582	2.474688	
7000	1.137478	3	0.269834	0.269834	0.269834	1.962620	0.484545	0.484545	0.269834	0.269834	1.962620	
8000	1.137478	4	0.263379	0.263379	0.263379	2.476650	0.470094	0.470094	0.263379	0.219698	2.476650	
9000	1.137478	3	0.254553	0.254553	0.254553	2.686461	0.451052	0.451052	0.254553	0.254553	2.686461	
10000	1.137478	4	0.251876	0.286792	0.251876	2.652656	0.504802	0.504802	0.251876	0.251876	2.652656	
11000	1.137478	3	0.242926	0.242926	0.242926	2.393295	0.505592	0.505592	0.242926	0.242926	2.393295	
12000	1.137478	4	0.234216	0.279115	0.234216	2.096485	0.490881	0.490881	0.234216	0.234216	2.096485	
13000	1.137478	6	0.255042	0.269286	0.255042	2.701980	0.390387	0.490139	0.255042	0.186835	2.701980	
14000	1.137478	3	0.246711	0.246711	0.246711	2.155433	0.521473	0.521473	0.246711	0.246711	2.155433	
15000	1.137478	5	0.253571	0.253571	0.253571	2.321266	0.529065	0.529065	0.264321	0.205683	2.321266	
16000	1.137478	4	0.250188	0.250188	0.250188	3.870163	0.469028	0.513370	0.250188	0.250188	3.870163	
17000	1.137478	3	0.268390	0.268390	0.268390	2.547733	0.410624	0.410624	0.268390	0.268390	2.547733	
18000	1.137478	3	0.283780	0.283780	0.283780	2.591128	0.476837	0.476837	0.283780	0.283780	2.591128	
19000	1.137478	4	0.240168	0.240168	0.289477	3.050908	0.499735	0.499735	0.240168	0.240168	3.050908	
20000	1.137478	5	0.266843	0.279322	0.279322	3.353962	0.555069	0.555069	0.216943	0.216943	3.353962	
21000	1.137478	4	0.248679	0.248679	0.248679	2.356507	0.419093	0.588716	0.248679	0.248679	2.356507	
22000	1.137478	3	0.233124	0.233124	0.233124	2.768812	0.483910	0.483910	0.233124	0.233124	2.768812	
23000	1.137478	4	0.217697	0.261027	0.261027	2.728154	0.498586	0.498586	0.217697	0.217697	2.728154	
24000	1.137478	3	0.256855	0.256855	0.256855	2.175729	0.502240	0.502240	0.256855	0.256855	2.175729	
25000	1.137478	5	0.250005	0.250005	0.250005	2.703498	0.446494	0.461792	0.250005	0.210578	2.703498	
26000	1.137478	4	0.271868	0.271868	0.271868	2.868289	0.483747	0.483747	0.271868	0.138131	2.868289	
27000	1.137478	3	0.240680	0.240680	0.240680	2.688549	0.509115	0.509115	0.240680	0.240680	2.688549	
28000	1.137478	5	0.242984	0.242984	0.242984	2.867550	0.417472	0.632356	0.242984	0.163724	2.867550	
29000	1.137478	5	0.261432	0.261432	0.264951	2.779644	0.465712	0.465712	0.264951	0.183861	2.779644	
30000	1.137478	4	0.273742	0.273742	0.273742	2.493636	0.437445	0.437445	0.273742	0.136482	2.493636	
31000	1.137478	3	0.240132	0.240132	0.240132	2.269831	0.494002	0.494002	0.240132	0.240132	2.269831	
32000	1.137478	4	0.263252	0.263252	0.263252	2.646689	0.482413	0.482413	0.263252	0.175683	2.646689	
33000	1.137478	5	0.240248	0.240248	0.240248	2.409052	0.417288	0.808590	0.240248	0.202938	2.409052	
34000	1.137478	3	0.243662	0.243662	0.243662	3.249889	0.533310	0.533310	0.243662	0.243662	3.249889	
35000	1.137478	5	0.235717	0.235717	0.235717	2.849555	0.354227	0.438604	0.235717	0.182700	2.849555	
36000	1.137478	4	0.253616	0.253616	0.253616	2.328655	0.468393	0.468393	0.253616	0.157982	2.328655	
37000	1.137478	4	0.243360	0.243360	0.243360	2.788289	0.494228	0.494228	0.243360	0.243360	2.417865	
38000	1.137478	3	0.254286	0.254286	0.254286	2.972200	0.491635	0.491635	0.254286	0.254286	2.972200	
39000	1.137478	4	0.244919	0.244919	0.244919	2.519976	0.519867	0.519867	0.244919	0.184670	2.519976	
40000	1.137478	4	0.246990	0.246990	0.246990	2.993357	0.494001	0.494001	0.246990	0.227908	2.993357	
41000	1.137478	4	0.256707	0.256707	0.256707	2.930571	0.476309	0.476309	0.256707	0.176069	2.930571	
42000	1.137478	4	0.260007	0.260007	0.260007	3.893878	0.460145	0.460145	0.260007	0.205045	3.893878	
43000	1.137478	5	0.251924	0.270076	0.270076	2.831384	0.493395	0.493395	0.251924	0.227071	2.831384	
44000	1.137478	4	0.238616	0.281821	0.238616	1.896001	0.503090	0.503090	0.238616	0.238616	1.896001	
45000	1.137478	3	0.276146	0.276146	0.276146	2.821404	0.550136	0.550136	0.276146	0.276146	2.821404	
46000	1.137478	3	0.247412	0.247412	0.247412	2.562980	0.401784	0.401784	0.247412	0.247412	2.562980	
47000	1.137478	4	0.252978	0.252978	0.252978	2.477814	0.459145	0.459145	0.252978	0.146411	2.477814	
48000	1.137478	4	0.270199	0.270199	0.270199	2.660592	0.490697	0.490697	0.270199	0.245848	2.660592	
49000	1.137478	4	0.248477	0.248477	0.248477	2.286590	0.449053	0.488652	0.248477	0.248477	2.286590	
50000	1.137478	3	0.239049	0.239049	0.239049	2.961370	0.575128	0.575128	0.239049	0.239049	2.961370	
51000	1.137478	3	0.258698	0.258698	0.258698	2.921727	0.444556	0.444556	0.258698	0.258698	2.921727	
52000	1.137478	4	0.232291	0.232291	0.232291	2.733276	0.526752	0.530772	0.232291	0.232291	2.733276	
53000	1.137478	3	0.240424	0.240424	0.240424	2.116895	0.526040	0.526040	0.240424	0.240424	2.116895	
54000	1.137478	3	0.242874	0.242874	0.242874	2.769216	0.500449	0.500449	0.242874	0.242874	2.769216	
55000	1.137478	4	0.263266	0.263266	0.263266	2.464312	0.425914	0.425914	0.263266	0.195881	2.464312	
56000	1.137478	3	0.247531	0.247531	0.247531	2.621242	0.436616	0.436616	0.247531	0.247531	2.621242	
57000	1.137478	3	0.235978	0.235978	0.235978	2.593077	0.488791	0.488791	0.235978	0.235978	2.593077	
58000	1.137478	3	0.266859	0.266859	0.266859	2.947698	0.397584	0.397584	0.266859	0.266859	2.947698	
59000	1.137478	3	0.234948	0.234948	0.234948	3.009002	0.425322	0.425322	0.234948	0.234948	3.009002	
60000	1.137478	3	0.257741	0.257741	0.257741	2.375181	0.384806	0.384806	0.257741	0.257741	2.375181	
61000	1.137478	3	0.238135	0.238135	0.238135	2.944732	0.576818	0.576818	0.238135	0.238135	2.944732	
62000	1.137478	4	0.261998	0.242954	0.242954	2.926437	0.512814	0.512814	0.242954	0.242954	2.926437	
63000	1.137478	3	0.228880	0.228880	0.228880	2.619723	0.549515	0.549515	0.228880	0.228880	2.619723	
64000	1.137478	4	0.230254	0.230254	0.225634	2.791119	0.505926	0.505926	0.230254	0.230254	2.791119	
65000	1.137478	3	0.244191	0.244191	0.244191	3.032567	0.554267	0.554267	0.244191	0.244191	3.032567	
66000	1.137478	4	0.232556	0.232556	0.232556	2.738389	0.426971	0.426971	0.232556	0.138308	2.738389	
