Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	1.137478	3	0.351819	0.445995	0.051835	0.150350	0.351819	0.445995	0.051835	0.150350	0.178307	0.416684	0.088876	0.316133	0.351819	0.445995	0.051835	0.150350	0.265431	0.387001	0.190973	0.156595	0.265431	0.387001	0.190973	0.156595	0.351819	0.445995	0.051835	0.150350	0.178307	0.416684	0.088876	0.316133	0.351819	0.445995	0.051835	0.150350	
2000	1.137478	3	0.384856	0.408943	0.061553	0.144649	0.384856	0.408943	0.061553	0.144649	0.217056	0.330164	0.187997	0.264784	0.384856	0.408943	0.061553	0.144649	0.217056	0.330164	0.187997	0.264784	0.309459	0.281832	0.121692	0.287017	0.384856	0.408943	0.061553	0.144649	0.217056	0.330164	0.187997	0.264784	0.384856	0.408943	0.061553	0.144649	
3000	1.137478	2	0.384856	0.408943	0.061553	0.144649	0.384856	0.408943	0.061553	0.144649	0.245263	0.257635	0.193166	0.303936	0.384856	0.408943	0.061553	0.144649	0.245263	0.257635	0.193166	0.303936	0.245263	0.257635	0.193166	0.303936	0.384856	0.408943	0.061553	0.144649	0.245263	0.257635	0.193166	0.303936	0.384856	0.408943	0.061553	0.144649	
4000	1.137478	3	0.384856	0.408943	0.061553	0.144649	0.384856	0.408943	0.061553	0.144649	0.207682	0.309474	0.152374	0.330470	0.384856	0.408943	0.061553	0.144649	0.207682	0.309474	0.152374	0.330470	0.366650	0.167210	0.153381	0.312759	0.384856	0.408943	0.061553	0.144649	0.207682	0.309474	0.152374	0.330470	0.384856	0.408943	0.061553	0.144649	
5000	1.137478	2	0.384856	0.408943	0.061553	0.144649	0.384856	0.408943	0.061553	0.144649	0.233830	0.258029	0.239405	0.268736	0.384856	0.408943	0.061553	0.144649	0.233830	0.258029	0.239405	0.268736	0.233830	0.258029	0.239405	0.268736	0.384856	0.408943	0.061553	0.144649	0.233830	0.258029	0.239405	0.268736	0.384856	0.408943	0.061553	0.144649	
6000	1.137478	2	0.384856	0.408943	0.061553	0.144649	0.384856	0.408943	0.061553	0.144649	0.249197	0.252312	0.192241	0.306250	0.384856	0.408943	0.061553	0.144649	0.249197	0.252312	0.192241	0.306250	0.249197	0.252312	0.192241	0.306250	0.384856	0.408943	0.061553	0.144649	0.249197	0.252312	0.192241	0.306250	0.384856	0.408943	0.061553	0.144649	
7000	1.137478	2	0.384856	0.408943	0.061553	0.144649	0.384856	0.408943	0.061553	0.144649	0.212765	0.276489	0.184195	0.326551	0.384856	0.408943	0.061553	0.144649	0.212765	0.276489	0.184195	0.326551	0.212765	0.276489	0.184195	0.326551	0.384856	0.408943	0.061553	0.144649	0.212765	0.276489	0.184195	0.326551	0.384856	0.408943	0.061553	0.144649	
8000	1.137478	4	0.411042	0.321324	0.076101	0.191532	0.411042	0.321324	0.076101	0.191532	0.172943	0.364598	0.190277	0.272182	0.383990	0.415944	0.057622	0.142443	0.258179	0.272756	0.186878	0.282186	0.258179	0.272756	0.186878	0.282186	0.383990	0.415944	0.057622	0.142443	0.172943	0.364598	0.190277	0.272182	0.383990	0.415944	0.057622	0.142443	
9000	1.137478	4	0.411042	0.321324	0.076101	0.191532	0.411042	0.321324	0.076101	0.191532	0.192987	0.337483	0.139273	0.330258	0.383990	0.415944	0.057622	0.142443	0.244702	0.303682	0.210297	0.241319	0.244702	0.303682	0.210297	0.241319	0.383990	0.415944	0.057622	0.142443	0.192987	0.337483	0.139273	0.330258	0.383990	0.415944	0.057622	0.142443	
10000	1.137478	4	0.431038	0.296202	0.079377	0.193383	0.431038	0.296202	0.079377	0.193383	0.246541	0.272879	0.198539	0.282040	0.383990	0.415944	0.057622	0.142443	0.246541	0.272879	0.198539	0.282040	0.246541	0.272879	0.198539	0.282040	0.383990	0.415944	0.057622	0.142443	0.182781	0.327158	0.146082	0.343979	0.383990	0.415944	0.057622	0.142443	
