Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	1.137478	4	0.289496	0.350525	0.121850	0.238130	0.299048	0.448559	0.081670	0.170723	0.152761	0.480390	0.060465	0.306384	0.320007	0.494738	0.057808	0.127446	0.289496	0.350525	0.121850	0.238130	0.289496	0.350525	0.121850	0.238130	0.299048	0.448559	0.081670	0.170723	0.289496	0.350525	0.121850	0.238130	0.320007	0.494738	0.057808	0.127446	
2000	1.137478	3	0.323863	0.444207	0.052287	0.179643	0.323863	0.444207	0.052287	0.179643	0.162469	0.392824	0.123111	0.321595	0.323863	0.444207	0.052287	0.179643	0.268311	0.298001	0.192898	0.240790	0.268311	0.298001	0.192898	0.240790	0.323863	0.444207	0.052287	0.179643	0.162469	0.392824	0.123111	0.321595	0.323863	0.444207	0.052287	0.179643	
3000	1.137478	3	0.392950	0.392718	0.054683	0.159649	0.392950	0.392718	0.054683	0.159649	0.200800	0.362408	0.129758	0.307034	0.392950	0.392718	0.054683	0.159649	0.316109	0.238980	0.217215	0.227696	0.316109	0.238980	0.217215	0.227696	0.392950	0.392718	0.054683	0.159649	0.200800	0.362408	0.129758	0.307034	0.392950	0.392718	0.054683	0.159649	
4000	1.137478	3	0.369031	0.423448	0.053541	0.153981	0.369031	0.423448	0.053541	0.153981	0.188111	0.336045	0.170511	0.305334	0.369031	0.423448	0.053541	0.153981	0.247143	0.261294	0.189609	0.301954	0.247143	0.261294	0.189609	0.301954	0.369031	0.423448	0.053541	0.153981	0.188111	0.336045	0.170511	0.305334	0.369031	0.423448	0.053541	0.153981	
5000	1.137478	3	0.369031	0.423448	0.053541	0.153981	0.369031	0.423448	0.053541	0.153981	0.192029	0.387713	0.128016	0.292242	0.369031	0.423448	0.053541	0.153981	0.284481	0.222284	0.195244	0.297991	0.284481	0.222284	0.195244	0.297991	0.369031	0.423448	0.053541	0.153981	0.192029	0.387713	0.128016	0.292242	0.369031	0.423448	0.053541	0.153981	
6000	1.137478	4	0.395958	0.345125	0.078098	0.180819	0.395958	0.345125	0.078098	0.180819	0.186139	0.354205	0.130342	0.329314	0.376087	0.433993	0.053292	0.136628	0.246240	0.251222	0.199321	0.303217	0.246240	0.251222	0.199321	0.303217	0.376087	0.433993	0.053292	0.136628	0.186139	0.354205	0.130342	0.329314	0.376087	0.433993	0.053292	0.136628	
7000	1.137478	4	0.395958	0.345125	0.078098	0.180819	0.395958	0.345125	0.078098	0.180819	0.198162	0.346772	0.138415	0.316651	0.376087	0.433993	0.053292	0.136628	0.260910	0.316812	0.186861	0.235418	0.260910	0.316812	0.186861	0.235418	0.376087	0.433993	0.053292	0.136628	0.198162	0.346772	0.138415	0.316651	0.376087	0.433993	0.053292	0.136628	
8000	1.137478	3	0.407005	0.394324	0.057025	0.141647	0.407005	0.394324	0.057025	0.141647	0.269781	0.273308	0.170861	0.286050	0.407005	0.394324	0.057025	0.141647	0.209117	0.348957	0.212620	0.229306	0.269781	0.273308	0.170861	0.286050	0.407005	0.394324	0.057025	0.141647	0.209117	0.348957	0.212620	0.229306	0.407005	0.394324	0.057025	0.141647	
9000	1.137478	3	0.433593	0.339906	0.065819	0.160682	0.433593	0.339906	0.065819	0.160682	0.268526	0.250679	0.178715	0.302080	0.407005	0.394324	0.057025	0.141647	0.268526	0.250679	0.178715	0.302080	0.268526	0.250679	0.178715	0.302080	0.407005	0.394324	0.057025	0.141647	0.268526	0.250679	0.178715	0.302080	0.407005	0.394324	0.057025	0.141647	
10000	1.137478	4	0.413768	0.335258	0.075925	0.175049	0.413768	0.335258	0.075925	0.175049	0.233251	0.284500	0.143521	0.338728	0.407005	0.394324	0.057025	0.141647	0.265657	0.278043	0.193097	0.263203	0.265657	0.278043	0.193097	0.263203	0.407005	0.394324	0.057025	0.141647	0.233251	0.284500	0.143521	0.338728	0.407005	0.394324	0.057025	0.141647	
