Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	
1000	0.879386	1	1.529505	1.529505	1.529505	1.529505	
2000	0.879386	1	0.878966	0.878966	0.878966	0.878966	
3000	0.879386	1	0.916868	0.916868	0.916868	0.916868	
4000	0.879386	1	0.900701	0.900701	0.900701	0.900701	
5000	0.879386	1	0.817237	0.817237	0.817237	0.817237	
6000	0.879386	1	0.831982	0.831982	0.831982	0.831982	
7000	0.879386	1	0.794076	0.794076	0.794076	0.794076	
8000	0.879386	1	0.885727	0.885727	0.885727	0.885727	
9000	0.879386	1	0.848743	0.848743	0.848743	0.848743	
10000	0.879386	1	0.848536	0.848536	0.848536	0.848536	
11000	0.879386	1	0.927681	0.927681	0.927681	0.927681	
12000	0.879386	1	0.898212	0.898212	0.898212	0.898212	
13000	0.879386	1	0.887092	0.887092	0.887092	0.887092	
14000	0.879386	1	0.883061	0.883061	0.883061	0.883061	
15000	0.879386	1	0.848524	0.848524	0.848524	0.848524	
16000	0.879386	1	0.849275	0.849275	0.849275	0.849275	
17000	0.879386	1	0.946011	0.946011	0.946011	0.946011	
18000	0.879386	1	0.947165	0.947165	0.947165	0.947165	
19000	0.879386	1	0.852839	0.852839	0.852839	0.852839	
20000	0.879386	1	0.885634	0.885634	0.885634	0.885634	
21000	0.879386	1	0.788543	0.788543	0.788543	0.788543	
22000	0.879386	1	0.986141	0.986141	0.986141	0.986141	
23000	0.879386	1	0.940323	0.940323	0.940323	0.940323	
24000	0.879386	1	0.927327	0.927327	0.927327	0.927327	
25000	0.879386	1	0.901188	0.901188	0.901188	0.901188	
26000	0.879386	1	0.827471	0.827471	0.827471	0.827471	
27000	0.879386	1	0.842800	0.842800	0.842800	0.842800	
28000	0.879386	1	0.906430	0.906430	0.906430	0.906430	
29000	0.879386	1	0.850445	0.850445	0.850445	0.850445	
30000	0.879386	1	0.768569	0.768569	0.768569	0.768569	
31000	0.879386	1	0.893917	0.893917	0.893917	0.893917	
32000	0.879386	1	0.867409	0.867409	0.867409	0.867409	
33000	0.879386	1	0.855571	0.855571	0.855571	0.855571	
34000	0.879386	1	0.841457	0.841457	0.841457	0.841457	
35000	0.879386	1	0.877322	0.877322	0.877322	0.877322	
36000	0.879386	1	0.878875	0.878875	0.878875	0.878875	
37000	0.879386	1	0.827901	0.827901	0.827901	0.827901	
38000	0.879386	1	0.769246	0.769246	0.769246	0.769246	
39000	0.879386	1	0.933844	0.933844	0.933844	0.933844	
40000	0.879386	1	0.914828	0.914828	0.914828	0.914828	
41000	0.879386	1	0.966398	0.966398	0.966398	0.966398	
42000	0.879386	1	0.856831	0.856831	0.856831	0.856831	
43000	0.879386	1	0.980725	0.980725	0.980725	0.980725	
44000	0.879386	1	0.924645	0.924645	0.924645	0.924645	
45000	0.879386	1	0.877080	0.877080	0.877080	0.877080	
46000	0.879386	1	0.833214	0.833214	0.833214	0.833214	
47000	0.879386	1	0.919687	0.919687	0.919687	0.919687	
48000	0.879386	1	0.895347	0.895347	0.895347	0.895347	
49000	0.879386	1	1.019751	1.019751	1.019751	1.019751	
50000	0.879386	1	0.931609	0.931609	0.931609	0.931609	
51000	0.879386	1	0.917165	0.917165	0.917165	0.917165	
52000	0.879386	1	0.987303	0.987303	0.987303	0.987303	
53000	0.879386	1	0.897574	0.897574	0.897574	0.897574	
54000	0.879386	1	0.962192	0.962192	0.962192	0.962192	
55000	0.879386	1	0.911556	0.911556	0.911556	0.911556	
56000	0.879386	1	0.915605	0.915605	0.915605	0.915605	
57000	0.879386	1	0.901502	0.901502	0.901502	0.901502	
58000	0.879386	1	0.894944	0.894944	0.894944	0.894944	
59000	0.879386	1	0.881810	0.881810	0.881810	0.881810	
60000	0.879386	1	0.952307	0.952307	0.952307	0.952307	
61000	0.879386	1	0.848522	0.848522	0.848522	0.848522	
62000	0.879386	1	0.947660	0.947660	0.947660	0.947660	
63000	0.879386	1	0.923476	0.923476	0.923476	0.923476	
64000	0.879386	1	0.902252	0.902252	0.902252	0.902252	
65000	0.879386	1	0.904183	0.904183	0.904183	0.904183	
66000	0.879386	1	0.863958	0.863958	0.863958	0.863958	
67000	0.879386	1	0.966547	0.966547	0.966547	0.966547	
68000	0.879386	1	0.863511	0.863511	0.863511	0.863511	
69000	0.879386	1	0.897307	0.897307	0.897307	0.897307	
70000	0.879386	1	0.886320	0.886320	0.886320	0.886320	
71000	0.879386	1	0.901668	0.901668	0.901668	0.901668	
72000	0.879386	1	0.879874	0.879874	0.879874	0.879874	
73000	0.879386	1	0.877816	0.877816	0.877816	0.877816	
74000	0.879386	1	0.855310	0.855310	0.855310	0.855310	
75000	0.879386	1	0.868683	0.868683	0.868683	0.868683	
76000	0.879386	1	0.961277	0.961277	0.961277	0.961277	
77000	0.879386	1	0.954291	0.954291	0.954291	0.954291	
78000	0.879386	1	0.879841	0.879841	0.879841	0.879841	
79000	0.879386	1	0.975831	0.975831	0.975831	0.975831	
80000	0.879386	1	0.864118	0.864118	0.864118	0.864118	
81000	0.879386	1	0.877259	0.877259	0.877259	0.877259	
82000	0.879386	1	0.937632	0.937632	0.937632	0.937632	
83000	0.879386	1	0.916969	0.916969	0.916969	0.916969	
84000	0.879386	1	0.893140	0.893140	0.893140	0.893140	
85000	0.879386	1	0.952171	0.952171	0.952171	0.952171	
86000	0.879386	1	0.953266	0.953266	0.953266	0.953266	
87000	0.879386	1	0.910828	0.910828	0.910828	0.910828	
88000	0.879386	1	0.958839	0.958839	0.958839	0.958839	
89000	0.879386	1	1.023973	1.023973	1.023973	1.023973	
90000	0.879386	1	0.941961	0.941961	0.941961	0.941961	
91000	0.879386	1	0.955354	0.955354	0.955354	0.955354	
