Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
1000	0.879386	1	0.300210	0.217056	0.130678	0.352056	0.300210	0.217056	0.130678	0.352056	0.300210	0.217056	0.130678	0.352056	0.300210	0.217056	0.130678	0.352056	
2000	0.879386	1	0.300503	0.214512	0.196173	0.288812	0.300503	0.214512	0.196173	0.288812	0.300503	0.214512	0.196173	0.288812	0.300503	0.214512	0.196173	0.288812	
3000	0.879386	2	0.279363	0.245914	0.202976	0.271747	0.279363	0.245914	0.202976	0.271747	0.363824	0.185144	0.143215	0.307816	0.363824	0.185144	0.143215	0.307816	
4000	0.879386	1	0.279187	0.201043	0.202043	0.317726	0.279187	0.201043	0.202043	0.317726	0.279187	0.201043	0.202043	0.317726	0.279187	0.201043	0.202043	0.317726	
5000	0.879386	1	0.275240	0.225570	0.203642	0.295549	0.275240	0.225570	0.203642	0.295549	0.275240	0.225570	0.203642	0.295549	0.275240	0.225570	0.203642	0.295549	
6000	0.879386	1	0.272580	0.203285	0.199148	0.324987	0.272580	0.203285	0.199148	0.324987	0.272580	0.203285	0.199148	0.324987	0.272580	0.203285	0.199148	0.324987	
7000	0.879386	1	0.300293	0.209994	0.193607	0.296106	0.300293	0.209994	0.193607	0.296106	0.300293	0.209994	0.193607	0.296106	0.300293	0.209994	0.193607	0.296106	
8000	0.879386	1	0.300293	0.209994	0.193607	0.296106	0.300293	0.209994	0.193607	0.296106	0.300293	0.209994	0.193607	0.296106	0.300293	0.209994	0.193607	0.296106	
9000	0.879386	1	0.293334	0.182144	0.199216	0.325306	0.293334	0.182144	0.199216	0.325306	0.293334	0.182144	0.199216	0.325306	0.293334	0.182144	0.199216	0.325306	
10000	0.879386	1	0.284619	0.208286	0.197622	0.309473	0.284619	0.208286	0.197622	0.309473	0.284619	0.208286	0.197622	0.309473	0.284619	0.208286	0.197622	0.309473	
11000	0.879386	1	0.298204	0.201639	0.191756	0.308400	0.298204	0.201639	0.191756	0.308400	0.298204	0.201639	0.191756	0.308400	0.298204	0.201639	0.191756	0.308400	
12000	0.879386	1	0.325876	0.239016	0.165513	0.269596	0.325876	0.239016	0.165513	0.269596	0.325876	0.239016	0.165513	0.269596	0.325876	0.239016	0.165513	0.269596	
13000	0.879386	1	0.284526	0.201288	0.200175	0.314012	0.284526	0.201288	0.200175	0.314012	0.284526	0.201288	0.200175	0.314012	0.284526	0.201288	0.200175	0.314012	
14000	0.879386	1	0.297294	0.213304	0.182880	0.306522	0.297294	0.213304	0.182880	0.306522	0.297294	0.213304	0.182880	0.306522	0.297294	0.213304	0.182880	0.306522	
15000	0.879386	1	0.291732	0.217437	0.187871	0.302960	0.291732	0.217437	0.187871	0.302960	0.291732	0.217437	0.187871	0.302960	0.291732	0.217437	0.187871	0.302960	
16000	0.879386	2	0.288741	0.201402	0.190561	0.319297	0.288741	0.201402	0.190561	0.319297	0.288741	0.201402	0.190561	0.319297	0.327275	0.109968	0.186622	0.376134	
17000	0.879386	1	0.279629	0.199370	0.202268	0.318733	0.279629	0.199370	0.202268	0.318733	0.279629	0.199370	0.202268	0.318733	0.279629	0.199370	0.202268	0.318733	
18000	0.879386	2	0.258656	0.218464	0.193140	0.329739	0.258656	0.218464	0.193140	0.329739	0.291773	0.176816	0.141527	0.389884	0.291773	0.176816	0.141527	0.389884	
19000	0.879386	1	0.298605	0.208994	0.178415	0.313986	0.298605	0.208994	0.178415	0.313986	0.298605	0.208994	0.178415	0.313986	0.298605	0.208994	0.178415	0.313986	
20000	0.879386	2	0.231293	0.259359	0.207417	0.301931	0.231293	0.259359	0.207417	0.301931	0.358118	0.150872	0.163881	0.327129	0.358118	0.150872	0.163881	0.327129	
21000	0.879386	1	0.283773	0.200064	0.185710	0.330453	0.283773	0.200064	0.185710	0.330453	0.283773	0.200064	0.185710	0.330453	0.283773	0.200064	0.185710	0.330453	
22000	0.879386	1	0.283634	0.203913	0.199508	0.312945	0.283634	0.203913	0.199508	0.312945	0.283634	0.203913	0.199508	0.312945	0.283634	0.203913	0.199508	0.312945	
23000	0.879386	2	0.271558	0.237172	0.226359	0.264912	0.271558	0.237172	0.226359	0.264912	0.333225	0.156145	0.145398	0.365232	0.333225	0.156145	0.145398	0.365232	
24000	0.879386	1	0.321303	0.206720	0.186667	0.285310	0.321303	0.206720	0.186667	0.285310	0.321303	0.206720	0.186667	0.285310	0.321303	0.206720	0.186667	0.285310	
25000	0.879386	1	0.295144	0.212410	0.193001	0.299445	0.295144	0.212410	0.193001	0.299445	0.295144	0.212410	0.193001	0.299445	0.295144	0.212410	0.193001	0.299445	
26000	0.879386	1	0.314869	0.176364	0.190783	0.317984	0.314869	0.176364	0.190783	0.317984	0.314869	0.176364	0.190783	0.317984	0.314869	0.176364	0.190783	0.317984	
