Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	
527000	0.879386	2	0.345092	0.345092	0.345092	0.447712	
528000	0.879386	2	0.303158	0.303158	0.303158	0.664164	
529000	0.879386	2	0.360230	0.360230	0.360230	0.568681	
530000	0.879386	2	0.303822	0.303822	0.303822	0.561499	
531000	0.879386	1	0.332780	0.332780	0.332780	0.332780	
532000	0.879386	2	0.312844	0.312844	0.312844	0.648559	
533000	0.879386	1	0.373673	0.373673	0.373673	0.373673	
534000	0.879386	1	0.348272	0.348272	0.348272	0.348272	
535000	0.879386	2	0.273506	0.273506	0.273506	0.508233	
536000	0.879386	2	0.351295	0.351295	0.351295	0.388195	
537000	0.879386	2	0.368186	0.310777	0.310777	0.368186	
538000	0.879386	1	0.415412	0.415412	0.415412	0.415412	
539000	0.879386	2	0.256295	0.362853	0.256295	0.362853	
540000	0.879386	1	0.316669	0.316669	0.316669	0.316669	
541000	0.879386	2	0.338853	0.338853	0.338853	0.591905	
542000	0.879386	1	0.324451	0.324451	0.324451	0.324451	
543000	0.879386	2	0.358331	0.358331	0.358331	0.865595	
544000	0.879386	3	0.289047	0.311909	0.311909	0.348460	
545000	0.879386	2	0.332292	0.332292	0.332292	0.587257	
546000	0.879386	2	0.305293	0.397706	0.397706	0.397706	
547000	0.879386	2	0.385053	0.385053	0.353974	0.385053	
548000	0.879386	2	0.295302	0.295302	0.295302	0.504071	
549000	0.879386	2	0.356063	0.356063	0.381581	0.381581	
550000	0.879386	1	0.350284	0.350284	0.350284	0.350284	
551000	0.879386	1	0.377401	0.377401	0.377401	0.377401	
552000	0.879386	3	0.378337	0.370995	0.370995	0.503383	
553000	0.879386	2	0.404361	0.404361	0.404361	0.490536	
554000	0.879386	2	0.319407	0.319407	0.319407	0.546025	
555000	0.879386	2	0.339336	0.339336	0.339336	0.609423	
556000	0.879386	1	0.370541	0.370541	0.370541	0.370541	
557000	0.879386	2	0.367113	0.367113	0.367113	0.556487	
558000	0.879386	2	0.350771	0.350771	0.350771	0.471493	
559000	0.879386	1	0.324916	0.324916	0.324916	0.324916	
560000	0.879386	1	0.429369	0.429369	0.429369	0.429369	
561000	0.879386	2	0.286974	0.286974	0.286974	0.464083	
562000	0.879386	1	0.327531	0.327531	0.327531	0.327531	
563000	0.879386	2	0.380770	0.380770	0.295436	0.380770	
564000	0.879386	1	0.384311	0.384311	0.384311	0.384311	
565000	0.879386	1	0.373710	0.373710	0.373710	0.373710	
566000	0.879386	1	0.331632	0.331632	0.331632	0.331632	
567000	0.879386	2	0.312346	0.312346	0.312346	0.607983	
568000	0.879386	1	0.371674	0.371674	0.371674	0.371674	
569000	0.879386	1	0.392116	0.392116	0.392116	0.392116	
570000	0.879386	2	0.380527	0.342783	0.342783	0.380527	
571000	0.879386	2	0.279283	0.279283	0.279283	0.310771	
572000	0.879386	1	0.340535	0.340535	0.340535	0.340535	
573000	0.879386	2	0.366988	0.366988	0.421938	0.366988	
574000	0.879386	2	0.348228	0.270012	0.270012	0.348228	
575000	0.879386	1	0.336955	0.336955	0.336955	0.336955	
576000	0.879386	1	0.311670	0.311670	0.311670	0.311670	
577000	0.879386	1	0.385985	0.385985	0.385985	0.385985	
578000	0.879386	1	0.342495	0.342495	0.342495	0.342495	
579000	0.879386	1	0.343897	0.343897	0.343897	0.343897	
580000	0.879386	2	0.328588	0.328588	0.328588	0.500386	
581000	0.879386	2	0.405805	0.320191	0.320191	0.405805	
582000	0.879386	2	0.342332	0.342332	0.342332	0.722814	
583000	0.879386	1	0.343227	0.343227	0.343227	0.343227	
584000	0.879386	2	0.282293	0.323306	0.323306	0.323306	
585000	0.879386	2	0.352011	0.352011	0.352011	0.657723	
586000	0.879386	2	0.295337	0.386989	0.386989	0.386989	
587000	0.879386	2	0.393739	0.463719	0.393739	0.463719	
588000	0.879386	2	0.395283	0.280903	0.280903	0.395283	
589000	0.879386	3	0.317099	0.358540	0.317099	0.541425	
590000	0.879386	1	0.390047	0.390047	0.390047	0.390047	
591000	0.879386	1	0.349771	0.349771	0.349771	0.349771	
592000	0.879386	3	0.365530	0.311508	0.365530	0.465070	
593000	0.879386	1	0.363990	0.363990	0.363990	0.363990	
594000	0.879386	3	0.363946	0.304709	0.304709	0.506405	
595000	0.879386	3	0.299466	0.343623	0.299466	0.488892	
596000	0.879386	1	0.350298	0.350298	0.350298	0.350298	
597000	0.879386	2	0.312380	0.312380	0.327041	0.312380	
598000	0.879386	3	0.355067	0.355067	0.265057	0.367082	
599000	0.879386	1	0.361898	0.361898	0.361898	0.361898	
600000	0.879386	2	0.355665	0.355665	0.355665	0.561476	
601000	0.879386	2	0.320235	0.320235	0.320235	0.348822	
602000	0.879386	1	0.364939	0.364939	0.364939	0.364939	
603000	0.879386	1	0.349205	0.349205	0.349205	0.349205	
604000	0.879386	2	0.356187	0.356187	0.356187	0.596350	
605000	0.879386	1	0.364309	0.364309	0.364309	0.364309	
606000	0.879386	1	0.338105	0.338105	0.338105	0.338105	
607000	0.879386	2	0.362992	0.362992	0.362992	0.459973	
608000	0.879386	2	0.297651	0.297651	0.297651	0.641833	
609000	0.879386	1	0.384003	0.384003	0.384003	0.384003	
610000	0.879386	2	0.284099	0.284099	0.284099	0.645029	
611000	0.879386	1	0.347485	0.347485	0.347485	0.347485	
612000	0.879386	2	0.347338	0.347338	0.347338	0.446722	
613000	0.879386	1	0.336168	0.336168	0.336168	0.336168	
614000	0.879386	3	0.314197	0.330449	0.330449	0.499264	
615000	0.879386	2	0.332769	0.440034	0.440034	0.440034	
616000	0.879386	2	0.356228	0.370355	0.370355	0.370355	
617000	0.879386	2	0.389873	0.389873	0.389873	0.806754	
618000	0.879386	2	0.342890	0.342890	0.342890	0.715299	
619000	0.879386	2	0.337074	0.337074	0.337074	0.588323	
620000	0.879386	1	0.406153	0.406153	0.406153	0.406153	
621000	0.879386	3	0.333398	0.257092	0.257092	0.452546	
622000	0.879386	1	0.288991	0.288991	0.288991	0.288991	
623000	0.879386	1	0.328536	0.328536	0.328536	0.328536	
624000	0.879386	1	0.292947	0.292947	0.292947	0.292947	
625000	0.879386	2	0.378902	0.378902	0.267292	0.378902	
626000	0.879386	1	0.340387	0.340387	0.340387	0.340387	
627000	0.879386	1	0.315671	0.315671	0.315671	0.315671	
628000	0.879386	1	0.347131	0.347131	0.347131	0.347131	
629000	0.879386	4	0.420719	0.296628	0.274034	0.464020	
