Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1000	0.879386	1	0.115701	0.238704	0.040942	0.120903	0.236505	0.247244	0.115701	0.238704	0.040942	0.120903	0.236505	0.247244	0.115701	0.238704	0.040942	0.120903	0.236505	0.247244	0.115701	0.238704	0.040942	0.120903	0.236505	0.247244	
2000	0.879386	1	0.116326	0.246361	0.040942	0.137073	0.287193	0.172106	0.116326	0.246361	0.040942	0.137073	0.287193	0.172106	0.116326	0.246361	0.040942	0.137073	0.287193	0.172106	0.116326	0.246361	0.040942	0.137073	0.287193	0.172106	
3000	0.879386	1	0.119656	0.229041	0.035834	0.155534	0.266780	0.193154	0.119656	0.229041	0.035834	0.155534	0.266780	0.193154	0.119656	0.229041	0.035834	0.155534	0.266780	0.193154	0.119656	0.229041	0.035834	0.155534	0.266780	0.193154	
4000	0.879386	1	0.132650	0.244180	0.029272	0.172661	0.288573	0.132664	0.132650	0.244180	0.029272	0.172661	0.288573	0.132664	0.132650	0.244180	0.029272	0.172661	0.288573	0.132664	0.132650	0.244180	0.029272	0.172661	0.288573	0.132664	
5000	0.879386	1	0.145235	0.288096	0.034732	0.153394	0.227426	0.151117	0.145235	0.288096	0.034732	0.153394	0.227426	0.151117	0.145235	0.288096	0.034732	0.153394	0.227426	0.151117	0.145235	0.288096	0.034732	0.153394	0.227426	0.151117	
6000	0.879386	1	0.130789	0.242599	0.030663	0.200172	0.253392	0.142385	0.130789	0.242599	0.030663	0.200172	0.253392	0.142385	0.130789	0.242599	0.030663	0.200172	0.253392	0.142385	0.130789	0.242599	0.030663	0.200172	0.253392	0.142385	
7000	0.879386	1	0.120778	0.225016	0.047111	0.172383	0.278417	0.156295	0.120778	0.225016	0.047111	0.172383	0.278417	0.156295	0.120778	0.225016	0.047111	0.172383	0.278417	0.156295	0.120778	0.225016	0.047111	0.172383	0.278417	0.156295	
8000	0.879386	1	0.121916	0.223144	0.027052	0.190279	0.312373	0.125235	0.121916	0.223144	0.027052	0.190279	0.312373	0.125235	0.121916	0.223144	0.027052	0.190279	0.312373	0.125235	0.121916	0.223144	0.027052	0.190279	0.312373	0.125235	
9000	0.879386	1	0.117711	0.239856	0.033607	0.157761	0.317154	0.133911	0.117711	0.239856	0.033607	0.157761	0.317154	0.133911	0.117711	0.239856	0.033607	0.157761	0.317154	0.133911	0.117711	0.239856	0.033607	0.157761	0.317154	0.133911	
10000	0.879386	1	0.107091	0.226542	0.033569	0.202690	0.295006	0.135102	0.107091	0.226542	0.033569	0.202690	0.295006	0.135102	0.107091	0.226542	0.033569	0.202690	0.295006	0.135102	0.107091	0.226542	0.033569	0.202690	0.295006	0.135102	
11000	0.879386	1	0.119484	0.220929	0.030383	0.196244	0.283693	0.149266	0.119484	0.220929	0.030383	0.196244	0.283693	0.149266	0.119484	0.220929	0.030383	0.196244	0.283693	0.149266	0.119484	0.220929	0.030383	0.196244	0.283693	0.149266	
12000	0.879386	1	0.085338	0.264524	0.025607	0.207873	0.227586	0.189073	0.085338	0.264524	0.025607	0.207873	0.227586	0.189073	0.085338	0.264524	0.025607	0.207873	0.227586	0.189073	0.085338	0.264524	0.025607	0.207873	0.227586	0.189073	
13000	0.879386	1	0.116723	0.200595	0.032872	0.175063	0.310636	0.164111	0.116723	0.200595	0.032872	0.175063	0.310636	0.164111	0.116723	0.200595	0.032872	0.175063	0.310636	0.164111	0.116723	0.200595	0.032872	0.175063	0.310636	0.164111	
14000	0.879386	1	0.111906	0.257200	0.032601	0.190290	0.266036	0.141968	0.111906	0.257200	0.032601	0.190290	0.266036	0.141968	0.111906	0.257200	0.032601	0.190290	0.266036	0.141968	0.111906	0.257200	0.032601	0.190290	0.266036	0.141968	
15000	0.879386	1	0.103364	0.259321	0.038342	0.216891	0.241915	0.140166	0.103364	0.259321	0.038342	0.216891	0.241915	0.140166	0.103364	0.259321	0.038342	0.216891	0.241915	0.140166	0.103364	0.259321	0.038342	0.216891	0.241915	0.140166	
16000	0.879386	1	0.127276	0.253583	0.025244	0.194570	0.259963	0.139365	0.127276	0.253583	0.025244	0.194570	0.259963	0.139365	0.127276	0.253583	0.025244	0.194570	0.259963	0.139365	0.127276	0.253583	0.025244	0.194570	0.259963	0.139365	
17000	0.879386	1	0.148254	0.214556	0.031934	0.182867	0.281307	0.141082	0.148254	0.214556	0.031934	0.182867	0.281307	0.141082	0.148254	0.214556	0.031934	0.182867	0.281307	0.141082	0.148254	0.214556	0.031934	0.182867	0.281307	0.141082	
