Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	71.353907	3	0.108577	0.387108	0.405520	0.098794	0.237085	0.250863	0.244932	0.267120	0.414700	0.090413	0.092168	0.402720	0.108577	0.387108	0.405520	0.098794	0.237085	0.250863	0.244932	0.267120	0.414700	0.090413	0.092168	0.402720	
2000	71.353907	3	0.109321	0.385223	0.403729	0.101728	0.244952	0.244101	0.262641	0.248306	0.407641	0.093609	0.100690	0.398060	0.109321	0.385223	0.403729	0.101728	0.244952	0.244101	0.262641	0.248306	0.407641	0.093609	0.100690	0.398060	
3000	71.353907	3	0.109321	0.385223	0.403729	0.101728	0.242917	0.252591	0.248202	0.256290	0.403216	0.093482	0.103593	0.399710	0.109321	0.385223	0.403729	0.101728	0.242917	0.252591	0.248202	0.256290	0.403216	0.093482	0.103593	0.399710	
4000	71.353907	3	0.098853	0.390426	0.410827	0.099894	0.246469	0.256615	0.247205	0.249712	0.411324	0.091176	0.102268	0.395232	0.098853	0.390426	0.410827	0.099894	0.246469	0.256615	0.247205	0.249712	0.411324	0.091176	0.102268	0.395232	
5000	71.353907	3	0.101162	0.385108	0.411812	0.101918	0.236306	0.255937	0.250125	0.257632	0.403050	0.093879	0.101844	0.401227	0.101162	0.385108	0.411812	0.101918	0.236306	0.255937	0.250125	0.257632	0.403050	0.093879	0.101844	0.401227	
6000	71.353907	3	0.102097	0.380572	0.411420	0.105911	0.246355	0.252269	0.246436	0.254939	0.403050	0.093879	0.101844	0.401227	0.102097	0.380572	0.411420	0.105911	0.246355	0.252269	0.246436	0.254939	0.403050	0.093879	0.101844	0.401227	
7000	71.353907	3	0.107476	0.376635	0.407971	0.107918	0.237268	0.258902	0.234049	0.269781	0.403050	0.093879	0.101844	0.401227	0.107476	0.376635	0.407971	0.107918	0.237268	0.258902	0.234049	0.269781	0.403050	0.093879	0.101844	0.401227	
8000	71.353907	3	0.106322	0.377313	0.414839	0.101525	0.251007	0.247910	0.249769	0.251315	0.403050	0.093879	0.101844	0.401227	0.106322	0.377313	0.414839	0.101525	0.251007	0.247910	0.249769	0.251315	0.403050	0.093879	0.101844	0.401227	
9000	71.353907	3	0.100526	0.379513	0.417081	0.102880	0.240880	0.261130	0.249921	0.248070	0.403050	0.093879	0.101844	0.401227	0.100526	0.379513	0.417081	0.102880	0.240880	0.261130	0.249921	0.248070	0.403050	0.093879	0.101844	0.401227	
10000	71.353907	3	0.098644	0.381951	0.412742	0.106664	0.244993	0.254011	0.251769	0.249228	0.403050	0.093879	0.101844	0.401227	0.098644	0.381951	0.412742	0.106664	0.244993	0.254011	0.251769	0.249228	0.403050	0.093879	0.101844	0.401227	
11000	71.353907	3	0.098644	0.381951	0.412742	0.106664	0.251214	0.245543	0.247399	0.255845	0.403050	0.093879	0.101844	0.401227	0.098644	0.381951	0.412742	0.106664	0.251214	0.245543	0.247399	0.255845	0.403050	0.093879	0.101844	0.401227	
12000	71.353907	3	0.098644	0.381951	0.412742	0.106664	0.258118	0.240265	0.232349	0.269268	0.403050	0.093879	0.101844	0.401227	0.098644	0.381951	0.412742	0.106664	0.258118	0.240265	0.232349	0.269268	0.403050	0.093879	0.101844	0.401227	
