Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1809000	71.353907	3	0.096476	0.396227	0.413824	0.093473	0.238350	0.265029	0.240495	0.256125	0.389097	0.100046	0.108386	0.402472	0.096476	0.396227	0.413824	0.093473	0.238350	0.265029	0.240495	0.256125	0.389097	0.100046	0.108386	0.402472	
1810000	71.353907	3	0.096476	0.396227	0.413824	0.093473	0.237542	0.263999	0.245545	0.252914	0.384923	0.098550	0.104260	0.412268	0.096476	0.396227	0.413824	0.093473	0.237542	0.263999	0.245545	0.252914	0.384923	0.098550	0.104260	0.412268	
1811000	71.353907	3	0.096476	0.396227	0.413824	0.093473	0.227969	0.252421	0.261310	0.258300	0.384923	0.098550	0.104260	0.412268	0.096476	0.396227	0.413824	0.093473	0.227969	0.252421	0.261310	0.258300	0.384923	0.098550	0.104260	0.412268	
1812000	71.353907	3	0.096476	0.396227	0.413824	0.093473	0.237439	0.257143	0.240111	0.265308	0.387756	0.099529	0.104990	0.407725	0.096476	0.396227	0.413824	0.093473	0.237439	0.257143	0.240111	0.265308	0.387756	0.099529	0.104990	0.407725	
1813000	71.353907	3	0.096476	0.396227	0.413824	0.093473	0.245995	0.249540	0.248133	0.256331	0.387756	0.099529	0.104990	0.407725	0.096476	0.396227	0.413824	0.093473	0.245995	0.249540	0.248133	0.256331	0.387756	0.099529	0.104990	0.407725	
1814000	71.353907	3	0.099324	0.412695	0.390322	0.097659	0.234164	0.266064	0.253119	0.246654	0.388940	0.100251	0.106441	0.404368	0.099324	0.412695	0.390322	0.097659	0.234164	0.266064	0.253119	0.246654	0.388940	0.100251	0.106441	0.404368	
1815000	71.353907	3	0.099324	0.412695	0.390322	0.097659	0.244377	0.249971	0.232055	0.273596	0.388940	0.100251	0.106441	0.404368	0.099324	0.412695	0.390322	0.097659	0.244377	0.249971	0.232055	0.273596	0.388940	0.100251	0.106441	0.404368	
1816000	71.353907	3	0.096797	0.422438	0.382649	0.098117	0.232370	0.259021	0.244617	0.263992	0.388940	0.100251	0.106441	0.404368	0.096797	0.422438	0.382649	0.098117	0.232370	0.259021	0.244617	0.263992	0.388940	0.100251	0.106441	0.404368	
1817000	71.353907	3	0.103501	0.411120	0.388145	0.097234	0.241478	0.254819	0.247929	0.255774	0.388940	0.100251	0.106441	0.404368	0.103501	0.411120	0.388145	0.097234	0.241478	0.254819	0.247929	0.255774	0.388940	0.100251	0.106441	0.404368	
1818000	71.353907	3	0.091604	0.407841	0.407814	0.092742	0.254947	0.250278	0.236559	0.258216	0.388940	0.100251	0.106441	0.404368	0.091604	0.407841	0.407814	0.092742	0.254947	0.250278	0.236559	0.258216	0.388940	0.100251	0.106441	0.404368	
1819000	71.353907	3	0.097842	0.406260	0.400523	0.095375	0.231684	0.256331	0.255046	0.256939	0.388940	0.100251	0.106441	0.404368	0.097842	0.406260	0.400523	0.095375	0.231684	0.256331	0.255046	0.256939	0.388940	0.100251	0.106441	0.404368	
1820000	71.353907	3	0.097933	0.399790	0.404277	0.098000	0.236567	0.260719	0.244589	0.258125	0.384642	0.102109	0.106459	0.406790	0.097933	0.399790	0.404277	0.098000	0.236567	0.260719	0.244589	0.258125	0.384642	0.102109	0.106459	0.406790	
1821000	71.353907	3	0.103948	0.398606	0.400191	0.097255	0.251748	0.249184	0.249341	0.249727	0.384642	0.102109	0.106459	0.406790	0.103948	0.398606	0.400191	0.097255	0.251748	0.249184	0.249341	0.249727	0.384642	0.102109	0.106459	0.406790	
1822000	71.353907	3	0.094423	0.408844	0.394679	0.102054	0.246131	0.269808	0.237232	0.246829	0.382561	0.098283	0.104851	0.414306	0.094423	0.408844	0.394679	0.102054	0.246131	0.269808	0.237232	0.246829	0.382561	0.098283	0.104851	0.414306	
1823000	71.353907	3	0.090958	0.416324	0.397036	0.095683	0.229768	0.268393	0.252019	0.249820	0.377378	0.106170	0.109136	0.407316	0.090958	0.416324	0.397036	0.095683	0.229768	0.268393	0.252019	0.249820	0.377378	0.106170	0.109136	0.407316	
1824000	71.353907	3	0.098396	0.401500	0.404766	0.095338	0.248740	0.262784	0.244946	0.243529	0.376816	0.101177	0.110320	0.411687	0.098396	0.401500	0.404766	0.095338	0.248740	0.262784	0.244946	0.243529	0.376816	0.101177	0.110320	0.411687	
1825000	71.353907	4	0.098396	0.401500	0.404766	0.095338	0.249476	0.252916	0.245183	0.252425	0.376816	0.101177	0.110320	0.411687	0.096748	0.399035	0.413388	0.090829	0.249476	0.252916	0.245183	0.252425	0.376816	0.101177	0.110320	0.411687	
1826000	71.353907	3	0.096748	0.399035	0.413388	0.090829	0.233059	0.262033	0.250331	0.254577	0.393811	0.097791	0.105260	0.403138	0.096748	0.399035	0.413388	0.090829	0.233059	0.262033	0.250331	0.254577	0.393811	0.097791	0.105260	0.403138	
1827000	71.353907	3	0.096748	0.399035	0.413388	0.090829	0.236665	0.242424	0.258862	0.262049	0.390143	0.103563	0.107609	0.398685	0.096748	0.399035	0.413388	0.090829	0.236665	0.242424	0.258862	0.262049	0.390143	0.103563	0.107609	0.398685	
1828000	71.353907	3	0.093902	0.415703	0.400303	0.090092	0.245631	0.270217	0.236263	0.247889	0.390143	0.103563	0.107609	0.398685	0.093902	0.415703	0.400303	0.090092	0.245631	0.270217	0.236263	0.247889	0.390143	0.103563	0.107609	0.398685	
1829000	71.353907	3	0.096166	0.415684	0.394403	0.093747	0.242266	0.244166	0.256388	0.257181	0.390143	0.103563	0.107609	0.398685	0.096166	0.415684	0.394403	0.093747	0.242266	0.244166	0.256388	0.257181	0.390143	0.103563	0.107609	0.398685	
1830000	71.353907	3	0.094291	0.419523	0.394706	0.091480	0.247878	0.259176	0.249992	0.242954	0.387313	0.099952	0.106561	0.406175	0.094291	0.419523	0.394706	0.091480	0.247878	0.259176	0.249992	0.242954	0.387313	0.099952	0.106561	0.406175	
1831000	71.353907	3	0.091289	0.407680	0.408095	0.092936	0.232314	0.259532	0.249195	0.258959	0.387313	0.099952	0.106561	0.406175	0.091289	0.407680	0.408095	0.092936	0.232314	0.259532	0.249195	0.258959	0.387313	0.099952	0.106561	0.406175	
1832000	71.353907	3	0.097793	0.407209	0.397953	0.097045	0.242906	0.251290	0.236508	0.269296	0.387313	0.099952	0.106561	0.406175	0.097793	0.407209	0.397953	0.097045	0.242906	0.251290	0.236508	0.269296	0.387313	0.099952	0.106561	0.406175	
1833000	71.353907	3	0.097793	0.407209	0.397953	0.097045	0.227311	0.268374	0.252689	0.251625	0.387313	0.099952	0.106561	0.406175	0.097793	0.407209	0.397953	0.097045	0.227311	0.268374	0.252689	0.251625	0.387313	0.099952	0.106561	0.406175	
1834000	71.353907	3	0.099294	0.394435	0.413841	0.092430	0.233920	0.250353	0.242675	0.273052	0.387313	0.099952	0.106561	0.406175	0.099294	0.394435	0.413841	0.092430	0.233920	0.250353	0.242675	0.273052	0.387313	0.099952	0.106561	0.406175	
1835000	71.353907	3	0.099091	0.401917	0.404801	0.094190	0.252069	0.263785	0.239533	0.244613	0.387313	0.099952	0.106561	0.406175	0.099091	0.401917	0.404801	0.094190	0.252069	0.263785	0.239533	0.244613	0.387313	0.099952	0.106561	0.406175	
1836000	71.353907	3	0.099091	0.401917	0.404801	0.094190	0.241621	0.257604	0.251273	0.249503	0.387313	0.099952	0.106561	0.406175	0.099091	0.401917	0.404801	0.094190	0.241621	0.257604	0.251273	0.249503	0.387313	0.099952	0.106561	0.406175	
1837000	71.353907	3	0.099064	0.408027	0.397201	0.095709	0.235620	0.258346	0.257837	0.248196	0.387313	0.099952	0.106561	0.406175	0.099064	0.408027	0.397201	0.095709	0.235620	0.258346	0.257837	0.248196	0.387313	0.099952	0.106561	0.406175	
