Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	71.353907	3	0.103418	0.399584	0.390770	0.106229	0.256713	0.246320	0.256458	0.240509	0.394462	0.092286	0.108518	0.404734	0.103418	0.399584	0.390770	0.106229	0.256713	0.246320	0.256458	0.240509	0.394462	0.092286	0.108518	0.404734	
2000	71.353907	3	0.099656	0.394192	0.406682	0.099469	0.262689	0.246965	0.244639	0.245708	0.415030	0.091915	0.101584	0.391472	0.099656	0.394192	0.406682	0.099469	0.262689	0.246965	0.244639	0.245708	0.415030	0.091915	0.101584	0.391472	
3000	71.353907	3	0.097683	0.406905	0.401720	0.093693	0.258788	0.268851	0.240221	0.232141	0.403346	0.092957	0.105643	0.398053	0.097683	0.406905	0.401720	0.093693	0.258788	0.268851	0.240221	0.232141	0.403346	0.092957	0.105643	0.398053	
4000	71.353907	3	0.097683	0.406905	0.401720	0.093693	0.256240	0.245706	0.241854	0.256201	0.399645	0.095297	0.094622	0.410436	0.097683	0.406905	0.401720	0.093693	0.256240	0.245706	0.241854	0.256201	0.399645	0.095297	0.094622	0.410436	
5000	71.353907	3	0.097683	0.406905	0.401720	0.093693	0.248956	0.239347	0.261841	0.249856	0.405573	0.093349	0.099038	0.402041	0.097683	0.406905	0.401720	0.093693	0.248956	0.239347	0.261841	0.249856	0.405573	0.093349	0.099038	0.402041	
6000	71.353907	3	0.097683	0.406905	0.401720	0.093693	0.266115	0.252306	0.239585	0.241993	0.398628	0.097728	0.096807	0.406836	0.097683	0.406905	0.401720	0.093693	0.266115	0.252306	0.239585	0.241993	0.398628	0.097728	0.096807	0.406836	
7000	71.353907	3	0.106102	0.396606	0.397013	0.100279	0.256771	0.253046	0.250377	0.239805	0.397375	0.096840	0.098348	0.407437	0.106102	0.396606	0.397013	0.100279	0.256771	0.253046	0.250377	0.239805	0.397375	0.096840	0.098348	0.407437	
8000	71.353907	3	0.106102	0.396606	0.397013	0.100279	0.267960	0.252862	0.246828	0.232350	0.397375	0.096840	0.098348	0.407437	0.106102	0.396606	0.397013	0.100279	0.267960	0.252862	0.246828	0.232350	0.397375	0.096840	0.098348	0.407437	
9000	71.353907	3	0.106102	0.396606	0.397013	0.100279	0.264146	0.252162	0.237133	0.246560	0.397375	0.096840	0.098348	0.407437	0.106102	0.396606	0.397013	0.100279	0.264146	0.252162	0.237133	0.246560	0.397375	0.096840	0.098348	0.407437	
10000	71.353907	3	0.105767	0.394351	0.408208	0.091674	0.264516	0.255290	0.244059	0.236134	0.410386	0.091218	0.103772	0.394625	0.105767	0.394351	0.408208	0.091674	0.264516	0.255290	0.244059	0.236134	0.410386	0.091218	0.103772	0.394625	
