Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	
1000	0.879386	2	0.361570	0.216765	0.216765	0.361570	
2000	0.879386	2	0.329274	0.329274	0.329274	0.535006	
3000	0.879386	1	0.370554	0.370554	0.370554	0.370554	
4000	0.879386	3	0.377141	0.325602	0.325602	0.813998	
5000	0.879386	3	0.333058	0.359034	0.333058	0.626390	
6000	0.879386	2	0.365638	0.407415	0.407415	0.365638	
7000	0.879386	1	0.386447	0.386447	0.386447	0.386447	
8000	0.879386	1	0.380219	0.380219	0.380219	0.380219	
9000	0.879386	1	0.405360	0.405360	0.405360	0.405360	
10000	0.879386	1	0.365461	0.365461	0.365461	0.365461	
11000	0.879386	2	0.384738	0.384738	0.384738	0.349065	
12000	0.879386	2	0.324502	0.366790	0.324502	0.366790	
13000	0.879386	2	0.299351	0.405445	0.405445	0.405445	
14000	0.879386	2	0.359782	0.596166	0.359782	0.596166	
15000	0.879386	2	0.349243	0.349243	0.349243	0.491353	
16000	0.879386	2	0.343634	0.343634	0.343634	0.488623	
17000	0.879386	1	0.370633	0.370633	0.370633	0.370633	
18000	0.879386	1	0.364403	0.364403	0.364403	0.364403	
19000	0.879386	2	0.292633	0.292633	0.292633	0.700541	
20000	0.879386	2	0.345511	0.345511	0.345511	0.589924	
21000	0.879386	1	0.346490	0.346490	0.346490	0.346490	
22000	0.879386	3	0.372352	0.372352	0.293376	0.502237	
23000	0.879386	2	0.333902	0.333902	0.333902	0.680607	
24000	0.879386	2	0.364640	0.364640	0.364640	0.684228	
25000	0.879386	1	0.390261	0.390261	0.390261	0.390261	
26000	0.879386	2	0.293872	0.293872	0.293872	0.943697	
27000	0.879386	3	0.291660	0.291660	0.309448	0.580935	
28000	0.879386	1	0.377557	0.377557	0.377557	0.377557	
29000	0.879386	1	0.408931	0.408931	0.408931	0.408931	
30000	0.879386	2	0.385888	0.385888	0.385888	0.887994	
31000	0.879386	1	0.351427	0.351427	0.351427	0.351427	
32000	0.879386	1	0.370566	0.370566	0.370566	0.370566	
33000	0.879386	1	0.379513	0.379513	0.379513	0.379513	
34000	0.879386	3	0.287156	0.326784	0.287156	0.867163	
35000	0.879386	1	0.356487	0.356487	0.356487	0.356487	
36000	0.879386	2	0.342302	0.342302	0.342302	0.497922	
37000	0.879386	1	0.392857	0.392857	0.392857	0.392857	
38000	0.879386	2	0.313587	0.313587	0.313587	0.494225	
39000	0.879386	1	0.379638	0.379638	0.379638	0.379638	
40000	0.879386	1	0.362200	0.362200	0.362200	0.362200	
41000	0.879386	1	0.373218	0.373218	0.373218	0.373218	
42000	0.879386	2	0.349167	0.310263	0.310263	0.349167	
43000	0.879386	1	0.312943	0.312943	0.312943	0.312943	
44000	0.879386	1	0.399454	0.399454	0.399454	0.399454	
45000	0.879386	1	0.376630	0.376630	0.376630	0.376630	
46000	0.879386	1	0.322157	0.322157	0.322157	0.322157	
47000	0.879386	2	0.362127	0.362127	0.362127	0.569135	
48000	0.879386	2	0.346887	0.346887	0.346887	0.788513	
49000	0.879386	2	0.408429	0.408429	0.428313	0.408429	
50000	0.879386	2	0.326818	0.333180	0.333180	0.326818	
