Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
5446000	0.879386	2	0.272876	0.272603	0.226788	0.227733	0.322867	0.169491	0.149999	0.357643	0.322867	0.169491	0.149999	0.357643	0.322867	0.169491	0.149999	0.357643	
5447000	0.879386	2	0.250028	0.259619	0.227651	0.262702	0.250028	0.259619	0.227651	0.262702	0.331235	0.141450	0.157007	0.370307	0.331235	0.141450	0.157007	0.370307	
5448000	0.879386	1	0.276024	0.232500	0.210439	0.281038	0.276024	0.232500	0.210439	0.281038	0.276024	0.232500	0.210439	0.281038	0.276024	0.232500	0.210439	0.281038	
5449000	0.879386	1	0.356380	0.170631	0.151213	0.321776	0.356380	0.170631	0.151213	0.321776	0.356380	0.170631	0.151213	0.321776	0.356380	0.170631	0.151213	0.321776	
5450000	0.879386	2	0.289549	0.208358	0.218495	0.283598	0.289549	0.208358	0.218495	0.283598	0.305030	0.149212	0.173283	0.372475	0.305030	0.149212	0.173283	0.372475	
5451000	0.879386	2	0.248634	0.230593	0.248000	0.272774	0.295975	0.193061	0.156006	0.354958	0.295975	0.193061	0.156006	0.354958	0.295975	0.193061	0.156006	0.354958	
5452000	0.879386	1	0.269299	0.233196	0.214019	0.283487	0.269299	0.233196	0.214019	0.283487	0.269299	0.233196	0.214019	0.283487	0.269299	0.233196	0.214019	0.283487	
5453000	0.879386	1	0.297403	0.194274	0.215359	0.292963	0.297403	0.194274	0.215359	0.292963	0.297403	0.194274	0.215359	0.292963	0.297403	0.194274	0.215359	0.292963	
5454000	0.879386	1	0.337532	0.220465	0.165069	0.276934	0.337532	0.220465	0.165069	0.276934	0.337532	0.220465	0.165069	0.276934	0.337532	0.220465	0.165069	0.276934	
5455000	0.879386	1	0.312126	0.185824	0.149239	0.352811	0.312126	0.185824	0.149239	0.352811	0.312126	0.185824	0.149239	0.352811	0.312126	0.185824	0.149239	0.352811	
5456000	0.879386	1	0.271477	0.230207	0.199238	0.299077	0.271477	0.230207	0.199238	0.299077	0.271477	0.230207	0.199238	0.299077	0.271477	0.230207	0.199238	0.299077	
