Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1000	0.879386	1	0.094995	0.284443	0.041220	0.110803	0.298605	0.169935	0.094995	0.284443	0.041220	0.110803	0.298605	0.169935	0.094995	0.284443	0.041220	0.110803	0.298605	0.169935	0.094995	0.284443	0.041220	0.110803	0.298605	0.169935	
2000	0.879386	1	0.100070	0.260007	0.039593	0.206799	0.249094	0.144437	0.100070	0.260007	0.039593	0.206799	0.249094	0.144437	0.100070	0.260007	0.039593	0.206799	0.249094	0.144437	0.100070	0.260007	0.039593	0.206799	0.249094	0.144437	
3000	0.879386	1	0.114370	0.225200	0.031114	0.152205	0.273610	0.203501	0.114370	0.225200	0.031114	0.152205	0.273610	0.203501	0.114370	0.225200	0.031114	0.152205	0.273610	0.203501	0.114370	0.225200	0.031114	0.152205	0.273610	0.203501	
4000	0.879386	1	0.116053	0.265814	0.029395	0.177324	0.226616	0.184798	0.116053	0.265814	0.029395	0.177324	0.226616	0.184798	0.116053	0.265814	0.029395	0.177324	0.226616	0.184798	0.116053	0.265814	0.029395	0.177324	0.226616	0.184798	
5000	0.879386	1	0.140201	0.240786	0.031101	0.187150	0.280359	0.120403	0.140201	0.240786	0.031101	0.187150	0.280359	0.120403	0.140201	0.240786	0.031101	0.187150	0.280359	0.120403	0.140201	0.240786	0.031101	0.187150	0.280359	0.120403	
6000	0.879386	1	0.125029	0.260006	0.034392	0.202664	0.240421	0.137486	0.125029	0.260006	0.034392	0.202664	0.240421	0.137486	0.125029	0.260006	0.034392	0.202664	0.240421	0.137486	0.125029	0.260006	0.034392	0.202664	0.240421	0.137486	
7000	0.879386	1	0.141520	0.223848	0.030224	0.206378	0.276744	0.121286	0.141520	0.223848	0.030224	0.206378	0.276744	0.121286	0.141520	0.223848	0.030224	0.206378	0.276744	0.121286	0.141520	0.223848	0.030224	0.206378	0.276744	0.121286	
8000	0.879386	1	0.101266	0.243127	0.038443	0.212459	0.252820	0.151885	0.101266	0.243127	0.038443	0.212459	0.252820	0.151885	0.101266	0.243127	0.038443	0.212459	0.252820	0.151885	0.101266	0.243127	0.038443	0.212459	0.252820	0.151885	
9000	0.879386	1	0.131400	0.217063	0.033644	0.179389	0.296259	0.142244	0.131400	0.217063	0.033644	0.179389	0.296259	0.142244	0.131400	0.217063	0.033644	0.179389	0.296259	0.142244	0.131400	0.217063	0.033644	0.179389	0.296259	0.142244	
10000	0.879386	1	0.141989	0.267905	0.037878	0.167486	0.256890	0.127853	0.141989	0.267905	0.037878	0.167486	0.256890	0.127853	0.141989	0.267905	0.037878	0.167486	0.256890	0.127853	0.141989	0.267905	0.037878	0.167486	0.256890	0.127853	
11000	0.879386	1	0.104174	0.233382	0.035888	0.180558	0.286139	0.159860	0.104174	0.233382	0.035888	0.180558	0.286139	0.159860	0.104174	0.233382	0.035888	0.180558	0.286139	0.159860	0.104174	0.233382	0.035888	0.180558	0.286139	0.159860	
12000	0.879386	1	0.105320	0.228241	0.038225	0.198043	0.291145	0.139027	0.105320	0.228241	0.038225	0.198043	0.291145	0.139027	0.105320	0.228241	0.038225	0.198043	0.291145	0.139027	0.105320	0.228241	0.038225	0.198043	0.291145	0.139027	
13000	0.879386	1	0.105956	0.234573	0.036911	0.185952	0.262568	0.174040	0.105956	0.234573	0.036911	0.185952	0.262568	0.174040	0.105956	0.234573	0.036911	0.185952	0.262568	0.174040	0.105956	0.234573	0.036911	0.185952	0.262568	0.174040	
14000	0.879386	1	0.122855	0.231343	0.040387	0.203036	0.248258	0.154122	0.122855	0.231343	0.040387	0.203036	0.248258	0.154122	0.122855	0.231343	0.040387	0.203036	0.248258	0.154122	0.122855	0.231343	0.040387	0.203036	0.248258	0.154122	
15000	0.879386	1	0.124415	0.247662	0.040664	0.205667	0.229845	0.151747	0.124415	0.247662	0.040664	0.205667	0.229845	0.151747	0.124415	0.247662	0.040664	0.205667	0.229845	0.151747	0.124415	0.247662	0.040664	0.205667	0.229845	0.151747	
16000	0.879386	1	0.109793	0.241887	0.033157	0.190791	0.257794	0.166576	0.109793	0.241887	0.033157	0.190791	0.257794	0.166576	0.109793	0.241887	0.033157	0.190791	0.257794	0.166576	0.109793	0.241887	0.033157	0.190791	0.257794	0.166576	
17000	0.879386	1	0.103839	0.236625	0.046941	0.202570	0.260558	0.149467	0.103839	0.236625	0.046941	0.202570	0.260558	0.149467	0.103839	0.236625	0.046941	0.202570	0.260558	0.149467	0.103839	0.236625	0.046941	0.202570	0.260558	0.149467	
18000	0.879386	1	0.135799	0.236508	0.029458	0.190193	0.243511	0.164531	0.135799	0.236508	0.029458	0.190193	0.243511	0.164531	0.135799	0.236508	0.029458	0.190193	0.243511	0.164531	0.135799	0.236508	0.029458	0.190193	0.243511	0.164531	
19000	0.879386	2	0.128433	0.247206	0.039328	0.181198	0.278250	0.125585	0.266219	0.202854	0.041085	0.103737	0.267206	0.118899	0.128433	0.247206	0.039328	0.181198	0.278250	0.125585	0.266219	0.202854	0.041085	0.103737	0.267206	0.118899	
20000	0.879386	1	0.121990	0.232962	0.030725	0.202674	0.268724	0.142925	0.121990	0.232962	0.030725	0.202674	0.268724	0.142925	0.121990	0.232962	0.030725	0.202674	0.268724	0.142925	0.121990	0.232962	0.030725	0.202674	0.268724	0.142925	
21000	0.879386	1	0.145938	0.240366	0.024420	0.165244	0.273261	0.150772	0.145938	0.240366	0.024420	0.165244	0.273261	0.150772	0.145938	0.240366	0.024420	0.165244	0.273261	0.150772	0.145938	0.240366	0.024420	0.165244	0.273261	0.150772	
22000	0.879386	1	0.142568	0.226898	0.040422	0.166596	0.283645	0.139871	0.142568	0.226898	0.040422	0.166596	0.283645	0.139871	0.142568	0.226898	0.040422	0.166596	0.283645	0.139871	0.142568	0.226898	0.040422	0.166596	0.283645	0.139871	
23000	0.879386	1	0.125080	0.247428	0.027494	0.187768	0.253883	0.158347	0.125080	0.247428	0.027494	0.187768	0.253883	0.158347	0.125080	0.247428	0.027494	0.187768	0.253883	0.158347	0.125080	0.247428	0.027494	0.187768	0.253883	0.158347	
24000	0.879386	1	0.125868	0.264045	0.045577	0.180252	0.220424	0.163835	0.125868	0.264045	0.045577	0.180252	0.220424	0.163835	0.125868	0.264045	0.045577	0.180252	0.220424	0.163835	0.125868	0.264045	0.045577	0.180252	0.220424	0.163835	
25000	0.879386	1	0.122194	0.201495	0.034968	0.200014	0.298466	0.142864	0.122194	0.201495	0.034968	0.200014	0.298466	0.142864	0.122194	0.201495	0.034968	0.200014	0.298466	0.142864	0.122194	0.201495	0.034968	0.200014	0.298466	0.142864	
26000	0.879386	1	0.126534	0.248621	0.032313	0.182795	0.260579	0.149159	0.126534	0.248621	0.032313	0.182795	0.260579	0.149159	0.126534	0.248621	0.032313	0.182795	0.260579	0.149159	0.126534	0.248621	0.032313	0.182795	0.260579	0.149159	
27000	0.879386	1	0.141765	0.212410	0.032836	0.181956	0.301741	0.129292	0.141765	0.212410	0.032836	0.181956	0.301741	0.129292	0.141765	0.212410	0.032836	0.181956	0.301741	0.129292	0.141765	0.212410	0.032836	0.181956	0.301741	0.129292	
28000	0.879386	1	0.112857	0.247675	0.034498	0.184277	0.275986	0.144708	0.112857	0.247675	0.034498	0.184277	0.275986	0.144708	0.112857	0.247675	0.034498	0.184277	0.275986	0.144708	0.112857	0.247675	0.034498	0.184277	0.275986	0.144708	
29000	0.879386	1	0.138050	0.232865	0.032660	0.210730	0.239865	0.145830	0.138050	0.232865	0.032660	0.210730	0.239865	0.145830	0.138050	0.232865	0.032660	0.210730	0.239865	0.145830	0.138050	0.232865	0.032660	0.210730	0.239865	0.145830	
30000	0.879386	1	0.101563	0.218331	0.029407	0.222038	0.284984	0.143677	0.101563	0.218331	0.029407	0.222038	0.284984	0.143677	0.101563	0.218331	0.029407	0.222038	0.284984	0.143677	0.101563	0.218331	0.029407	0.222038	0.284984	0.143677	
31000	0.879386	1	0.107290	0.230851	0.034044	0.188424	0.273343	0.166048	0.107290	0.230851	0.034044	0.188424	0.273343	0.166048	0.107290	0.230851	0.034044	0.188424	0.273343	0.166048	0.107290	0.230851	0.034044	0.188424	0.273343	0.166048	
32000	0.879386	1	0.103565	0.243874	0.033166	0.211210	0.275152	0.133032	0.103565	0.243874	0.033166	0.211210	0.275152	0.133032	0.103565	0.243874	0.033166	0.211210	0.275152	0.133032	0.103565	0.243874	0.033166	0.211210	0.275152	0.133032	
33000	0.879386	1	0.107736	0.236757	0.036201	0.191641	0.273314	0.154351	0.107736	0.236757	0.036201	0.191641	0.273314	0.154351	0.107736	0.236757	0.036201	0.191641	0.273314	0.154351	0.107736	0.236757	0.036201	0.191641	0.273314	0.154351	
