Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	0.092720	3	0.090057	0.404133	0.402279	0.103531	0.257635	0.261217	0.215806	0.265342	0.411968	0.105487	0.099840	0.382704	0.090057	0.404133	0.402279	0.103531	0.257635	0.261217	0.215806	0.265342	0.411968	0.105487	0.099840	0.382704	
2000	0.092720	3	0.101589	0.390516	0.406157	0.101738	0.263442	0.254849	0.246010	0.235698	0.407641	0.102425	0.097113	0.392821	0.101589	0.390516	0.406157	0.101738	0.263442	0.254849	0.246010	0.235698	0.407641	0.102425	0.097113	0.392821	
3000	0.092720	3	0.101589	0.390516	0.406157	0.101738	0.241605	0.250596	0.241922	0.265877	0.407641	0.102425	0.097113	0.392821	0.101589	0.390516	0.406157	0.101738	0.241605	0.250596	0.241922	0.265877	0.407641	0.102425	0.097113	0.392821	
4000	0.092720	3	0.099909	0.405805	0.390038	0.104248	0.252100	0.232533	0.259119	0.256247	0.407641	0.102425	0.097113	0.392821	0.099909	0.405805	0.390038	0.104248	0.252100	0.232533	0.259119	0.256247	0.407641	0.102425	0.097113	0.392821	
5000	0.092720	3	0.101441	0.379049	0.414320	0.105189	0.246047	0.251521	0.247496	0.254936	0.407641	0.102425	0.097113	0.392821	0.101441	0.379049	0.414320	0.105189	0.246047	0.251521	0.247496	0.254936	0.407641	0.102425	0.097113	0.392821	
6000	0.092720	3	0.096244	0.394579	0.405305	0.103872	0.246710	0.256134	0.240037	0.257119	0.407641	0.102425	0.097113	0.392821	0.096244	0.394579	0.405305	0.103872	0.246710	0.256134	0.240037	0.257119	0.407641	0.102425	0.097113	0.392821	
7000	0.092720	3	0.101852	0.380412	0.420675	0.097061	0.271937	0.237941	0.237858	0.252263	0.407641	0.102425	0.097113	0.392821	0.101852	0.380412	0.420675	0.097061	0.271937	0.237941	0.237858	0.252263	0.407641	0.102425	0.097113	0.392821	
8000	0.092720	3	0.101852	0.380412	0.420675	0.097061	0.262045	0.235777	0.250460	0.251718	0.407641	0.102425	0.097113	0.392821	0.101852	0.380412	0.420675	0.097061	0.262045	0.235777	0.250460	0.251718	0.407641	0.102425	0.097113	0.392821	
9000	0.092720	3	0.100289	0.381826	0.414520	0.103366	0.241021	0.254415	0.238080	0.266484	0.407641	0.102425	0.097113	0.392821	0.100289	0.381826	0.414520	0.103366	0.241021	0.254415	0.238080	0.266484	0.407641	0.102425	0.097113	0.392821	
10000	0.092720	3	0.100289	0.381826	0.414520	0.103366	0.238398	0.254328	0.248995	0.258278	0.407641	0.102425	0.097113	0.392821	0.100289	0.381826	0.414520	0.103366	0.238398	0.254328	0.248995	0.258278	0.407641	0.102425	0.097113	0.392821	
