Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	0.092720	3	0.095628	0.388233	0.409403	0.106736	0.247912	0.245101	0.249771	0.257216	0.382839	0.101305	0.102710	0.413146	0.095628	0.388233	0.409403	0.106736	0.247912	0.245101	0.249771	0.257216	0.382839	0.101305	0.102710	0.413146	
2000	0.092720	3	0.094679	0.397868	0.400596	0.106857	0.243849	0.241970	0.246968	0.267213	0.382839	0.101305	0.102710	0.413146	0.094679	0.397868	0.400596	0.106857	0.243849	0.241970	0.246968	0.267213	0.382839	0.101305	0.102710	0.413146	
3000	0.092720	3	0.089968	0.405647	0.399832	0.104554	0.239366	0.246028	0.273777	0.240828	0.382839	0.101305	0.102710	0.413146	0.089968	0.405647	0.399832	0.104554	0.239366	0.246028	0.273777	0.240828	0.382839	0.101305	0.102710	0.413146	
4000	0.092720	3	0.089968	0.405647	0.399832	0.104554	0.247589	0.256622	0.247375	0.248414	0.382839	0.101305	0.102710	0.413146	0.089968	0.405647	0.399832	0.104554	0.247589	0.256622	0.247375	0.248414	0.382839	0.101305	0.102710	0.413146	
5000	0.092720	3	0.090788	0.404920	0.399860	0.104432	0.250129	0.244777	0.245414	0.259680	0.384501	0.098370	0.105938	0.411191	0.090788	0.404920	0.399860	0.104432	0.250129	0.244777	0.245414	0.259680	0.384501	0.098370	0.105938	0.411191	
6000	0.092720	3	0.093653	0.403552	0.402699	0.100096	0.244744	0.254979	0.242289	0.257989	0.384501	0.098370	0.105938	0.411191	0.093653	0.403552	0.402699	0.100096	0.244744	0.254979	0.242289	0.257989	0.384501	0.098370	0.105938	0.411191	
7000	0.092720	3	0.091591	0.404669	0.403781	0.099959	0.240888	0.253287	0.245109	0.260716	0.386900	0.099021	0.105822	0.408257	0.091591	0.404669	0.403781	0.099959	0.240888	0.253287	0.245109	0.260716	0.386900	0.099021	0.105822	0.408257	
8000	0.092720	3	0.087465	0.407772	0.406363	0.098401	0.243225	0.241558	0.261816	0.253401	0.391287	0.098640	0.107538	0.402534	0.087465	0.407772	0.406363	0.098401	0.243225	0.241558	0.261816	0.253401	0.391287	0.098640	0.107538	0.402534	
9000	0.092720	3	0.089380	0.408138	0.403617	0.098865	0.237818	0.252331	0.254561	0.255290	0.391287	0.098640	0.107538	0.402534	0.089380	0.408138	0.403617	0.098865	0.237818	0.252331	0.254561	0.255290	0.391287	0.098640	0.107538	0.402534	
10000	0.092720	3	0.089380	0.408138	0.403617	0.098865	0.237941	0.247756	0.248094	0.266209	0.399357	0.099786	0.105651	0.395206	0.089380	0.408138	0.403617	0.098865	0.237941	0.247756	0.248094	0.266209	0.399357	0.099786	0.105651	0.395206	
11000	0.092720	3	0.089380	0.408138	0.403617	0.098865	0.241489	0.252955	0.255851	0.249705	0.391595	0.094507	0.105814	0.408084	0.089380	0.408138	0.403617	0.098865	0.241489	0.252955	0.255851	0.249705	0.391595	0.094507	0.105814	0.408084	
12000	0.092720	3	0.093457	0.406613	0.402113	0.097817	0.242537	0.251108	0.251910	0.254446	0.391595	0.094507	0.105814	0.408084	0.093457	0.406613	0.402113	0.097817	0.242537	0.251108	0.251910	0.254446	0.391595	0.094507	0.105814	0.408084	
13000	0.092720	3	0.089300	0.403421	0.410619	0.096659	0.233146	0.255762	0.256210	0.254883	0.383178	0.101665	0.104984	0.410173	0.089300	0.403421	0.410619	0.096659	0.233146	0.255762	0.256210	0.254883	0.383178	0.101665	0.104984	0.410173	
14000	0.092720	3	0.092187	0.404780	0.399025	0.104009	0.253496	0.247509	0.238892	0.260104	0.383178	0.101665	0.104984	0.410173	0.092187	0.404780	0.399025	0.104009	0.253496	0.247509	0.238892	0.260104	0.383178	0.101665	0.104984	0.410173	
15000	0.092720	3	0.093629	0.405491	0.398912	0.101968	0.248569	0.243523	0.256816	0.251092	0.383178	0.101665	0.104984	0.410173	0.093629	0.405491	0.398912	0.101968	0.248569	0.243523	0.256816	0.251092	0.383178	0.101665	0.104984	0.410173	
16000	0.092720	3	0.093629	0.405491	0.398912	0.101968	0.234527	0.259820	0.252984	0.252668	0.386781	0.096479	0.102222	0.414518	0.093629	0.405491	0.398912	0.101968	0.234527	0.259820	0.252984	0.252668	0.386781	0.096479	0.102222	0.414518	
17000	0.092720	3	0.093629	0.405491	0.398912	0.101968	0.256900	0.243525	0.252204	0.247372	0.401940	0.096545	0.101166	0.400350	0.093629	0.405491	0.398912	0.101968	0.256900	0.243525	0.252204	0.247372	0.401940	0.096545	0.101166	0.400350	
18000	0.092720	3	0.095096	0.401773	0.403214	0.099917	0.241013	0.243162	0.252611	0.263215	0.388025	0.096263	0.105650	0.410062	0.095096	0.401773	0.403214	0.099917	0.241013	0.243162	0.252611	0.263215	0.388025	0.096263	0.105650	0.410062	
19000	0.092720	3	0.095096	0.401773	0.403214	0.099917	0.229427	0.267786	0.255713	0.247075	0.388025	0.096263	0.105650	0.410062	0.095096	0.401773	0.403214	0.099917	0.229427	0.267786	0.255713	0.247075	0.388025	0.096263	0.105650	0.410062	
20000	0.092720	3	0.094227	0.400120	0.408569	0.097083	0.252321	0.247494	0.240068	0.260117	0.392073	0.098000	0.103067	0.406859	0.094227	0.400120	0.408569	0.097083	0.252321	0.247494	0.240068	0.260117	0.392073	0.098000	0.103067	0.406859	
21000	0.092720	3	0.094227	0.400120	0.408569	0.097083	0.248685	0.248232	0.245180	0.257903	0.392073	0.098000	0.103067	0.406859	0.094227	0.400120	0.408569	0.097083	0.248685	0.248232	0.245180	0.257903	0.392073	0.098000	0.103067	0.406859	
22000	0.092720	3	0.091371	0.409333	0.399703	0.099592	0.245578	0.254059	0.247688	0.252674	0.392073	0.098000	0.103067	0.406859	0.091371	0.409333	0.399703	0.099592	0.245578	0.254059	0.247688	0.252674	0.392073	0.098000	0.103067	0.406859	
23000	0.092720	3	0.091151	0.399221	0.407916	0.101712	0.248576	0.244319	0.252111	0.254994	0.392073	0.098000	0.103067	0.406859	0.091151	0.399221	0.407916	0.101712	0.248576	0.244319	0.252111	0.254994	0.392073	0.098000	0.103067	0.406859	
24000	0.092720	3	0.091151	0.399221	0.407916	0.101712	0.243846	0.250416	0.259960	0.245777	0.392073	0.098000	0.103067	0.406859	0.091151	0.399221	0.407916	0.101712	0.243846	0.250416	0.259960	0.245777	0.392073	0.098000	0.103067	0.406859	
25000	0.092720	3	0.091151	0.399221	0.407916	0.101712	0.248311	0.244934	0.236002	0.270753	0.392073	0.098000	0.103067	0.406859	0.091151	0.399221	0.407916	0.101712	0.248311	0.244934	0.236002	0.270753	0.392073	0.098000	0.103067	0.406859	
26000	0.092720	3	0.088008	0.402158	0.410126	0.099708	0.241438	0.240037	0.261690	0.256836	0.392073	0.098000	0.103067	0.406859	0.088008	0.402158	0.410126	0.099708	0.241438	0.240037	0.261690	0.256836	0.392073	0.098000	0.103067	0.406859	
27000	0.092720	3	0.088008	0.402158	0.410126	0.099708	0.236937	0.249069	0.257322	0.256672	0.392073	0.098000	0.103067	0.406859	0.088008	0.402158	0.410126	0.099708	0.236937	0.249069	0.257322	0.256672	0.392073	0.098000	0.103067	0.406859	
28000	0.092720	3	0.088008	0.402158	0.410126	0.099708	0.234424	0.247102	0.254613	0.263861	0.392073	0.098000	0.103067	0.406859	0.088008	0.402158	0.410126	0.099708	0.234424	0.247102	0.254613	0.263861	0.392073	0.098000	0.103067	0.406859	
29000	0.092720	3	0.092187	0.398981	0.401994	0.106838	0.228916	0.248470	0.254905	0.267709	0.392073	0.098000	0.103067	0.406859	0.092187	0.398981	0.401994	0.106838	0.228916	0.248470	0.254905	0.267709	0.392073	0.098000	0.103067	0.406859	
30000	0.092720	3	0.096476	0.406676	0.395651	0.101197	0.243116	0.255699	0.250533	0.250653	0.392073	0.098000	0.103067	0.406859	0.096476	0.406676	0.395651	0.101197	0.243116	0.255699	0.250533	0.250653	0.392073	0.098000	0.103067	0.406859	
31000	0.092720	3	0.089879	0.402493	0.402917	0.104710	0.255050	0.235843	0.253068	0.256038	0.385506	0.099761	0.104692	0.410041	0.089879	0.402493	0.402917	0.104710	0.255050	0.235843	0.253068	0.256038	0.385506	0.099761	0.104692	0.410041	
32000	0.092720	3	0.089879	0.402493	0.402917	0.104710	0.237274	0.249428	0.237696	0.275602	0.385506	0.099761	0.104692	0.410041	0.089879	0.402493	0.402917	0.104710	0.237274	0.249428	0.237696	0.275602	0.385506	0.099761	0.104692	0.410041	
33000	0.092720	3	0.093901	0.404950	0.403964	0.097185	0.240354	0.253809	0.248117	0.257720	0.385506	0.099761	0.104692	0.410041	0.093901	0.404950	0.403964	0.097185	0.240354	0.253809	0.248117	0.257720	0.385506	0.099761	0.104692	0.410041	
34000	0.092720	3	0.093901	0.404950	0.403964	0.097185	0.250130	0.241143	0.248697	0.260029	0.386282	0.096871	0.102984	0.413863	0.093901	0.404950	0.403964	0.097185	0.250130	0.241143	0.248697	0.260029	0.386282	0.096871	0.102984	0.413863	
35000	0.092720	3	0.097988	0.401265	0.401312	0.099435	0.242959	0.259049	0.254645	0.243346	0.386282	0.096871	0.102984	0.413863	0.097988	0.401265	0.401312	0.099435	0.242959	0.259049	0.254645	0.243346	0.386282	0.096871	0.102984	0.413863	
36000	0.092720	3	0.090708	0.398650	0.412920	0.097722	0.253160	0.240885	0.257055	0.248900	0.390256	0.103075	0.102435	0.404234	0.090708	0.398650	0.412920	0.097722	0.253160	0.240885	0.257055	0.248900	0.390256	0.103075	0.102435	0.404234	
