Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	0.092720	3	0.093368	0.391792	0.412982	0.101858	0.250259	0.233252	0.256218	0.260270	0.402468	0.100089	0.102443	0.395000	0.093368	0.391792	0.412982	0.101858	0.250259	0.233252	0.256218	0.260270	0.402468	0.100089	0.102443	0.395000	
2000	0.092720	3	0.100527	0.404579	0.402374	0.092520	0.250259	0.233252	0.256218	0.260270	0.411756	0.095692	0.097921	0.394631	0.100527	0.404579	0.402374	0.092520	0.250259	0.233252	0.256218	0.260270	0.411756	0.095692	0.097921	0.394631	
3000	0.092720	3	0.099815	0.398270	0.407365	0.094550	0.241388	0.238297	0.265902	0.254414	0.411756	0.095692	0.097921	0.394631	0.099815	0.398270	0.407365	0.094550	0.241388	0.238297	0.265902	0.254414	0.411756	0.095692	0.097921	0.394631	
4000	0.092720	3	0.099555	0.411114	0.395072	0.094259	0.257635	0.228224	0.246914	0.267227	0.411756	0.095692	0.097921	0.394631	0.099555	0.411114	0.395072	0.094259	0.257635	0.228224	0.246914	0.267227	0.411756	0.095692	0.097921	0.394631	
5000	0.092720	3	0.100607	0.402956	0.402315	0.094122	0.248879	0.234708	0.269247	0.247166	0.411756	0.095692	0.097921	0.394631	0.100607	0.402956	0.402315	0.094122	0.248879	0.234708	0.269247	0.247166	0.411756	0.095692	0.097921	0.394631	
6000	0.092720	3	0.100607	0.402956	0.402315	0.094122	0.244338	0.243458	0.261479	0.250726	0.401137	0.095063	0.106748	0.397052	0.100607	0.402956	0.402315	0.094122	0.244338	0.243458	0.261479	0.250726	0.401137	0.095063	0.106748	0.397052	
7000	0.092720	3	0.100607	0.402956	0.402315	0.094122	0.258543	0.230919	0.255908	0.254629	0.399604	0.104168	0.102891	0.393337	0.100607	0.402956	0.402315	0.094122	0.258543	0.230919	0.255908	0.254629	0.399604	0.104168	0.102891	0.393337	
8000	0.092720	3	0.100607	0.402956	0.402315	0.094122	0.252214	0.242630	0.252404	0.252752	0.401624	0.097835	0.104759	0.395782	0.100607	0.402956	0.402315	0.094122	0.252214	0.242630	0.252404	0.252752	0.401624	0.097835	0.104759	0.395782	
9000	0.092720	3	0.100754	0.391301	0.414133	0.093812	0.262766	0.245837	0.248780	0.242616	0.401042	0.097576	0.099656	0.401726	0.100754	0.391301	0.414133	0.093812	0.262766	0.245837	0.248780	0.242616	0.401042	0.097576	0.099656	0.401726	
10000	0.092720	3	0.102524	0.406684	0.397189	0.093604	0.248542	0.236857	0.256861	0.257740	0.401042	0.097576	0.099656	0.401726	0.102524	0.406684	0.397189	0.093604	0.248542	0.236857	0.256861	0.257740	0.401042	0.097576	0.099656	0.401726	
